鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
花蓮市,房地(土地+建物),花蓮縣花蓮市林政街19巷18號4F-1,20.13,住,,,1100123,土地1建物1車位0,四層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,,54.0,1,0,1,有,無,3740000,69259,,0.0,0,,RPUNMLOKMHGGFAU86DB
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉慈勝段449地號,24.42,住,,,1100426,土地1建物1車位1,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,89.18,2,2,2,有,無,6470000,77340,坡道平面,17.16,900000,,RPROMLKKNHGGFAU98DB
花蓮市,房地(土地+建物),花蓮縣花蓮市南京街二樓B戶,19.3,住,,,1100308,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,60.24,2,2,1,有,無,4150000,68891,,0.0,0,,RPTPMLOKNHGGFAU96CB
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東海五街三樓D戶,28.8,住,,,1100311,土地4建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,89.36,2,2,2,有,無,5500000,61549,,0.0,0,,RPPNMLRKNHGGFAU66CB
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉東海五街五樓F戶,30.29,住,,,1100313,土地4建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,116.88,2,1,2,有,無,7530000,69461,一樓平面,22.87,1000000,,RPTNMLRKNHGGFAU07CB
花蓮市,房地(土地+建物),花蓮縣花蓮市富裕三街A棟5樓,21.81,商,,,1100401,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,93.67,2,2,1,有,無,7000000,74730,,0.0,0,,RPRPMLRKNHGGFAU07CB
花蓮市,房地(土地+建物),花蓮縣花蓮市四維段296地號B6,1901.59,農,,,1100507,土地2建物1車位0,見其他登記事項,3,其他,住家用,鋼筋混凝土造,,195.24,4,2,6,有,無,12600000,64536,,0.0,0,,RPVNMLKLNHGGFAU66CB
花蓮市,房地(土地+建物),花蓮縣花蓮市四維段296地號A2,1901.59,農,,,1100506,土地2建物1車位0,見其他登記事項,3,其他,住家用,鋼筋混凝土造,,181.43,3,3,4,有,無,12750000,70275,,0.0,0,,RPQOMLKLNHGGFAU88CB
吉安鄉,房地(土地+建物),花蓮縣吉安鄉仁恥段951-8地號,87.0,住,,,1100503,土地1建物1車位0,見其他登記事項,3,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,164.68,4,2,5,有,無,10600000,64367,,0.0,0,,RPROMLKLNHGGFAU98CB
