編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTPMLOKNHGGFAU96CB,福安段,19.30,都市：住,1,1,全筆移轉,05390000
RPUNMLOKMHGGFAU86DB,國風段,20.13,都市：住,100,11,持分移轉,07080000
RPPNMLRKNHGGFAU66CB,仁廉段,2.67,都市：住,100000,2756,持分移轉,04300000
RPPNMLRKNHGGFAU66CB,仁廉段,1.38,都市：住,100000,2756,持分移轉,04300001
RPPNMLRKNHGGFAU66CB,仁廉段,.41,都市：住,100000,2756,持分移轉,04300002
RPPNMLRKNHGGFAU66CB,仁廉段,24.34,都市：住,100000,2756,持分移轉,04480000
RPTNMLRKNHGGFAU07CB,仁廉段,2.81,都市：住,100000,2899,持分移轉,04300000
RPTNMLRKNHGGFAU07CB,仁廉段,1.45,都市：住,100000,2899,持分移轉,04300001
RPTNMLRKNHGGFAU07CB,仁廉段,.43,都市：住,100000,2899,持分移轉,04300002
RPTNMLRKNHGGFAU07CB,仁廉段,25.60,都市：住,100000,2899,持分移轉,04480000
RPVNMLKLNHGGFAU66CB,四維段,70.71,都市：農,1,1,全筆移轉,02950001
RPVNMLKLNHGGFAU66CB,四維段,1830.88,都市：農,1,1,全筆移轉,02960000
RPQOMLKLNHGGFAU88CB,四維段,70.71,都市：農,1,1,全筆移轉,02950001
RPQOMLKLNHGGFAU88CB,四維段,1830.88,都市：農,1,1,全筆移轉,02960000
RPROMLKLNHGGFAU98CB,仁恥段,87.00,都市：住,1,1,全筆移轉,09510008
RPROMLKKNHGGFAU98DB,慈勝段,24.42,都市：住,100000,2426,持分移轉,04490000
RPRPMLRKNHGGFAU07CB,裕民段,21.81,都市：商,1,1,全筆移轉,05620004
