鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
花蓮市,房地(土地+建物),花蓮縣花蓮市中山路16巷30號,191.0,住,,,1100315,土地2建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,0790312,227.5,5,3,3,有,無,無,24000,105,,0.0,0,,RPWNMLPKLHGGFAU07CC
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉豐山村中山路261巷6弄28號,1012.43,,特定農業區,農牧用地,1100314,土地1建物1車位0,見其他登記事項,2,農舍,農舍,鋼架造,0841222,301.6,10,2,10,有,無,有,35000,,,0.0,0,,RPROMLPKLHGGFAU66CC
花蓮市,房地(土地+建物),花蓮縣花蓮市國民八街5號四樓之6,12.34,商,,,1100315,土地1建物1車位0,四層,12,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1080925,48.62,2,1,1,有,無,有,19000,391,,0.0,0,,RPOPMLPKLHGGFAU09CC
花蓮市,房地(土地+建物),花蓮縣花蓮市國聯五路2之8號8樓,1.62,商,,,1100311,土地1建物1車位0,八層,7,華廈(10層含以下有電梯),瞭望台、住宅,鋼筋混凝土造,0761104,20.98,1,1,1,有,無,有,7000,334,,0.0,0,,RPOPMLQKLHGGFAU56CC
花蓮市,建物,花蓮縣花蓮市中華路498巷2-1號2樓,0.0,住,,,1100313,土地0建物0車位0,二層,2,套房(1房1廳1衛),住商用,鋼筋混凝土造,0661118,16.52,1,1,1,有,無,有,4600,278,,0.0,0,,RPQNMLRKLHGGFAU66CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東海六街71號,117.0,住,,,1100312,土地1建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,1040417,258.59,4,2,5,有,無,無,31500,122,,0.0,0,含增建或未登記建物。；,RPRNMLRKLHGGFAU76CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉建國路1段103.105號,305.68,住,,,1100301,土地2建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,0801218,555.72,29,0,29,有,無,無,45000,81,,0.0,0,,RPSOMLSKLHGGFAU07CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉宜昌五街35號,226.0,住,,,1100315,土地1建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,1060802,453.2,5,2,6,有,無,無,65000,143,,0.0,0,,RPXNMLNLLHGGFAU07CC
花蓮市,房地(土地+建物),花蓮縣花蓮市中山路654號,37.0,住,,,1100316,土地1建物1車位0,一層,3,店面(店鋪),住商用,鋼筋混凝土造,0741108,83.98,0,0,0,無,無,無,20000,238,,0.0,0,包含地下層,RPVNMLOLLHGGFAU96CC
新城鄉,房地(土地+建物),花蓮縣新城鄉助人街1巷1號,68.64,住,,,1100328,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0890728,150.76,4,2,3,有,無,有,15000,99,,0.0,0,,RPSNMLKMLHGGFAU98CC
新城鄉,建物,花蓮縣新城鄉民族路85號,0.0,商,,,1100310,土地0建物0車位0,二層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,1060731,23.53,1,0,1,有,無,有,7300,310,,0.0,0,2樓前房間,RPXOMLKMLHGGFAU96CC
花蓮市,土地,林森段1148-2地號,118.0,商,,,1100330,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,28000,237,,0.0,0,含增建或未登記建物。；,RPXNMLQJMHGGFAU27CC
花蓮市,建物,花蓮縣花蓮市南京街272號,0.0,其他,,,1100311,土地0建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0690708,70.5,0,0,1,有,無,有,19000,270,,0.0,0,,RPOOMLQJMHGGFAU09CC
花蓮市,房地(土地+建物),花蓮縣花蓮市民國路7號2樓,38.43,住,,,1100310,土地1建物1車位0,二層,7,華廈(10層含以下有電梯),補習班,鋼筋混凝土造,0900223,199.34,0,0,0,無,無,無,16000,80,,0.0,0,,RPSOMLQJMHGGFAU86CC
花蓮市,房地(土地+建物),花蓮縣花蓮市國民五街53-2號,11.79,住,,,1100308,土地1建物1車位0,一層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840124,36.64,0,0,0,無,有,無,5600,153,,0.0,0,,RPROMLQJMHGGFAU86DC
花蓮市,房地(土地+建物),花蓮縣花蓮市林政街33巷1弄3號,84.0,住,,,1100327,土地1建物0車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0700107,96.31,3,2,2,有,無,無,17000,177,,0.0,0,,RPUOMLQJMHGGFAU17DC
