編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLPKLHGGFAU07CC,31,227.50,住家用,鋼筋混凝土造,79年3月12日,三層,
RPOPMLPKLHGGFAU09CC,1,48.62,集合住宅,鋼筋混凝土造,108年9月25日,十二層,
RPSOMLSKLHGGFAU07CC,29,284.84,住家用,鋼筋混凝土造,80年12月18日,四層,
RPSOMLSKLHGGFAU07CC,29,270.88,工廠、辦公廳、單身員工宿社舍、貯藏室,鋼筋混凝土造,80年12月18日,四層,
RPQNMLRKLHGGFAU66CC,43,16.52,住商用,鋼筋混凝土造,66年11月18日,二層,
RPOPMLQKLHGGFAU56CC,33,20.98,瞭望台、住宅,鋼筋混凝土造,76年11月4日,七層,
RPVNMLOLLHGGFAU96CC,35,83.98,住商用,鋼筋混凝土造,74年11月8日,三層,
RPOOMLQJMHGGFAU09CC,41,70.50,住商用,鋼筋混凝土造,69年7月8日,四層,
RPXOMLKMLHGGFAU96CC,4,23.53,住家用,鋼筋混凝土造,106年7月31日,五層,
RPXNMLNLLHGGFAU07CC,4,453.20,住家用,鋼筋混凝土造,106年8月2日,四層,
RPSOMLQJMHGGFAU86CC,20,142.05,補習班,鋼筋混凝土造,90年2月23日,七層,
RPSOMLQJMHGGFAU86CC,20,57.29,共有部份,鋼筋混凝土造,90年2月23日,七層,
RPROMLQJMHGGFAU86DC,26,28.95,住家用,鋼筋混凝土造,84年1月24日,五層,
RPROMLQJMHGGFAU86DC,26,7.69,共有部份,鋼筋混凝土造,84年1月24日,五層,
RPUOMLRJMHGGFAU17CC,39,134.32,住家用,鋼筋混凝土造,71年5月17日,四層,
RPUOMLRJMHGGFAU17CC,39,25.01,共有部份,鋼筋混凝土造,71年5月17日,四層,
RPSNMLRJMHGGFAU86CC,36,13.22,住商用,鋼筋混凝土造,74年4月24日,三層,
RPUOMLQJMHGGFAU17DC,40,96.31,住家用,鋼筋混凝土加強磚造,70年1月7日,二層,
RPVOMLSJMHGGFAU37CC,3,19.74,住家用,鋼筋混凝土造,107年5月14日,五層,
RPWOMLSJMHGGFAU47CC,4,34.15,住家用,鋼筋混凝土造,106年7月31日,五層,
RPPPMLSJMHGGFAU86CC,27,73.93,住家用,鋼筋混凝土造,83年3月15日,十二層,
RPPPMLSJMHGGFAU86CC,27,18.66,共有部份,鋼筋混凝土造,83年3月15日,十二層,
RPRNMLTJMHGGFAU96CC,35,141.64,住商用,鋼筋混凝土加強磚造,75年1月29日,二層,
RPROMLPKLHGGFAU66CC,25,301.60,農舍,鋼架造,84年12月22日,二層,
RPSPMLSJMHGGFAU17CC,25,26.86,住家用,鋼筋混凝土造,85年2月2日,十層,
RPSPMLSJMHGGFAU17CC,25,3.98,共有部份,鋼筋混凝土造,85年2月2日,十層,
RPSPMLSJMHGGFAU17CC,25,11.91,共有部份,鋼筋混凝土造,85年2月2日,十層,
RPSPMLSJMHGGFAU17CC,25,.74,共有部份,鋼筋混凝土造,85年2月2日,十層,
RPQPMLTJMHGGFAU07CC,27,160.05,住商用,鋼筋混凝土造,83年3月30日,四層,
RPPNMLMKMHGGFAU78CC,6,538.39,農舍,鋼筋混凝土造,103年10月24日,二層,
RPRNMLRKLHGGFAU76CC,6,258.59,住家用,鋼筋混凝土造,104年4月17日,四層,
RPXNMLTKMHGGFAU67CC,29,90.44,工廠、辦公廳、單身員工宿社舍、貯藏室,鋼筋混凝土造,80年12月18日,四層,
RPSNMLKMLHGGFAU98CC,21,150.76,住家用,鋼筋混凝土造,89年7月28日,四層,
RPQNMLQKMHGGFAU66CC,4,19.83,住家用,鋼筋混凝土造,105年12月28日,四層,
RPXNMLKLMHGGFAU86CC,21,193.81,住家用,鋼筋混凝土造,89年9月26日,三層,
RPVPMLLLMHGGFAU96CC,21,14.09,停車空間,鋼筋混凝土造,89年8月7日,十五層,
RPSOMLMLMHGGFAU76DC,26,17.61,住家用,鋼筋混凝土造,83年11月15日,十二層,
RPSOMLMLMHGGFAU76DC,26,5.58,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPSOMLMLMHGGFAU76DC,26,2.98,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPUPMLLLMHGGFAU86CC,21,14.09,商業用,鋼筋混凝土造,89年8月7日,十五層,
RPUPMLNLMHGGFAU07CC,3,23.61,集合住宅,鋼筋混凝土造,107年6月22日,五層,
RPUPMLNLMHGGFAU07CC,3,15.30,共有部分,鋼筋混凝土造,107年6月22日,五層,
RPQNMLMLMHGGFAU98CC,43,69.00,商業用,鋼筋混凝土加強磚造,66年12月21日,一層,
RPSPMLLLMHGGFAU76DC,31,41.29,住家用,鋼筋混凝土造,78年11月4日,六層,
RPSPMLLLMHGGFAU76DC,31,11.39,共有部分,鋼筋混凝土造,78年11月4日,六層,
RPPOMLQLMHGGFAU76CC,27,14.63,住家用,鋼筋混凝土造,83年8月11日,八層,
RPPOMLQLMHGGFAU76CC,27,5.81,共有部分,鋼筋混凝土造,83年8月11日,八層,
RPWOMLQLMHGGFAU47CC,29,90.44,工廠、辦公廳、單身員工宿社舍、貯藏室,鋼筋混凝土造,80年12月18日,四層,
RPRQMLNLMHGGFAU86CC,25,18.36,住家用,鋼筋混凝土造,85年5月13日,五層,
RPUOMLTLMHGGFAU57CC,30,367.76,商業用,鋼筋混凝土造,80年5月21日,十層,
RPUOMLTLMHGGFAU57CC,30,498.84,商業用,鋼筋混凝土造,80年5月21日,十層,
RPUOMLTLMHGGFAU57CC,30,783.88,共有部分,鋼筋混凝土造,80年5月21日,十層,
RPTNMLSLMHGGFAU27CC,42,16.52,住商用,鋼筋混凝土造,68年5月11日,三層,
RPUPMLNJNHGGFAU96CC,3,13.34,住家用,鋼筋混凝土造,107年5月14日,五層,
RPVNMLSLMHGGFAU47CC,29,90.00,住家用,鋼筋混凝土造,80年12月18日,四層,
RPOOMLLKNHGGFAU78CC,,193.38,商業用,鋼筋混凝土造,,三層,
RPSPMLNJNHGGFAU76CC,3,53.06,住家用,鋼筋混凝土造,107年5月14日,五層,
RPRPMLPJNHGGFAU96DC,24,69.62,住家用,鋼筋混凝土造,86年8月27日,九層,
RPRPMLPJNHGGFAU96DC,24,92.29,住家用,鋼筋混凝土造,86年8月27日,九層,
RPRPMLPJNHGGFAU96DC,24,28.18,共有部分,鋼筋混凝土造,86年8月27日,九層,
RPRPMLPJNHGGFAU96DC,24,21.78,共有部分,鋼筋混凝土造,86年8月27日,九層,
RPRPMLPJNHGGFAU96DC,24,7.46,共有部分,鋼筋混凝土造,86年8月27日,九層,
RPRNMLKKNHGGFAU88CC,43,16.52,住商用,鋼筋混凝土造,66年11月18日,二層,
RPQPMLKKNHGGFAU98CC,34,84.31,住商用,鋼筋混凝土造,75年12月13日,二層,
RPQOMLLKNHGGFAU98CC,36,59.75,住家用,鋼筋混凝土加強磚造,74年3月28日,一層,
RPWOMLLKNHGGFAU96CC,24,29.85,住家用,鋼筋混凝土造,85年10月29日,十六層,
RPWOMLLKNHGGFAU96CC,24,4.94,共有部分,鋼筋混凝土造,85年10月29日,十六層,
RPWOMLLKNHGGFAU96CC,24,7.55,共有部分,鋼筋混凝土造,85年10月29日,十六層,
RPXOMLLKNHGGFAU07CC,26,28.83,住家用,鋼筋混凝土造,84年8月19日,十一層,
RPXOMLLKNHGGFAU07CC,26,7.71,共有部分,鋼筋混凝土造,84年8月19日,十一層,
RPQOMLMKNHGGFAU09CC,25,161.90,住家用,鋼筋混凝土造,84年12月5日,三層,
RPUOMLMKNHGGFAU86CC,29,92.55,住家用,鋼筋混凝土造,80年12月18日,四層,
RPPPMLLKNHGGFAU98CC,24,107.96,住家用,鋼筋混凝土造,86年7月18日,十二層,
RPPPMLLKNHGGFAU98CC,24,28.95,共有部分,鋼筋混凝土造,86年7月18日,十二層,
RPPOMLMKNHGGFAU98CC,21,60.34,住商用,鋼筋混凝土造,89年8月18日,四層,
RPROMLOKNHGGFAU76CC,16,333.81,住商用,鋼筋混凝土造,94年3月23日,四層,
RPWOMLMKNHGGFAU07CC,29,93.00,住家用,鋼筋混凝土造,80年12月18日,四層,
RPRNMLNKNHGGFAU56CC,5,195.58,住家用,鋼筋混凝土造,105年6月24日,四層,
RPRNMLNKNHGGFAU56CC,5,2.74,共有部分,鋼筋混凝土造,105年6月24日,,
RPSOMLOKNHGGFAU86CC,38,110.61,住商用,鋼筋混凝土加強磚造,72年7月1日,二層,
RPOPMLNKNHGGFAU56DC,41,91.71,住商用,鋼筋混凝土造,69年5月3日,三層,
RPPQMLRKNHGGFAU07CC,18,192.70,住家用,鋼筋混凝土造,92年6月6日,四層,
RPRQMLRKNHGGFAU27CC,21,101.54,店舖,鋼筋混凝土造,89年6月9日,七層,
RPRQMLRKNHGGFAU27CC,21,59.88,共有部分,鋼筋混凝土造,89年6月9日,七層,
RPRQMLRKNHGGFAU27CC,21,23.25,共有部分,鋼筋混凝土造,89年6月9日,七層,
RPUQMLRKNHGGFAU57CC,26,34.07,住家用,鋼筋混凝土造,84年3月16日,五層,
RPUQMLRKNHGGFAU57CC,26,8.66,共有部分,鋼筋混凝土造,84年3月16日,五層,
RPTQMLRKNHGGFAU47CC,27,30.62,集合住宅、自用儲藏室、店舖,鋼筋混凝土造,83年4月12日,七層,
RPTQMLRKNHGGFAU47CC,27,37.28,共有部分,鋼筋混凝土造,83年4月23日,七層,
RPXPMLRKNHGGFAU77CC,,1214.52,工業用,鋼骨或鋼骨混合造,110年1月27日,一層,
RPSNMLSKNHGGFAU17CC,41,108.56,住商用,鋼筋混凝土造,69年4月1日,三層,
RPPOMLSKNHGGFAU96CC,42,16.52,住商用,鋼筋混凝土造,68年5月11日,三層,
RPXNMLSKNHGGFAU67CC,42,19.83,住商用,鋼筋混凝土造,68年5月11日,三層,
RPRNMLSKNHGGFAU07CC,36,92.97,住家用,鋼筋混凝土造,73年12月31日,二層,
RPPNMLTKNHGGFAU96CC,,284.76,住商用,鋼筋混凝土造,,四層,
