編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWNMLPKLHGGFAU07CC,北濱段,112.00,都市：住,,,,14210000
RPWNMLPKLHGGFAU07CC,北濱段,79.00,都市：住,,,,14220000
RPOPMLPKLHGGFAU09CC,富國段,12.34,都市：商,,,,01140000
RPSOMLSKLHGGFAU07CC,慈惠段,305.68,都市：住,,,,05240010
RPQNMLRKLHGGFAU66CC,國風段,.00,都市：住,,,,17430000
RPOPMLQKLHGGFAU56CC,國光段,1.62,都市：商,,,,00450000
RPVNMLOLLHGGFAU96CC,裕民段,37.00,都市：住,,,,06500002
RPXNMLQJMHGGFAU27CC,林森段,88.00,都市：商,,,,11400000
RPXNMLQJMHGGFAU27CC,林森段,30.00,都市：商,,,,11480002
RPOOMLQJMHGGFAU09CC,主商段,.00,都市：商,,,,07200000
RPOOMLQJMHGGFAU09CC,主商段,.00,都市：商,,,,07190000
RPOOMLQJMHGGFAU09CC,主商段,.00,都市：其他:道路用地,,,,07190001
RPXOMLKMLHGGFAU96CC,嘉南段,.00,都市：商,,,,03910001
RPXNMLNLLHGGFAU07CC,宜寧段,226.00,都市：住,,,,04830000
RPSOMLQJMHGGFAU86CC,主商段,38.43,都市：住,,,,00660000
RPROMLQJMHGGFAU86DC,富國段,11.79,都市：住,,,,04030012
RPUOMLRJMHGGFAU17CC,德安段,48.62,都市：住,,,,05680000
RPUOMLRJMHGGFAU17CC,德安段,13.62,都市：住,,,,05700000
RPSNMLRJMHGGFAU86CC,莊敬段,10.00,都市：住,,,,04970000
RPUOMLQJMHGGFAU17DC,國風段,74.00,都市：住,,,,06450002
RPUOMLQJMHGGFAU17DC,國風段,10.00,都市：住,,,,06560008
RPVOMLSJMHGGFAU37CC,嘉南段,.00,都市：商,,,,03910014
RPVOMLSJMHGGFAU37CC,嘉南段,.00,都市：商,,,,03910020
RPVOMLSJMHGGFAU37CC,嘉南段,.00,都市：商,,,,03910021
RPWOMLSJMHGGFAU47CC,嘉南段,.00,都市：商,,,,03910002
RPPPMLSJMHGGFAU86CC,主商段,8.03,都市：商,,,,05530000
RPRNMLTJMHGGFAU96CC,政明段,114.86,都市：住,,,,01890000
RPROMLPKLHGGFAU66CC,壽農段,1012.43,非都市：特定農業區 ; 非都市編定：農牧用地,,,,09300000
RPSPMLSJMHGGFAU17CC,民享段,4.51,都市：商,,,,14990000
RPQPMLTJMHGGFAU07CC,明義段,5.00,都市：商,,,,03720001
RPQPMLTJMHGGFAU07CC,明義段,44.50,都市：商,,,,05140000
RPPNMLMKMHGGFAU78CC,南埔段,2534.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,27010004
RPRNMLRKLHGGFAU76CC,仁廉段,117.00,都市：住,,,,08290003
RPXNMLTKMHGGFAU67CC,慈惠段,.00,都市：住,,,,05240010
RPSNMLKMLHGGFAU98CC,嘉北段,68.64,都市：住,,,,10490000
RPQNMLQKMHGGFAU66CC,林森段,.00,都市：住,,,,08010014
RPXNMLKLMHGGFAU86CC,永興段,95.84,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,07720004
RPVPMLLLMHGGFAU96CC,主權段,.00,都市：住,,,,07850000
RPPPMLLLMHGGFAU09DC,石壁段,2773.78,非都市：一般農業區 ; 非都市編定：農牧用地,,,,09880003
RPSOMLMLMHGGFAU76DC,富國段,.00,都市：商,,,,03090000
RPUPMLLLMHGGFAU86CC,主權段,.00,都市：住,,,,07850000
RPUPMLNLMHGGFAU07CC,富國段,13.58,都市：住,,,,05400000
RPQNMLMLMHGGFAU98CC,嘉北段,135.00,都市：住,,,,07440000
RPSPMLLLMHGGFAU76DC,富國段,11.89,都市：住,,,,01380000
RPPOMLQLMHGGFAU76CC,富國段,5.15,都市：住,,,,01570000
RPWOMLQLMHGGFAU47CC,慈惠段,.00,都市：住,,,,05240010
RPRQMLNLMHGGFAU86CC,裕民段,14.22,都市：住,,,,05400000
RPOOMLRLMHGGFAU86DC,林森段,1051.00,都市：住,,,,25900000
RPOOMLRLMHGGFAU86DC,林森段,127.00,都市：住,,,,25760000
RPOOMLRLMHGGFAU86DC,林森段,1264.00,都市：住,,,,25940000
RPUOMLTLMHGGFAU57CC,明義段,.00,都市：商,,,,08940000
RPUOMLTLMHGGFAU57CC,明義段,.00,都市：商,,,,08950000
RPTNMLSLMHGGFAU27CC,嘉北段,.00,都市：住,,,,11090000
RPUPMLNJNHGGFAU96CC,嘉南段,.00,都市：商,,,,03910014
RPUPMLNJNHGGFAU96CC,嘉南段,.00,都市：商,,,,03910020
RPUPMLNJNHGGFAU96CC,嘉南段,.00,都市：商,,,,03910021
RPVNMLSLMHGGFAU47CC,慈惠段,.00,都市：住,,,,05240010
RPOOMLLKNHGGFAU78CC,北濱段,.00,都市：商,,,,07300000
RPOOMLLKNHGGFAU78CC,北濱段,.00,都市：商,,,,07310000
RPSPMLNJNHGGFAU76CC,嘉南段,.00,都市：商,,,,03910001
RPRPMLPJNHGGFAU96DC,民意段,38.65,都市：住,,,,08190000
RPRNMLKKNHGGFAU88CC,國風段,.00,都市：住,,,,17430000
RPQPMLKKNHGGFAU98CC,自強段,.00,都市：住,,,,02190000
RPQOMLLKNHGGFAU98CC,永安段,117.13,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,03060000
RPWOMLLKNHGGFAU96CC,福祥段,5.70,都市：住,,,,09970000
RPXOMLLKNHGGFAU07CC,自強段,4.97,都市：住,,,,00140000
RPQOMLMKNHGGFAU09CC,仁廉段,80.00,都市：住,,,,03700003
RPUOMLMKNHGGFAU86CC,慈惠段,.00,都市：住,,,,05240010
RPPPMLLKNHGGFAU98CC,民享段,14.11,都市：商,,,,06360000
RPPOMLMKNHGGFAU98CC,北濱段,.00,都市：商,,,,12740000
RPPOMLMKNHGGFAU98CC,北濱段,.00,都市：商,,,,12750000
RPPOMLMKNHGGFAU98CC,北濱段,.00,都市：商,,,,12760000
RPPOMLMKNHGGFAU98CC,北濱段,.00,都市：商,,,,12770000
RPROMLOKNHGGFAU76CC,莊敬段,150.00,都市：住,,,,03450009
RPWOMLMKNHGGFAU07CC,慈惠段,.00,都市：住,,,,05240010
RPRNMLNKNHGGFAU56CC,嘉南段,.00,都市：住,,,,04090000
RPSOMLOKNHGGFAU86CC,國風段,94.00,都市：住,,,,15450029
RPOPMLNKNHGGFAU56DC,嘉北段,60.00,都市：住,,,,08710001
RPPQMLRKNHGGFAU07CC,慈安段,78.00,都市：住,,,,10960027
RPRQMLRKNHGGFAU27CC,民孝段,72.93,都市：住,,,,01310000
RPUQMLRKNHGGFAU57CC,仁恥段,11.41,都市：住,,,,07100010
RPTQMLRKNHGGFAU47CC,富國段,.00,都市：住,,,,01680000
RPXPMLRKNHGGFAU77CC,民心段,1777.00,都市：工,,,,04400000
RPSNMLSKNHGGFAU17CC,主商段,27.00,都市：商,,,,04160002
RPPOMLSKNHGGFAU96CC,嘉北段,.00,都市：住,,,,11090000
RPXNMLSKNHGGFAU67CC,嘉北段,.00,都市：住,,,,11090000
RPRNMLSKNHGGFAU07CC,福安段,78.00,都市：住,,,,14000019
RPPNMLTKNHGGFAU96CC,主商段,100.00,都市：住,,,,07840000
RPOOMLTKNHGGFAU96CC,自強段,98.00,都市：住,,,,01260000
RPOOMLTKNHGGFAU96CC,自強段,108.00,都市：住,,,,01260004
RPTNMLSKNHGGFAU27CC,慈惠段,.00,都市：住,,,,05240010
RPSNMLOLNHGGFAU86CC,自強段,8.17,都市：住,,,,01260000
RPSNMLOLNHGGFAU86CC,自強段,36.00,都市：住,,,,01260004
RPPNMLPLNHGGFAU66CC,富國段,12.31,都市：商,,,,01140000
RPTQMLKLNHGGFAU86CC,嘉北段,.00,都市：住,,,,11090000
RPUQMLKLNHGGFAU96CC,嘉北段,.00,都市：住,,,,11090000
RPVNMLPLNHGGFAU27CC,太昌段,84.00,都市：住,,,,13800036
RPUPMLPLNHGGFAU37CC,嘉南段,.00,都市：商,,,,03910019
RPVOMLPLNHGGFAU37CC,慈惠段,.00,都市：住,,,,05240010
RPRNMLQLNHGGFAU96CC,慈惠段,.00,都市：住,,,,05240010
RPVPMLPLNHGGFAU47CC,嘉南段,.00,都市：商,,,,03910022
RPSNMLQLNHGGFAU07CC,民意段,11.53,都市：住,,,,08190000
RPSQMLQLNHGGFAU37CC,國風段,.00,都市：住,,,,14760000
RPSQMLQLNHGGFAU37CC,國風段,.00,都市：住,,,,14780000
RPWPMLPLNHGGFAU57CC,嘉南段,.00,都市：商,,,,03910001
RPQNMLRLNHGGFAU96CC,德安段,14.37,都市：住,,,,20210000
RPSNMLRLNHGGFAU17CC,慈勝段,43.16,都市：商,,,,00730000
RPSNMLRLNHGGFAU17CC,慈勝段,72.97,都市：商,,,,00700000
RPROMLLMNHGGFAU66CC,慈惠段,.00,都市：住,,,,05240010
RPPPMLLMNHGGFAU56CC,慈惠段,.00,都市：住,,,,05240010
RPUNMLQLNHGGFAU27CC,莊敬段,22.37,都市：住,,,,02580000
