編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLTJRHGGFCA58EA,碧湖段一小段,4.53,都市：其他:第三種住宅區。,6360,89,持分移轉,05320000
RPSPMLPJQHGGFCA08EA,吉林段五小段,1.53,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,200000,86,持分移轉,03140000
RPQOMLQJRHGGFEA08DA,溪洲段三小段,24.80,都市：其他:道路用地(公共設施用地) 但是否在住宅區(細部計畫尚未完成，尚未能准許依變更後計畫用途使用應依建築線或俟地籍測量分割後，再確定)。,20000,8130,持分移轉,01170000
RPPOMLQJRHGGFEA97DA,溪洲段一小段,185.66,都市：其他:道路用地(公共設施用地)(將來採區段徵收方式辦理整體開發)。,20000,7006,持分移轉,04270000
RPXOMLMJQHGGFCA08DA,西湖段一小段,.26,都市：其他:第三種住宅區。,10000,1,持分移轉,02770000
RPOPMLSJRHGGFEA18DA,富安段三小段,89.07,都市：其他:遊樂區(細部計畫尚未完成，尚未能准許依變更後計畫用途使用)。,45,3,持分移轉,01150000
RPVPMLSLPHGGFDA88EA,麗山段一小段,13.80,都市：其他:保護區。,30,2,持分移轉,00560000
RPVPMLSLPHGGFDA88EA,麗山段一小段,.73,都市：其他:保護區。,30,2,持分移轉,00560003
RPVNMLKKQHGGFEA97EA,新安段五小段,79.90,都市：其他:住宅區(原為保護區，經都市計畫檢討主要計畫變更，但因細部計畫及整體開發作業尚未完成，尚未能准許依變更後計畫用途使用) 但是否在道路用地(公共設施用地)(應依建築線或俟地籍測量分割後，再確定)。,1,1,全筆移轉,03680001
RPQPMLTJQHGGFEA48EA,華岡段三小段,5.41,都市：其他:第一種商業區。,10000,50,持分移轉,06050000
RPWOMLSLPHGGFDA88EA,玉成段五小段,8.78,都市：其他:第三種住宅區。,96,1,持分移轉,04800000
RPXOMLLKQHGGFCA18EA,潭美段三小段,.92,都市：其他:第參種工業區(不得作住宅使用)。,10000,4,持分移轉,08050000
RPUPMLLKQHGGFEA18EA,永平段三小段,11.58,都市：其他:第三種住宅區。,24,1,持分移轉,03050000
RPUPMLLKQHGGFEA18EA,永平段三小段,17.62,都市：其他:第三種住宅區。,24,1,持分移轉,03110000
RPPNMLKKQHGGFEA27DA,天母段三小段,.09,都市：其他:第三種住宅區。,10000,1,持分移轉,01620000
RPQOMLKKQHGGFDA47EA,美仁段一小段,.18,都市：其他:第三種住宅區。,100000,18,持分移轉,07100000
RPQNMLNKQHGGFDA67EA,信義段三小段,83.89,都市：其他:住宅區(信義計畫特定專用區)。,10000,1459,持分移轉,00220001
RPRNMLMKQHGGFBA37DA,迪化段一小段,.23,都市：其他:第三種商業區。,10000,1,持分移轉,01130000
RPRNMLMKQHGGFBA37DA,迪化段一小段,.10,都市：其他:特定專用區(供一般商業使用)。,10000,1,持分移轉,01130001
RPOPMLMKQHGGFDA47DA,信義段三小段,14.44,都市：其他:特定業務區(信義計畫特定專用區)。,10000,44,持分移轉,00360001
RPRNMLOJQHGGFEA77DA,豐年段一小段,97.50,都市：其他:農業區。,10000,390,持分移轉,01900000
RPTPMLTJQHGGFCA48DA,北安段三小段,.55,都市：其他:第三種住宅區。,10000,2,持分移轉,04880000
RPXQMLMKQHGGFCA38DA,金泰段,68.13,都市：其他:娛樂區(供觀光旅館使用)。,20000,54,持分移轉,00290000
RPPPMLMKQHGGFDA57DA,寶清段四小段,3.62,都市：其他:聯合開發區(捷)。,100000,180,持分移轉,05990000
RPOOMLLKQHGGFDA27DA,祥和段三小段,50.50,都市：其他:第三種住宅區。,4,1,持分移轉,02030000
