編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQRMLKKQHGGFCB67DA,26,3.26,農舍,鋼架構造,84年6月26日,一層,一層
RPOOMLMJQHGGFHB77DA,5,51.68,集合住宅,鋼筋混凝土造,105年11月15日,十二層,九層 陽台 雨遮
RPOOMLMJQHGGFHB77DA,5,62.96,停車空間、樓梯間、昇降機間、梯廳、消防機械室兼污水機房、車道、蓄水池、防空避難室兼停車空間、台電配電室、電信室、緊急發電機室、管委會空間、水箱、機械室、電梯機房等十五項,鋼筋混凝土造,105年11月15日,十二層,
RPXPMLNJQHGGFBB28DA,29,179.10,住商用,鋼筋混凝土造,81年6月1日,七層,一層 二層 陽台 平台 騎樓 地下層
RPXPMLNJQHGGFBB28DA,29,33.55,共用部份,鋼筋混凝土造,81年6月1日,七層,
RPWNMLKKQHGGFHB48EA,26,147.81,住家用,鋼筋混凝土造,84年5月9日,八層,七層 八層 陽台 露台 花台
RPWNMLKKQHGGFHB48EA,26,47.85,共用部份,鋼筋混凝土造,84年5月9日,八層,
RPSNMLLKQHGGFAB37DA,27,23.15,住家用,鋼筋混凝土造,84年1月13日,十九層,五層 陽台
RPSNMLLKQHGGFAB37DA,27,3.81,共用部份,鋼筋混凝土造,84年1月13日,十九層,
RPSNMLLKQHGGFAB37DA,27,8.34,梯間．水箱．機械室,鋼筋混凝土造,84年1月13日,十九層,
RPOPMLMJQHGGFAB17DA,27,20.16,住家用,鋼筋混凝土造,83年12月7日,十五層,九層
RPOPMLMJQHGGFAB17DA,27,10.31,共有部份,鋼筋混凝土造,83年12月7日,十五層,
RPWOMLTJQHGGFIB76DA,26,19.67,集合住宅,鋼筋混凝土造,84年12月22日,十六層,六層 陽台
RPWOMLTJQHGGFIB76DA,26,10.23,共用部份,鋼筋混凝土造,84年12月22日,十六層,
RPOPMLQJQHGGFFB08DA,3,189.21,停車空間，住宅,鋼筋混凝土造,107年2月6日,四層,一層 二層 三層 四層 陽台
RPUPMLTLPHGGFBB68DA,26,4.53,共用部份,鋼筋混凝土造,84年6月26日,二十四層,
RPUPMLTLPHGGFBB68DA,26,3.46,共用部份,鋼筋混凝土造,84年6月26日,二十四層,
RPUPMLTLPHGGFBB68DA,26,.00,共用部份,鋼筋混凝土造,84年6月26日,二十四層,
RPUPMLTLPHGGFBB68DA,26,16.43,住家用,鋼筋混凝土造,84年6月26日,二十四層,五層 陽台
RPOOMLNKQHGGFJB18DA,28,38.36,停車空間,鋼筋混凝土造,82年4月24日,十層,地下層
RPWNMLNJQHGGFBB97DA,29,37.69,住家用,鋼筋混凝土造,81年12月8日,八層,四層 陽台
RPWNMLNJQHGGFBB97DA,29,11.24,共用部份,鋼筋混凝土造,81年12月8日,八層,
RPOPMLQKQHGGFBB87EA,43,42.14,住商用,鋼筋混凝土造,67年4月18日,十層,八層
RPQOMLNJQHGGFCB57DA,28,6.78,共用部份,鋼筋混凝土造,82年8月30日,六層,
RPQOMLNJQHGGFCB57DA,28,36.05,住家用,鋼筋混凝土造,82年8月30日,六層,二層 陽台
RPPNMLLKQHGGFIB87DA,14,204.06,店舖．住宅,鋼筋混凝土造,96年10月22日,四層,一層 二層 三層 四層 陽台 雨遮
RPQNMLQKQHGGFJB58DA,37,8.10,市場攤位,鋼筋混凝土造,73年11月1日,三層,一層
RPQOMLTJQHGGFAB97DA,22,11.17,共同使用,鋼筋混凝土造,88年4月19日,九層,
RPTRMLQKQHGGFCB58DA,4,120.72,集合住宅,鋼筋混凝土造,106年6月6日,十二層,四層 陽台 雨遮
RPTRMLQKQHGGFCB58DA,4,108.31,本共有部分係依使用執照之建築物概要表記載項目有：停車空間兼防空避難室、蓄水池、昇降機間、樓梯間、梯廳、電信室、台電配電室、消防機房、汙水機房、緊急發電機室、管委會使用空間、門廳、車道投影、機械室、水箱等１５項。,鋼筋混凝土造,106年6月6日,十二層,
RPURMLQKQHGGFCB68DA,39,142.43,住家用,加強磚造,71年9月1日,二層,一層 二層 陽台 平台 屋頂突出物 夾層
RPVNMLMKQHGGFDB08DA,42,78.21,住家用,鋼筋混凝土造,68年8月1日,五層,五層 電梯樓梯間
RPTRMLTJQHGGFCB78DA,27,13.53,住家用,鋼筋混凝土造,83年9月30日,十二層,十一層 陽台
RPTRMLTJQHGGFCB78DA,27,13.99,住家用,鋼筋混凝土造,83年9月30日,十二層,十一層 陽台
RPTRMLTJQHGGFCB78DA,27,6.60,共用部份,鋼筋混凝土造,83年9月30日,十二層,
RPTRMLTJQHGGFCB78DA,27,7.07,共用部份,鋼筋混凝土造,83年9月30日,十二層,
RPQNMLLMPHGGFFB77DA,27,428.12,住商用,鋼筋混凝土造,83年8月31日,四層,一層 二層 三層 四層 陽台 屋頂突出物
RPRNMLMKQHGGFIB18DA,1,170.81,住宅、梯間,鋼筋混凝土造,109年9月21日,三層,一層 二層 三層 陽台 見其他登記事項
RPOOMLNJQHGGFHB87DA,27,78.65,住家用,鋼筋混凝土造,84年1月27日,七層,六層 陽台 花台
RPOOMLNJQHGGFHB87DA,27,21.77,共用部份,鋼筋混凝土造,84年1月27日,七層,
RPQOMLTJQHGGFIB78DA,44,80.86,住家用,加強磚造,66年12月29日,二層,一層 二層
RPUNMLKLQHGGFBB77EA,43,34.55,住商用,鋼筋混凝土造,67年4月18日,十層,八層
RPWNMLOJQHGGFIB78DA,39,71.76,集合住宅,鋼筋混凝土造,71年7月3日,五層,一層
RPOOMLRKQHGGFFB28EA,45,126.24,住商用,磨石地床、加強磚造、水泥平頂,66年1月20日,二層,一層 二層 騎樓
RPWNMLOJQHGGFKB98DA,9,544.19,見其他登記事項,見其他登記事項,101年3月14日,一層,
