編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOQMLQKQHGGFDC18DA,32,18.41,商業用,鋼筋混凝土造,78年12月9日,五層,一層 平台 騎樓
RPVOMLRKQHGGFDC78DA,2,89.34,集合住宅,鋼筋混凝土造,108年10月29日,七層,三層 陽台 雨遮
RPVOMLRKQHGGFDC78DA,2,49.87,本共有部分之項目有防空避難室兼停車空間、梯廳、樓梯間及水箱等４項,鋼筋混凝土造,108年10月29日,七層,
RPXOMLRKQHGGFDC98DA,,163.70,住商用,鋼筋混凝土加強磚造,,四層,四層
RPTOMLSKQHGGFDC68DA,27,81.95,住家用,鋼筋混凝土造,83年3月18日,九層,九層
RPTOMLSKQHGGFDC68DA,27,16.85,共用部份,鋼筋混凝土造,83年3月18日,九層,
RPROMLTKQHGGFDC58DA,24,12.52,共用部份,鋼筋混凝土造,86年7月18日,十二層,
RPPNMLLLQHGGFDC57DA,40,44.21,住家用,鋼筋混凝土造,70年7月20日,四層,四層 陽台
RPOOMLTKQHGGFDC28DA,40,96.99,住家用,鋼筋混凝土造,71年1月15日,四層,四層 陽台
RPUOMLSKQHGGFDC78DA,48,81.04,住家用,鋼筋混凝土加強磚造,62年3月26日,四層,四層
RPWNMLSKQHGGFDC88DA,28,97.11,住家用,鋼筋混凝土造,82年9月2日,七層,二層 陽台 雨遮
RPWNMLSKQHGGFDC88DA,28,4.11,共用部份,鋼筋混凝土造,82年9月2日,七層,
RPWNMLSKQHGGFDC88DA,28,1.15,共用部份,鋼筋混凝土造,82年9月2日,七層,
RPWNMLSKQHGGFDC88DA,28,7.53,共用部份,鋼筋混凝土造,82年9月2日,七層,
RPOOMLRKQHGGFDC08DA,45,71.71,住家用,鋼筋混凝土造,66年2月2日,四層,三層
RPVNMLRKQHGGFDC68DA,26,122.06,住家用,鋼筋混凝土造,84年8月1日,十二層,十二層 陽台 花台
RPVNMLRKQHGGFDC68DA,26,10.65,共用部份,鋼筋混凝土造,84年8月1日,十二層,
RPVNMLRKQHGGFDC68DA,26,6.43,共用部份,鋼筋混凝土造,84年8月1日,十二層,
RPTOMLLKQHGGFDC97DA,26,71.19,住家用,鋼筋混凝土造,84年5月17日,六層,四層 陽台 花台
RPTOMLLKQHGGFDC97DA,26,13.17,共用部份,鋼筋混凝土造,84年5月17日,六層,
RPTOMLLKQHGGFDC97DA,26,14.50,共用部份,鋼筋混凝土造,84年5月17日,六層,
RPSOMLRKQHGGFDC48DA,6,.01,辦公室,鋼筋混凝土造,105年1月24日,,地下二層
RPSOMLRKQHGGFDC48DA,6,75.95,集合住宅,鋼筋混凝土造,105年1月24日,十八層,四層 陽台 雨遮
RPSOMLRKQHGGFDC48DA,6,.00,本共有部分之項目為受水池、安全梯、受水池機房、社區水箱、迴廊等共５項。,鋼筋混凝土造,105年1月24日,二十三層,
RPSOMLRKQHGGFDC48DA,6,.73,本共有部分之項目為受水池、安全梯、受水池機房、社區水箱、迴廊等共５項。,鋼筋混凝土造,105年1月24日,二十三層,
RPSOMLRKQHGGFDC48DA,6,.01,本共有部分之項目為排煙室、特別安全梯、緊急昇降機、機房、樓梯間、消防水箱、水箱、電梯機房、消防中繼機房、陽台、中繼室、中繼自來水箱、雨遮、中繼消防水箱、消防泵浦室、機電空間、安全梯  、發電機室、電信室、台電配電場所、大廳、行動不便者電梯、電梯  、１Ｆ門廳、２Ｆ門廳、３Ｆ門廳、台電管道間、消防幫浦室、泵浦  、走道、停車空間、配電箱、資源回收區、４Ｆ門廳、廚餘冷藏室、  不可回收垃圾區、緊急升降機、梯廳、電信機房、５Ｆ門廳、防空避難室兼停車空間、台電專用管道、雨水回收區、雨水收集槽、雨水回收及噴灌機房、６Ｆ門廳、游泳池及中庭景觀池機房、消防幫浦機房  、電信機房室、垃圾處理空間、７Ｆ門廳、機車位、社區中心、防災中心、水景機房等共５５項。,鋼筋混凝土造,105年1月24日,二十五層,
RPSOMLRKQHGGFDC48DA,6,44.51,本共有部分之項目為排煙室、特別安全梯、緊急昇降機、機房、樓梯間、消防水箱、水箱、電梯機房、消防中繼機房、陽台、中繼室、中繼自來水箱、雨遮、中繼消防水箱、消防泵浦室、機電空間、安全梯  、發電機室、電信室、台電配電場所、大廳、行動不便者電梯、電梯  、１Ｆ門廳、２Ｆ門廳、３Ｆ門廳、台電管道間、消防幫浦室、泵浦  、走道、停車空間、配電箱、資源回收區、４Ｆ門廳、廚餘冷藏室、  不可回收垃圾區、緊急升降機、梯廳、電信機房、５Ｆ門廳、防空避難室兼停車空間、台電專用管道、雨水回收區、雨水收集槽、雨水回收及噴灌機房、６Ｆ門廳、游泳池及中庭景觀池機房、消防幫浦機房  、電信機房室、垃圾處理空間、７Ｆ門廳、機車位、社區中心、防災中心、水景機房等共５５項。,鋼筋混凝土造,105年1月24日,二十五層,
RPQNMLLLQHGGFDC67DA,40,75.29,住家用,鋼筋混凝土造,70年12月31日,五層,四層 陽台
RPQPMLKKQHGGFDC67DA,2,42.56,集合住宅,鋼筋混凝土造,108年2月12日,十四層,八層 陽台
RPQPMLKKQHGGFDC67DA,2,8.60,本共有部分之項目有樓電梯間、梯廳、樓梯間、設備室、機械室及水箱等六項,鋼筋混凝土造,108年2月12日,十四層,
RPQPMLKKQHGGFDC67DA,2,12.44,本共有部分之項目有車道、住宅門廳、排煙室兼梯廳、樓電梯間、陽台、防空避難室兼停車空間、受電箱、安全梯、台電配電場所、電信室、機房、儲藏室、機械設備室、機械室、排煙室、樓梯間、貯藏室、管委會使用空間、門廳及住宅挑高門廳等二十項,鋼筋混凝土造,108年2月12日,十四層,
RPTQMLQKQHGGFDC68DA,40,106.93,住家用,鋼筋混凝土造,70年8月7日,五層,五層 陽台
RPQOMLKLQHGGFDC67DA,25,102.74,集合住宅,鋼筋混凝土造,85年1月20日,十六層,十五層 陽台
RPQOMLKLQHGGFDC67DA,,17.07,共用部份,鋼筋混凝土造,85年1月20日,十六層,
RPQOMLKLQHGGFDC67DA,,15.47,共用部份,鋼筋混凝土造,85年1月20日,十六層,
RPQNMLSKQHGGFDC38EA,25,84.75,住家用,鋼筋混凝土造,85年3月9日,十五層,一層 陽台 平台
RPQNMLSKQHGGFDC38EA,25,17.22,共用部份,鋼筋混凝土造,85年3月9日,十五層,
RPPRMLLKQHGGFDC87DA,22,.07,住家用,鋼筋混凝土造,88年6月11日,一層,一層
RPPRMLLKQHGGFDC87DA,22,.07,住家用,鋼筋混凝土造,88年6月11日,一層,一層
RPPRMLLKQHGGFDC87DA,22,.00,共用部份,鋼筋混凝土造,88年6月11日,九層,
RPPRMLLKQHGGFDC87DA,22,.00,共用部份,鋼筋混凝土造,88年6月11日,九層,
RPPRMLLKQHGGFDC87DA,22,.39,共用部份,鋼筋混凝土造,88年6月11日,五層,
RPPRMLLKQHGGFDC87DA,22,.39,共用部份,鋼筋混凝土造,88年6月11日,五層,
RPPRMLLKQHGGFDC87DA,22,.01,共用部份,鋼筋混凝土造,88年6月11日,五層,
RPPRMLLKQHGGFDC87DA,22,.01,共用部份,鋼筋混凝土造,88年6月11日,五層,
RPPRMLLKQHGGFDC87DA,22,203.39,一層：機房　第一至四層：鄉村住宅　地下層：停車場,鋼筋混凝土造,88年8月12日,四層,一層 二層 三層 四層 陽台 水箱 露台 雨遮 地下層
RPWNMLNLQHGGFDC48DA,31,7.38,共用部份,鋼筋混凝土造,79年4月24日,五層,
RPWNMLNLQHGGFDC48DA,31,92.89,住家用,鋼筋混凝土造,79年4月24日,五層,五層 陽台
RPROMLNLQHGGFDC08DA,24,95.23,住家用,鋼筋混凝土造,86年11月21日,十七層,五層 陽台
RPROMLNLQHGGFDC08DA,24,14.68,共用部份,鋼筋混凝土造,86年11月21日,十七層,
RPROMLNLQHGGFDC08DA,24,8.58,共用部份,鋼筋混凝土造,86年11月21日,二十一層,
RPPPMLOJQHGGFDC87DA,25,123.73,集合住宅,鋼筋混凝土造,85年9月18日,十層,六層 陽台
RPPPMLOJQHGGFDC87DA,25,43.31,本共有部分之項目有防空避難室兼停車場、汽車昇降機、機房、水箱、變電室、門廳、停車空間、樓梯間、電梯間及騎樓〈人行道〉等十項,鋼筋混凝土造,85年9月18日,十層,
RPSNMLNLQHGGFDC18EA,29,104.50,住家用,鋼筋混凝土造,82年1月19日,六層,二層 陽台
RPSNMLNLQHGGFDC18EA,29,40.90,共用部份,鋼筋混凝土造,82年1月19日,六層,
RPQQMLLKQHGGFDC87DA,27,7.86,共用部份,鋼筋混凝土造,83年10月15日,五層,
RPQQMLLKQHGGFDC87DA,26,83.23,住家用,鋼筋混凝土造,84年8月11日,五層,五層 陽台 花台
RPQQMLLKQHGGFDC87DA,26,4.06,共用部份,鋼筋混凝土造,84年8月11日,五層,
RPVQMLTKQHGGFDC56DA,39,87.02,住家用,鋼筋混凝土造,71年4月26日,四層,二層 陽台
RPVQMLTKQHGGFDC56DA,39,5.50,共用部份,鋼筋混凝土造,71年4月26日,四層,
