編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPXOMLTJQHGGFAI76DA,31,141.18,住商用,鋼筋混凝土造,79年10月15日,七層,一層 平台 地下層
RPXOMLTJQHGGFAI76DA,31,12.04,共有部份,鋼筋混凝土造,79年10月15日,七層,
RPUNMLRKQHGGFAI88DA,1,249.42,住家用,鋼筋混凝土構造,109年9月1日,四層,一層 二層 三層 四層 陽台
RPTNMLQKQHGGFAI68DA,9,318.14,店舖、騎樓、住宅、樓梯間,鋼筋混凝土構造,101年10月18日,四層,一層 二層 三層 四層 陽台 騎樓 見其他登記事項
RPRNMLKKQHGGFAI87DA,27,22.75,住家用,鋼筋混凝土造,83年8月30日,七層,六層 陽台
RPRNMLKKQHGGFAI87DA,27,7.71,共有部份,鋼筋混凝土造,83年8月30日,七層,
RPVNMLRKQHGGFAI98DA,1,249.41,住家用,鋼筋混凝土構造,109年9月1日,四層,一層 二層 三層 四層 陽台
RPPNMLLKQHGGFAI77DA,48,68.60,住家用,木造,62年11月27日,二層,一層 二層
RPQNMLNKQHGGFAI08DA,27,65.24,住家用,鋼筋混凝土造,83年9月14日,十二層,八層 陽台 花台
RPQNMLNKQHGGFAI08DA,27,23.06,共有部份,鋼筋混凝土造,83年9月14日,十二層,
RPPNMLNLQHGGFAI08DA,8,211.09,住宅、樓梯間,鋼筋混凝土構造,102年11月7日,四層,一層 二層 三層 四層 陽台 見其他登記事項
RPPNMLNLQHGGFAI08DA,8,.23,本共有部分之項目計有管理維護空間等一項。,鋼筋混凝土構造,102年11月7日,一層,
RPPOMLRKQHGGFAI48DA,32,136.01,住家用,加強磚造,78年8月10日,二層,一層 二層 陽台 電梯樓梯間 夾層
RPROMLKLQHGGFAI08DA,28,12.53,共有部份,鋼筋混凝土造,82年6月9日,十二層,
RPROMLKLQHGGFAI08DA,28,10.58,共有部份,鋼筋混凝土造,82年6月9日,十二層,
RPROMLKLQHGGFAI08DA,28,67.08,住家用,鋼筋混凝土造,82年6月9日,十二層,八層 陽台
RPRNMLNKQHGGFAI18DA,29,74.09,住家用,鋼筋混凝土造,81年5月13日,七層,六層 陽台
RPRNMLNKQHGGFAI18DA,29,34.25,共有部份,鋼筋混凝土造,81年5月13日,七層,
RPRNMLTKQHGGFAI78DA,25,23.47,住家用,鋼筋混凝土造,85年6月18日,九層,三層 陽台
