編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLRKQHGGFDP57EA,9,178.85,住宅、樓梯間,鋼筋混凝土造,101年4月26日,三層,一層 二層 三層 陽台 屋頂突出物
RPQNMLOJQHGGFDP09DA,27,140.49,住家用,鋼筋混凝土造,83年11月7日,三層,一層 二層 三層 陽台 電梯樓梯間
RPRNMLKLQHGGFDP09EA,25,176.91,住家用,鋼筋混凝土造,85年11月25日,三層,一層 二層 三層 陽台 電梯樓梯間
RPUNMLTKQHGGFAP17DA,37,73.26,住家用,加強磚造,73年9月1日,一層,一層 騎樓
RPPNMLTKQHGGFBP76DA,1,20.86,共有部份,鋼筋混凝土造,109年12月24日,八層,
RPPNMLTKQHGGFBP76DA,1,54.09,集合住宅,鋼筋混凝土造,109年12月24日,八層,六層 陽台
RPUNMLOLQHGGFAP86EA,50,79.34,住家用,磚造,60年9月10日,二層,一層 二層 騎樓
RPXNMLNLQHGGFDP27DA,15,22.40,集合住宅,鋼筋混凝土造,96年2月5日,十三層,十層 陽台
RPXNMLNLQHGGFDP27DA,15,8.76,防空避難室、停車空間、管理委員會使用空間、門廳、門廊、車道、樓梯間、機械室、水箱,鋼筋混凝土造,96年2月5日,十三層,
RPPNMLLLQHGGFDP88DA,22,80.22,住家用,鋼筋混凝土造,88年11月30日,九層,五層 陽台
RPPNMLLLQHGGFDP88DA,22,37.96,共有部份,鋼筋混凝土造,88年11月30日,九層,
RPPNMLLLQHGGFDP88DA,22,9.14,共有部份,鋼筋混凝土造,88年11月30日,九層,
RPXNMLNLQHGGFAP96DA,29,147.11,住商用,鋼筋混凝土造,81年11月4日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPTNMLOLQHGGFDP96DA,22,88.37,住家用,鋼筋混凝土造,88年7月30日,十四層,十層 陽台
RPTNMLOLQHGGFDP96DA,22,19.37,共有部份,鋼筋混凝土造,88年7月30日,十四層,
RPTNMLOLQHGGFDP96DA,22,1.85,住家用,鋼筋混凝土造,88年7月30日,十四層,
RPTNMLOLQHGGFDP96DA,22,10.72,樓，電梯間（共同使用）,鋼筋混凝土造,88年7月30日,十四層,
RPSNMLOLQHGGFDP86DA,22,114.06,住家用,鋼筋混凝土造,88年7月30日,十四層,十四層 陽台
RPSNMLOLQHGGFDP86DA,22,22.59,共有部份,鋼筋混凝土造,88年7月30日,十四層,
