編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLKKOHGGFBQ48CC,安福段,30.44,都市：住,,,,00370000
RPWNMLSKNHGGFDQ47CC,太頂珠段,.00,都市：住,,,,00240004
RPQNMLQKOHGGFDQ76CC,太頂珠段,40.98,都市：住,,,,00240004
RPUNMLSLOHGGFDQ47CC,和興段,56.71,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,10640000
RPPNMLMKPHGGFBQ88DC,朴工段,165.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,00720000
RPTNMLQKOHGGFCQ96CC,潭大段,88.07,都市：農,,,,00220000
RPOOMLSLOHGGFCQ86CC,大工一段,5290.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,02680000
RPSNMLLJPHGGFBQ88CC,文明段,24.03,都市：住,,,,04210000
RPRNMLSLPHGGFBQ07CC,嘉朴段,36.67,都市：住,,,,02620000
RPQNMLLJOHGGFDQ78CC,嘉保段,100.47,都市：住,,,,01170040
RPQNMLSLPHGGFBQ96CC,嘉朴段,25.04,都市：住,,,,02620000
