編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRUMLRKQHGGFDA78CB,坡道平面,3000000,36.75,地下三樓
RPPNMLSKQHGGFCA87CB,升降機械,2100000,11.30,地下二樓
RPPNMLNLQHGGFDA57CB,坡道平面,3100000,29.31,地下一樓
RPRNMLNLQHGGFDA77CB,坡道平面,3000000,29.31,地下一樓
RPRNMLKLQHGGFAA17CB,坡道機械,1650000,16.96,地下五樓含以下
RPWOMLNLQHGGFAA08CB,升降機械,2000000,10.97,地下二樓
RPSNMLOLQHGGFDA97CB,坡道平面,4000000,35.70,地下三樓
RPSNMLOLQHGGFDA97CB,坡道平面,4000000,35.70,地下三樓
RPTOMLOLQHGGFFA48DB,升降機械,2700000,6.43,地下四樓
RPQNMLSKQHGGFCA97CB,升降機械,2100000,11.30,地下三樓
RPVQMLPLQHGGFAA38CB,坡道平面,2100000,32.56,地下四樓
RPRNMLQLQHGGFCA97CB,升降機械,2100000,11.30,地下三樓
RPSNMLQLQHGGFCA08CB,升降機械,2100000,11.30,地下二樓
RPPNMLOLQHGGFDA67CB,坡道平面,3000000,36.75,地下三樓
RPPNMLOLQHGGFDA67CB,坡道平面,3000000,36.75,地下三樓
RPPNMLQLQHGGFBA67CB,其他,1500000,17.30,地下三樓
RPQNMLQLQHGGFDA08DB,坡道平面,3000000,41.04,地下二樓
RPQNMLQLQHGGFDA08DB,坡道平面,3000000,41.04,地下二樓
RPQNMLQLQHGGFDA08DB,坡道平面,3000000,41.04,地下二樓
RPTNMLRLQHGGFBA18CB,升降機械,1500000,5.88,地下四樓
RPRNMLRLQHGGFDA18CB,坡道平面,2300000,28.83,地下三樓
RPSNMLRLQHGGFDA28CB,坡道平面,2300000,28.83,地下三樓
RPQNMLRLQHGGFEA18CB,坡道機械,1400000,7.31,地下二樓
RPSRMLPLQHGGFCA38CB,坡道平面,2300000,36.26,地下五樓含以下
RPQNMLSLQHGGFCA08CB,坡道平面,2700000,36.26,地下三樓
