編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQOMLQJKIGGFCD57DA,29,98.74,住商用,鋼筋混凝土造,81年10月24日,五層,一層 二層 三層 四層 五層 陽台 平台
RPPNMLPJJIGGFDD37EA,43,85.93,住家用,加強磚造,67年6月21日,四層,三層
RPWOMLOJJIGGFAD67DA,43,39.41,住家用,加強磚造,67年10月14日,二層,一層 二層
RPXOMLSJJIGGFAD18DA,48,2.71,住家用,加強磚造,62年11月3日,二層,一層 二層
RPWOMLLKJIGGFKD48DA,40,70.21,住家用,鋼筋混凝土造,70年9月29日,五層,三層 陽台
RPWOMLLKJIGGFKD48DA,40,9.38,共有部分,鋼筋混凝土造,70年9月29日,五層,
RPSNMLTJJIGGFKD68DA,40,8.94,共有部分,鋼筋混凝土造,70年12月22日,五層,
RPSNMLTJJIGGFKD68DA,40,68.25,住家用,鋼筋混凝土造,70年12月22日,五層,一層
RPQOMLLKJIGGFID67DA,14,8.04,辦公室,鋼筋混凝土造,96年9月20日,四層,二層 陽台 雨遮
RPQOMLLKJIGGFID67DA,14,1.01,共有部分,鋼筋混凝土造,96年9月20日,四層,
RPQOMLLKJIGGFID67DA,14,5.10,共有部分,鋼筋混凝土造,96年9月20日,四層,
RPOOMLMKJIGGFGD37DA,26,28.00,住家用,鋼筋混凝土造,84年7月7日,六層,四層 陽台
RPOOMLMKJIGGFGD37DA,26,8.88,共有部分,鋼筋混凝土造,84年7月7日,六層,
RPRPMLKKJIGGFCD17DA,25,13.20,住家用,鋼筋混凝土造,85年12月4日,五層,一層
RPRPMLKKJIGGFCD17DA,25,2.78,共有部分,鋼筋混凝土造,85年12月4日,五層,
RPRPMLKKJIGGFCD17DA,25,2.58,共有部分,鋼筋混凝土造,85年12月4日,五層,
RPUNMLPKJIGGFDD87DA,26,30.16,住家用,鋼筋混凝土造,85年2月15日,八層,三層
RPUNMLPKJIGGFDD87DA,26,11.81,共有部分,鋼筋混凝土造,85年2月15日,八層,
RPVNMLNJJIGGFAD37DA,26,28.71,住家用,鋼筋混凝土造,84年10月24日,十三層,五層 陽台
RPVNMLNJJIGGFAD37DA,26,8.48,共有部分,鋼筋混凝土造,84年10月24日,十三層,
RPPNMLMKJIGGFAD76DA,25,.51,警衛室,鋼筋混凝土造,85年7月16日,八層,一層
RPPNMLMKJIGGFAD76DA,25,.00,共有部分,鋼筋混凝土造,85年7月16日,八層,
RPPNMLMKJIGGFAD76DA,25,58.67,共有部分,鋼筋混凝土造,85年7月16日,八層,
RPPNMLMKJIGGFAD76DA,25,.00,共有部分,鋼筋混凝土造,85年7月16日,八層,
RPVNMLPKJIGGFKD78EA,26,36.16,共有部分,鋼筋混凝土造,84年12月4日,八層,
RPVNMLPKJIGGFKD78EA,26,87.66,住家用,鋼筋混凝土造,84年12月4日,八層,二層 陽台 花台
RPOQMLMKJIGGFAD07EA,30,48.71,共有部分,鋼筋混凝土造,80年5月15日,十層,
RPOQMLMKJIGGFAD07EA,30,260.92,店舖　避難室兼停車場,鋼筋混凝土造,80年5月15日,十層,地下層
RPVNMLPKJIGGFDD08EA,7,268.37,住家用,鋼筋混凝土造,103年10月2日,三層,二層 三層 陽台 騎樓 見其他登記事項
RPUOMLKKJIGGFCD47EA,23,9.83,共有部份,鋼筋混凝土造,87年12月18日,十四層,
RPXNMLPKJIGGFBD08EA,47,45.15,住家用,加強磚造,63年5月27日,一層,一層
RPRPMLMKJIGGFID97DA,14,8.04,辦公室,鋼筋混凝土造,96年9月20日,四層,二層 雨遮
RPRPMLMKJIGGFID97DA,14,5.59,共有部分,鋼筋混凝土造,96年9月20日,四層,
RPSNMLMKJIGGFKD08DA,31,5.07,共有部分,鋼造,79年12月5日,二十四層,
RPSNMLMKJIGGFKD08DA,31,9.58,共有部分,鋼造,79年12月5日,二十四層,
RPSNMLMKJIGGFKD08DA,31,8.62,共有部分,鋼造,79年12月5日,二十四層,
RPSNMLMKJIGGFKD08DA,31,23.70,共有部分,鋼造,79年12月5日,二十四層,
RPSNMLMKJIGGFKD08DA,31,118.65,辦公室。,鋼骨造,79年12月5日,二十四層,二十層
RPPQMLPKJIGGFID18DA,1,54.57,集合住宅,鋼筋混凝土構造,110年3月15日,二十四層,二層 陽台
RPPQMLPKJIGGFID18DA,1,28.15,本共有部分之項目有管委會使用空間、停車空間、機電設備空間、防空避難室兼停車空間、台電配電場所、自來水箱、車道、門廳、儲藏室、機房、樓梯間、消防水箱等１２項,鋼筋混凝土構造,110年3月15日,二十四層,
RPVNMLRKJIGGFHD58DA,7,56.66,集合住宅,鋼筋混凝土造,103年6月18日,九層,七層 陽台 雨遮
RPVNMLRKJIGGFHD58DA,7,49.12,防空避難室兼停車空間、樓梯間、機械室、水箱、梯廳、管委會使用空間,鋼筋混凝土造,103年6月18日,九層,
RPVNMLRKJIGGFHD58DA,7,12.25,樓梯間,鋼筋混凝土造,103年6月18日,九層,
RPRNMLMKJIGGFED37DA,31,149.17,住家用,鋼筋混凝土造,79年11月9日,三層,一層 二層 三層
RPPNMLPKJIGGFCD27DA,35,176.24,住家用,鋼筋混凝土造,75年10月4日,三層,一層 二層 三層 陽台 騎樓
RPOPMLMKJIGGFCD07DA,11,34.80,住家用,鋼筋混凝土造,99年12月13日,十四層,六層 陽台
RPOPMLMKJIGGFCD07DA,11,8.91,本共有部分之項目有：樓梯間、機械室、水箱等３項。,鋼筋混凝土造,99年12月13日,十四層,
RPOPMLMKJIGGFCD07DA,11,26.90,本共有部分之項目有：防空避難室兼停車空間、停車空間、車道、門廊、公共服務空間等５項。,鋼筋混凝土造,99年12月13日,十四層,
RPUOMLPKJIGGFCD87DA,31,14.39,住家用,鋼筋混凝土造,80年1月21日,七層,四層
RPUOMLPKJIGGFCD87DA,31,9.08,共有部分,鋼筋混凝土造,80年1月21日,七層,
RPSNMLQKJIGGFBD57DA,40,.00,共有部分,鋼筋混凝土造,70年9月7日,四層,
RPSNMLQKJIGGFBD57DA,40,.00,共有部分,鋼筋混凝土造,70年9月7日,四層,
RPSNMLQKJIGGFBD57DA,40,1.07,避難室,鋼筋混凝土造,70年9月7日,四層,
RPSNMLQKJIGGFBD57DA,40,31.19,集合住宅,鋼筋混凝土造,70年9月7日,四層,四層 陽台
RPSNMLQKJIGGFBD57DA,40,2.60,共有部分,鋼筋混凝土造,70年9月7日,四層,
