編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPOMLMJKIGGFHD57DA,善文段,276.79,都市：其他:計畫道路用地,12,2,持分移轉,09890000
RPRNMLTJKIGGFDD08EA,果毅後段,83.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,35570005
RPROMLMJKIGGFHD77DA,善文段,276.79,都市：其他:計畫道路用地,6,1,持分移轉,09890000
RPSOMLMJKIGGFHD87DA,善文段,276.79,都市：其他:計畫道路用地,6,1,持分移轉,09890000
RPTNMLMJKIGGFED67EA,永安段,28.00,都市：其他:商業區,1,1,全筆移轉,01440001
RPTNMLMJKIGGFED67EA,永安段,2.90,都市：其他:商業區,796,68,持分移轉,01530000
RPTNMLMJKIGGFED67EA,永安段,3.84,都市：其他:商業區,796,68,持分移轉,01540000
RPTNMLMJKIGGFED67EA,永安段,5.21,都市：其他:商業區,796,68,持分移轉,01550000
RPTNMLMJKIGGFED67EA,永安段,6.75,都市：其他:商業區,796,68,持分移轉,01560000
RPTNMLMJKIGGFED67EA,永安段,6.66,都市：其他:商業區,796,68,持分移轉,01590000
RPTNMLMJKIGGFED67EA,永安段,7.35,都市：其他:商業區,796,68,持分移轉,01610000
RPTNMLMJKIGGFED67EA,永安段,5.89,都市：其他:商業區,796,68,持分移轉,01620000
RPTNMLMJKIGGFED67EA,永安段,85.00,都市：其他:商業區,1,1,全筆移轉,01630000
RPTNMLMJKIGGFED67EA,永安段,1.96,都市：其他:商業區,796,68,持分移轉,01640000
RPTNMLMJKIGGFED67EA,永安段,7.18,都市：其他:商業區,796,68,持分移轉,01650000
RPTNMLMJKIGGFED67EA,永安段,13.84,都市：其他:商業區,796,68,持分移轉,01680000
RPTNMLMJKIGGFED67EA,永安段,.34,都市：其他:計畫道路用地,796,68,持分移轉,01680001
RPTOMLMJKIGGFHD97DA,善文段,553.58,都市：其他:計畫道路用地,6,2,持分移轉,09890000
RPQOMLQJKIGGFCD57DA,竹篙厝段,32.00,都市：其他:第五種住宅區,5,2,持分移轉,21190010
RPVOMLQJKIGGFAD87DA,小北段,3.81,都市：其他:細部計畫道路用地,2656,3,持分移轉,10740003
RPRPMLNJKIGGFHD97DA,永安段,188.56,都市：其他:計畫道路用地,1,1,全筆移轉,06530000
RPRPMLNJKIGGFHD97DA,信義段,159.09,都市：其他:計畫道路用地,3,1,持分移轉,07330000
RPRNMLSJKIGGFED08EA,新枋子林段,331.47,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00830000
RPTNMLSJKIGGFED18DA,牛肉崎段,7332.33,非都市：山坡地保育區 ; 非都市編定：農牧用地,6,2,持分移轉,00670011
RPPNMLPJJIGGFDD37EA,真武段,23.22,都市：其他:住宅區,16,1,持分移轉,07150000
RPPNMLPJJIGGFDD37EA,真武段,33.65,都市：其他:住宅區,16,1,持分移轉,07200000
RPVOMLOJJIGGFCD77DA,東光段,48.28,都市：其他:市場用地,1000,284,持分移轉,04690000
RPRNMLMJJIGGFDD17DA,王公段,142.69,都市：其他:主要計畫道路用地,2,1,持分移轉,10200000
RPTPMLOJJIGGFCD67DA,東光段,18.46,都市：其他:細部計畫道路用地,1000,284,持分移轉,04690001
RPWOMLOJJIGGFAD67DA,上鯤鯓段,32.50,都市：其他:住宅區,2,1,持分移轉,05090007
RPRNMLSJJIGGFDD87EA,金華段,39.10,都市：其他:綠地,1,1,全筆移轉,08050000
RPRNMLSJJIGGFDD87EA,金華段,180.67,都市：其他:住宅區,1,1,全筆移轉,08060000
RPUNMLPJJIGGFFD97DA,七甲段,227.00,都市：其他:乙種工業區,1,1,全筆移轉,01380004
RPSNMLMJJIGGFBD07DA,和業段,822.93,都市：其他:細部計畫道路用地,1,1,全筆移轉,06160001
RPSNMLMJJIGGFBD07DA,和業段,103.70,都市：其他:細部計畫道路用地,1,1,全筆移轉,06180001
RPSNMLMJJIGGFBD07DA,和業段,42.51,都市：其他:細部計畫道路用地,1,1,全筆移轉,06190001
RPSNMLSJJIGGFED08EA,東原段,516.63,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,09800000
RPRNMLSJJIGGFED87DA,菁寮段,3300.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,38160000
RPWNMLSJJIGGFHD68DA,福壽段,8.94,都市：其他:計畫道路用地,1,1,全筆移轉,03020000
RPWNMLSJJIGGFHD68DA,福壽段,11.09,都市：其他:計畫道路用地,1,1,全筆移轉,03800000
RPWNMLSJJIGGFHD68DA,福壽段,129.29,都市：其他:計畫道路用地,1,1,全筆移轉,03810000
RPWNMLSJJIGGFHD68DA,華興段,77.68,都市：其他:計畫道路用地,1,1,全筆移轉,06430000
RPQNMLTJJIGGFDD87EA,後鎮段,343.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09680000
RPVNMLSJJIGGFKD88DA,永康段,3.00,都市：其他:計畫道路用地,1,1,全筆移轉,16040001
RPVNMLTJJIGGFKD09EA,保生段,50.51,都市：其他:道路用地,4,1,持分移轉,00160000
RPUNMLTJJIGGFFD48EA,公所段,35.18,都市：其他:道路用地,1,1,全筆移轉,06230000
