編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLMKJIGGFAD76DA,坡道平面,475000,,地下二樓
RPPNMLMKJIGGFAD76DA,坡道平面,475000,,地下二樓
RPVNMLPKJIGGFKD78EA,坡道機械,0,,地下一樓
RPUOMLKKJIGGFCD47EA,坡道機械,350000,9.82,地下一樓
RPVNMLRKJIGGFHD58DA,坡道平面,0,26.64,地下一樓
RPPOMLTKJIGGFCD77DA,坡道平面,400000,15.05,地下一樓
RPPOMLTKJIGGFBD67DA,坡道平面,0,31.39,地下一樓
RPQPMLLKJIGGFCD17DA,坡道平面,1330000,33.51,地下一樓
RPRNMLMLJIGGFCD27DA,坡道機械,0,,地下一樓
RPQOMLQKJIGGFID18DA,坡道平面,0,,地下一樓
RPTNMLNLJIGGFAD37DA,坡道平面,0,,地下二樓
RPUOMLPJJIGGFAD57DA,坡道平面,0,,地下一樓
RPWOMLOLJIGGFID68DA,坡道平面,0,,地下二樓
RPWNMLPLJIGGFAD97EA,坡道平面,0,15.00,地下二樓
RPWNMLPLJIGGFAD97EA,坡道平面,0,12.94,地下二樓
RPWNMLPLJIGGFAD97EA,坡道平面,0,12.94,地下二樓
RPWNMLPLJIGGFAD97EA,坡道平面,0,12.94,地下二樓
RPVOMLKKJIGGFID08DA,坡道平面,0,17.45,地下三樓
RPUNMLPLJIGGFCD87DA,坡道平面,0,17.44,地下一樓
RPWOMLQLJIGGFAD08DA,坡道平面,0,36.00,地下五樓含以下
RPPOMLLKJIGGFAD76DA,坡道平面,0,,地下一樓
RPPOMLQLJIGGFAD37DA,坡道平面,0,24.20,地下二樓
RPOOMLPLJIGGFCD37DA,坡道平面,0,,地下一樓
RPUNMLQLJIGGFBD87DA,坡道平面,0,25.60,地下一樓
RPUNMLKMJIGGFCD47DA,一樓平面,0,13.78,一樓
RPUOMLQLJIGGFAD87DA,坡道機械,0,29.39,地下五樓含以下
RPVNMLQLJIGGFKD88DA,坡道平面,0,20.34,地下一樓
RPRNMLQLJIGGFKD48DA,坡道機械,0,,地下二樓
RPQNMLTLJIGGFKD68DA,坡道平面,0,,地下二樓
RPTOMLNLJIGGFAD47DA,坡道平面,0,33.38,地下三樓
RPQNMLQLJIGGFCD57DA,坡道機械,0,9.83,地下一樓
RPWNMLMJKIGGFDD87EA,一樓平面,0,,一樓
RPPNMLTLJIGGFKD58DA,坡道平面,0,22.39,地下二樓
RPPOMLTLJIGGFKD68DA,坡道平面,0,,地下二樓
RPRNMLLJKIGGFKD87DA,坡道平面,0,,地下一樓
RPRNMLLJKIGGFKD87DA,坡道平面,0,,地下一樓
RPUPMLPLJIGGFKD88DA,坡道平面,0,,地下一樓
RPXNMLLJKIGGFKD58EA,坡道平面,0,,地下二樓
RPXNMLTKJIGGFAD28DA,升降機械,0,,地下一樓
RPVOMLKKJIGGFAD27DA,坡道平面,1200000,,地下一樓
RPUOMLKKJIGGFAD17DA,坡道平面,1200000,,地下一樓
RPPNMLNLJIGGFAD96DA,坡道平面,0,30.65,地下四樓
RPURMLKMJIGGFBD77DA,坡道平面,0,34.07,地下一樓
RPTNMLMJKIGGFCD37DA,坡道平面,0,,地下一樓
RPROMLLJKIGGFID77DA,坡道平面,0,17.45,地下二樓
RPUOMLLKJIGGFKD28DA,坡道機械,0,,地下一樓
RPUPMLKMJIGGFKD48DA,坡道平面,0,,地下一樓
RPPNMLLJKIGGFKD67DA,坡道平面,0,,地下四樓
RPSNMLOJKIGGFKD28DA,坡道平面,0,35.57,地下二樓
RPOOMLMJKIGGFKD77DA,升降平面,0,,地下一樓
RPTNMLKLKIGGFAD27EA,坡道平面,0,,地下一樓
RPXOMLNLJIGGFAD87DA,坡道平面,0,25.06,地下三樓
RPXOMLNLJIGGFAD87DA,坡道平面,0,25.06,地下二樓
RPSNMLNJKIGGFAD17DA,其他,0,10.72,一樓
RPTPMLOLJIGGFAD67DA,坡道機械,0,23.36,地下五樓含以下
RPSOMLQJKIGGFDD87DA,坡道機械,300000,12.55,地下一樓
RPROMLPLJIGGFCD67DA,坡道平面,0,,地下一樓
RPWOMLMJKIGGFBD67DA,坡道平面,0,23.35,地下二樓
RPWPMLNJKIGGFHD48DA,坡道平面,0,,地下一樓
RPSNMLNJKIGGFHD87DA,一樓平面,0,,一樓
RPSNMLNJKIGGFHD87DA,一樓平面,0,,一樓
RPQNMLQJKIGGFCD47DA,坡道平面,0,29.78,地下一樓
RPQNMLQJKIGGFCD47DA,坡道平面,0,29.78,地下一樓
RPOOMLTLJIGGFAD57DA,坡道機械,0,,地下一樓
RPOOMLTLJIGGFAD57DA,坡道機械,0,,地下一樓
RPPOMLNJKIGGFCD17DA,坡道機械,0,,地下一樓
RPPPMLLJKIGGFAD86DA,坡道機械,700000,,地下三樓
RPWPMLLJKIGGFAD57DA,坡道平面,0,,地下二樓
RPUOMLTJJIGGFAD97DA,坡道平面,0,,地下一樓
RPTNMLQLJIGGFAD67DA,坡道平面,0,,地下一樓
RPVNMLQKJIGGFKD78DA,坡道平面,0,13.32,地下二樓
RPVNMLQKJIGGFKD78DA,坡道平面,0,13.32,地下二樓
RPPOMLKMJIGGFID67DA,坡道平面,0,17.45,地下二樓
RPSPMLQLJIGGFKD78DA,升降平面,0,6.04,地下一樓
RPQQMLQJKIGGFKD58DA,坡道平面,0,34.57,地下三樓
RPOPMLNJKIGGFKD97DA,坡道平面,0,,地下一樓
RPSPMLQJKIGGFKD68DA,坡道機械,0,10.55,地下二樓
RPXPMLQJKIGGFKD56DA,坡道平面,0,,地下一樓
RPROMLPJJIGGFKD28DA,坡道平面,1100000,27.67,地下一樓
RPSNMLQJJIGGFKD38DA,坡道平面,1300000,26.25,地下三樓
RPOOMLRJKIGGFID08DA,坡道平面,0,,地下一樓
RPTOMLLKJIGGFID97DA,坡道平面,1200000,17.45,地下三樓
RPOOMLQJKIGGFAD17DA,升降平面,0,,地下二樓
RPVNMLMJKIGGFCD57DA,坡道機械,0,,地下一樓
RPOOMLRJKIGGFCD47DA,坡道平面,0,41.41,地下一樓
RPRNMLRJKIGGFBD57DA,坡道平面,0,,地下二樓
RPUOMLQJKIGGFAD77DA,坡道平面,1500000,25.61,地下三樓
RPRNMLOJKIGGFAD17DA,坡道平面,0,25.08,地下二樓
RPRNMLOJKIGGFAD17DA,坡道平面,0,30.04,地下二樓
RPXQMLRJKIGGFAD38DA,升降機械,0,11.17,地下一樓
