編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPVOMLSJJIGGFGE68DA,坡道平面,1090000,25.72,地下二樓
RPSNMLKKJIGGFEE37DA,坡道平面,0,23.85,地下一樓
RPVPMLLJJIGGFAE47DA,坡道平面,0,11.56,地下一樓
RPXNMLQKJIGGFBE18DA,升降平面,0,,地下四樓
RPUNMLPJJIGGFDE87DA,坡道平面,0,25.92,地下二樓
RPSOMLKKJIGGFBE17DA,坡道平面,1600000,22.11,地下二樓
RPSOMLKKJIGGFBE17DA,坡道平面,1600000,22.11,地下二樓
RPSOMLKKJIGGFBE17DA,坡道平面,1600000,22.11,地下二樓
RPRPMLPKJIGGFFE08DA,坡道平面,0,,地下一樓
RPXNMLQKJIGGFCE38EA,坡道平面,0,,地下一樓
RPPPMLQKJIGGFEE97EA,坡道機械,0,15.00,地下一樓
RPRQMLOKJIGGFDE87DA,坡道平面,0,28.63,地下一樓
RPRQMLOKJIGGFDE87DA,坡道機械,0,11.45,地下二樓
RPUOMLQKJIGGFBE08EA,坡道平面,750000,12.65,地下四樓
RPWOMLMKJIGGFEE08DA,升降機械,720000,,地下一樓
RPUOMLRKJIGGFIE78DA,坡道平面,1600000,26.37,地下二樓
RPSPMLKKJIGGFIE97DA,坡道平面,1450000,21.49,地下三樓
RPUOMLKKJIGGFDE57DA,坡道平面,0,,地下一樓
RPSOMLMKJIGGFDE57DA,坡道平面,1550000,16.58,地下二樓
RPVOMLSJJIGGFDE38DA,坡道平面,950000,21.25,地下二樓
RPTPMLSKJIGGFEE48DA,坡道平面,0,,地下一樓
RPRNMLKLJIGGFEE37DA,坡道平面,2250000,27.14,地下二樓
RPVNMLSKJIGGFAE08DA,坡道平面,0,31.79,地下二樓
RPSNMLOJJIGGFAE27DA,坡道機械,0,10.25,地下三樓
RPWOMLMLJIGGFDE08DA,坡道平面,1400000,26.61,地下二樓
RPPNMLLLJIGGFDE17DA,坡道平面,0,25.92,地下三樓
RPUNMLOJJIGGFIE28DA,坡道平面,0,,地下一樓
RPSOMLNLJIGGFFE97DA,坡道平面,0,,地下一樓
RPTOMLNLJIGGFFE08DA,坡道平面,0,,地下一樓
RPVOMLMLJIGGFFE18DA,坡道平面,0,30.91,地下一樓
RPRNMLNLJIGGFGE87DA,坡道平面,0,9.23,地下一樓
RPWPMLNLJIGGFEE38DA,坡道平面,0,,地下二樓
RPPQMLPJJIGGFDE67DA,坡道機械,0,11.56,地下二樓
RPRNMLTKJIGGFBE87DA,坡道機械,0,,地下一樓
RPRNMLTKJIGGFBE87DA,坡道機械,0,,地下一樓
RPRNMLTKJIGGFBE87DA,坡道機械,0,,地下一樓
RPRNMLTKJIGGFBE87DA,坡道機械,0,,地下一樓
RPRNMLTKJIGGFBE87DA,坡道機械,0,,地下一樓
RPRNMLTKJIGGFBE87DA,坡道機械,0,,地下一樓
RPRNMLTKJIGGFBE87DA,坡道機械,0,,地下一樓
RPRNMLTKJIGGFBE87DA,坡道機械,0,,地下一樓
RPRNMLTKJIGGFBE87DA,坡道機械,0,,地下一樓
RPRNMLTKJIGGFBE87DA,坡道機械,0,,地下一樓
RPUPMLRKJIGGFAE08DA,坡道平面,0,28.05,地下一樓
RPROMLTJJIGGFAE77DA,坡道平面,0,44.16,地下五樓含以下
RPXNMLLKJIGGFAE57DA,坡道平面,0,22.02,地下三樓
RPXNMLLKJIGGFAE57DA,坡道平面,0,22.02,地下三樓
RPXNMLLKJIGGFAE57DA,坡道平面,0,22.02,地下三樓
RPTPMLNLJIGGFCE87DA,坡道機械,600000,15.63,地下四樓
RPQPMLMLJIGGFAE27DA,坡道機械,450000,7.32,地下一樓
RPTQMLMLJIGGFEE08DA,坡道機械,0,14.64,地下三樓
RPRNMLOLJIGGFDE77EA,升降機械,0,,地下一樓
RPROMLNLJIGGFIE18DA,坡道機械,0,12.52,地下二樓
RPSQMLMLJIGGFGE18DA,坡道平面,0,,地下一樓
RPXOMLPLJIGGFGE78DA,坡道平面,0,25.31,地下三樓
RPRNMLQLJIGGFDE97EA,一樓平面,0,,一樓
RPRNMLOLJIGGFGE08EA,坡道平面,0,,地下一樓
RPQPMLPLJIGGFDE87DA,坡道機械,0,21.71,地下三樓
RPQOMLSKJIGGFDE97DA,坡道平面,0,23.23,地下一樓
RPRNMLOLJIGGFBE47DA,坡道機械,0,,地下一樓
RPSPMLPLJIGGFCE97DA,坡道平面,0,29.60,地下一樓
RPRNMLLKJIGGFAE96DA,坡道平面,0,32.14,地下一樓
RPROMLSKJIGGFDE08DA,坡道平面,2300000,23.66,地下一樓
RPRNMLQLJIGGFCE77DA,升降機械,0,,地下一樓
RPXOMLNLJIGGFBE08DA,升降機械,0,,地下二樓
RPSNMLPLJIGGFEE97DA,坡道機械,0,7.91,地下三樓
RPQNMLOLJIGGFGE87DA,坡道平面,0,18.86,地下二樓
RPTOMLPLJIGGFGE38DA,坡道平面,0,13.17,地下二樓
RPVQMLPKJIGGFFE58DA,坡道平面,0,,地下一樓
RPVOMLKMJIGGFFE08DA,坡道平面,0,,地下一樓
RPWNMLTLJIGGFFE88DA,坡道機械,0,,地下一樓
RPUOMLSJJIGGFIE78DA,一樓平面,0,,一樓
RPSNMLTLJIGGFDE38EA,坡道平面,0,16.99,地下一樓
RPXQMLQKJIGGFEE78DA,坡道機械,0,,地下一樓
RPURMLRKJIGGFEE68DA,坡道平面,0,32.71,地下三樓
RPVSMLQLJIGGFEE88DA,坡道機械,0,11.75,地下二樓
RPQOMLQLJIGGFBE67DA,坡道平面,0,,無固定樓層
RPSOMLTLJIGGFBE18DA,塔式車位,0,16.33,
RPXNMLLKJIGGFBE67DA,塔式車位,0,16.33,
RPUNMLLLJIGGFBE47DA,坡道平面,0,12.65,地下四樓
RPWOMLQKJIGGFAE08DA,坡道平面,0,,地下二樓
RPSQMLTKJIGGFAE18DA,坡道機械,0,24.82,地下五樓含以下
RPPNMLTKJIGGFAE57DA,坡道機械,0,24.82,地下五樓含以下
RPUOMLLJKIGGFCE57DA,坡道平面,0,22.47,地下一樓
RPVPMLTJJIGGFCE48DA,坡道平面,0,41.03,地下四樓
RPROMLKMJIGGFBE27DA,坡道機械,0,,地下二樓
RPOPMLKMJIGGFDE27DA,坡道平面,0,,地下一樓
RPRPMLKMJIGGFEE67DA,坡道平面,0,,地下一樓
RPRQMLKMJIGGFGE97DA,坡道平面,0,24.54,地下一樓
RPRNMLPJJIGGFGE87DA,坡道平面,0,20.22,地下一樓
RPUNMLPJJIGGFGE18DA,坡道平面,0,24.77,地下二樓
RPWNMLLKJIGGFGE08DA,坡道平面,0,41.78,地下三樓
RPWNMLLJKIGGFIE28DA,坡道平面,0,20.24,地下一樓
RPQOMLLJKIGGFGE57DA,坡道平面,0,15.00,地下二樓
RPTNMLMJKIGGFLE38DA,坡道平面,0,,地下一樓
RPPPMLLJKIGGFDE37EA,坡道機械,0,5.29,地下一樓
RPVRMLMKJIGGFEE28DA,坡道機械,1200000,13.40,地下二樓
RPORMLNLJIGGFEE77DA,坡道平面,0,16.10,地下二樓
RPPPMLTLJIGGFEE28DA,坡道平面,0,16.10,地下二樓
RPXOMLPLJIGGFDE48DA,坡道平面,0,,地下三樓
RPXOMLPLJIGGFDE48DA,坡道平面,0,,地下四樓
RPUNMLNKJIGGFDE77DA,坡道機械,0,,地下二樓
RPRNMLLLJIGGFBE17DA,坡道平面,0,17.68,地下三樓
RPTQMLMKJIGGFBE67DA,坡道機械,950000,12.38,地下三樓
RPVNMLSLIIGGFBE18DA,坡道平面,0,,地下二樓
RPQOMLQKJIGGFBE57DA,坡道平面,0,13.32,地下三樓
RPQNMLNJKIGGFAE07DA,坡道平面,0,25.25,地下三樓
RPTOMLPLJIGGFAE77DA,坡道平面,0,33.37,地下二樓
RPPNMLMJKIGGFEE27DA,坡道機械,900000,12.87,地下二樓
RPQPMLTKJIGGFAE87DA,坡道平面,1500000,28.78,地下三樓
RPROMLLJKIGGFAE07DA,塔式車位,0,10.01,
RPXOMLTKJIGGFAE48DA,坡道平面,1500000,28.78,地下三樓
RPOOMLQLJIGGFAE37DA,坡道機械,550000,10.88,地下五樓含以下
RPOPMLQLJIGGFCE67DA,坡道平面,0,40.15,地下五樓含以下
RPOPMLQLJIGGFCE67DA,坡道平面,0,40.15,地下五樓含以下
RPRNMLMJKIGGFBE17DA,坡道平面,0,23.15,地下四樓
RPRNMLMJKIGGFBE17DA,坡道平面,0,23.15,地下四樓
RPUOMLMJKIGGFDE77DA,坡道平面,0,,地下一樓
RPXPMLMJKIGGFDE18DA,升降機械,0,,地下二樓
RPXPMLMJKIGGFDE18DA,升降機械,0,,地下二樓
RPURMLTLJIGGFEE98DA,坡道平面,0,25.00,地下四樓
RPURMLTLJIGGFEE98DA,坡道平面,0,25.00,地下四樓
RPQNMLLJKIGGFBE96DA,升降機械,0,,地下二樓
RPPOMLLJKIGGFGE47DA,坡道平面,0,,地下一樓
RPXTMLQLJIGGFGE76DA,坡道平面,0,37.02,地下二樓
RPWOMLTLJIGGFGE09DA,坡道平面,0,24.55,地下一樓
RPWNMLKKJIGGFGE97DA,坡道平面,0,33.98,地下二樓
RPOOMLNJKIGGFGE57DA,坡道平面,0,20.45,地下三樓
RPQNMLQJKIGGFFE87DA,坡道平面,0,44.40,地下一樓
RPPPMLMJKIGGFIE87DA,坡道平面,0,26.37,地下二樓
RPOPMLMJKIGGFIE77DA,坡道平面,0,26.37,地下三樓
RPUOMLLJKIGGFEE77DA,坡道機械,0,7.94,地下三樓
RPSQMLQLJIGGFEE38DA,坡道機械,0,9.18,地下一樓
RPVNMLLLJIGGFEE87DA,坡道機械,0,6.55,地下一樓
RPXPMLMJKIGGFEE28DA,坡道平面,0,25.36,地下二樓
RPXPMLMJKIGGFEE28DA,坡道平面,0,25.36,地下二樓
RPRPMLKMJIGGFDE57DA,坡道平面,950000,6.29,地下一樓
RPRNMLMJKIGGFDE37DA,坡道平面,0,25.92,地下一樓
RPPNMLNJKIGGFDE27DA,坡道機械,0,8.17,地下三樓
RPVPMLNLJIGGFDE18DA,坡道機械,0,8.37,地下二樓
RPWNMLSKJIGGFDE48DA,坡道平面,0,,地下一樓
RPSNMLTJJIGGFDE08DA,坡道平面,1000000,,地下一樓
RPRNMLNJKIGGFBE27DA,坡道平面,0,26.47,地下二樓
RPRNMLNJKIGGFBE27DA,坡道平面,0,26.47,地下二樓
RPVOMLPLJIGGFAE97DA,坡道平面,0,49.93,地下二樓
RPWOMLNLJIGGFAE87DA,升降機械,0,5.17,地下一樓
RPQOMLQJKIGGFAE47DA,坡道平面,0,25.64,地下一樓
RPUNMLPJJIGGFCE77DA,坡道平面,1800000,29.70,地下四樓
RPVNMLQJKIGGFBE97DA,升降機械,0,7.95,地下二樓
RPXQMLTLJIGGFBE88DA,坡道平面,0,,地下一樓
RPUNMLNLJIGGFDE87DA,坡道平面,0,35.60,地下一樓
RPUNMLNLJIGGFDE87DA,坡道平面,0,35.60,地下四樓
RPVOMLQJKIGGFDE28DA,坡道平面,1800000,23.22,地下一樓
RPXOMLNJKIGGFDE18DA,坡道平面,0,,地下一樓
RPPOMLLJKIGGFDE17DA,坡道平面,0,,地下一樓
RPOOMLOLJIGGFEE57DA,坡道機械,0,18.82,地下三樓
RPSRMLMJJIGGFEE87DA,坡道機械,1000000,,地下一樓
RPTPMLRJKIGGFDE38EA,坡道平面,0,22.59,地下二樓
RPVOMLQJKIGGFAE08EA,坡道平面,0,27.66,地下一樓
RPWOMLQJKIGGFAE18EA,坡道平面,1500000,20.21,地下一樓
RPPNMLPKJIGGFIE97DA,坡道平面,0,36.34,地下三樓
RPPNMLPKJIGGFIE97DA,坡道平面,0,34.67,地下三樓
RPROMLSKJIGGFFE28DA,坡道平面,0,,地下一樓
RPPOMLNJKIGGFGE67DA,坡道平面,0,18.22,地下二樓
RPUNMLPLJIGGFGE38DA,坡道平面,0,,地下一樓
RPWNMLLLJIGGFGE18DA,坡道平面,0,,地下一樓
RPVNMLQJKIGGFIE68DA,坡道平面,0,,地下一樓
RPPPMLRJKIGGFDE97EA,坡道平面,0,,地下二樓
RPQOMLTLJIGGFEE28DA,坡道平面,1750000,25.19,地下一樓
RPVPMLPLJIGGFEE48DA,坡道平面,0,26.60,地下二樓
RPOPMLSJKIGGFEE97DA,坡道平面,0,,地下一樓
RPQNMLRJJIGGFEE77DA,坡道平面,0,,地下一樓
RPRNMLSJKIGGFEE08DA,坡道平面,0,25.19,地下一樓
RPUNMLQJKIGGFEE18DA,坡道平面,0,18.81,地下二樓
RPUOMLRJKIGGFDE28DA,坡道平面,0,,地下一樓
RPQPMLLJKIGGFDE37DA,一樓平面,0,,一樓
RPQPMLLJKIGGFDE37DA,升降平面,0,,地下一樓
RPQPMLLJKIGGFDE37DA,升降平面,0,,地下一樓
