編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPROMLKKJIGGFBG27DA,,242.83,農舍,鋼筋混凝土造,110年9月23日,二層,一層 二層 陽台
RPVOMLMJJIGGFAG67DA,3,149.77,住家用,鋼筋混凝土造,107年6月20日,三層,一層 二層 三層 陽台
RPPNMLMKJIGGFAG07DA,45,81.86,住家用,鋼筋混凝土加強磚造,66年3月5日,二層,一層 二層
RPOOMLSJJIGGFBG67DA,24,32.00,住家用,鋼筋混凝土造,86年8月11日,六層,四層 陽台
RPOOMLSJJIGGFBG67DA,24,7.66,共有部份,鋼筋混凝土造,86年8月11日,六層,
RPOOMLSJJIGGFBG67DA,24,12.24,共有部份,鋼筋混凝土造,86年8月11日,六層,
RPWNMLQKJIGGFAG18DA,27,155.87,住家用,鋼筋混凝土造,84年4月10日,五層,一層 二層 三層 四層 五層 陽台
RPUOMLPKJIGGFAG97DA,24,39.11,辦公室,鋼筋混凝土造,86年12月11日,十層,五層 陽台
RPUOMLPKJIGGFAG97DA,24,9.69,防空避難室、停車場、台電配電室、車道、共同使用部份,鋼筋混凝土造,86年12月11日,十層,
RPUOMLPKJIGGFAG97DA,24,5.99,梯間、走道電梯、共同使用部份,鋼筋混凝土造,86年12月11日,十層,
RPTRMLSKJIGGFAG48DA,14,4.32,社區活動室,鋼筋混凝土造,96年7月5日,十四層,一層 二層 陽台 騎樓 夾層
RPTRMLSKJIGGFAG48DA,14,.65,梯間．通道．水箱．機械室,鋼筋混凝土造,96年7月5日,十四層,
RPTRMLSKJIGGFAG48DA,14,95.41,住家用,鋼筋混凝土造,96年7月5日,十四層,十四層 陽台
RPTRMLSKJIGGFAG48DA,14,13.73,梯間．通道．水箱．機械室,鋼筋混凝土造,96年7月5日,十四層,
RPTRMLSKJIGGFAG48DA,14,1.15,防空避難室．停車空間．社區活動室,鋼筋混凝土造,96年7月5日,十四層,
