編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPXNMLPKJIGGFDJ78DA,41,130.52,住家用,加強磚造,69年7月1日,二層,一層 二層 騎樓
RPQOMLPKJIGGFDJ18DA,6,71.00,集合住宅,鋼筋混凝土造,104年8月31日,五層,四層 陽台
RPQOMLPKJIGGFDJ18DA,6,13.05,樓梯間,鋼筋混凝土造,104年8月31日,五層,
RPQOMLPKJIGGFDJ18DA,6,20.78,停車空間、管委會、梯間,鋼筋混凝土造,104年8月31日,五層,
RPUNMLSJJIGGFCJ58DA,,97.66,住家用,加強磚造,,一層,一層 地下層
RPQNMLQKJIGGFDJ18DA,28,79.33,住家用,鋼筋混凝土造,82年6月2日,五層,二層 陽台
RPQNMLQKJIGGFDJ18DA,28,30.48,儲藏室,鋼筋混凝土造,82年6月2日,五層,地下層
RPQNMLQKJIGGFDJ18DA,28,6.46,共用部分,鋼筋混凝土造,82年6月2日,五層,
RPVOMLRKJIGGFDJ88DA,26,69.56,住家用,鋼筋混凝土造,84年6月26日,七層,七層 陽台
RPVOMLRKJIGGFDJ88DA,26,10.81,共用部分,鋼筋混凝土造,84年6月26日,七層,
RPVOMLRKJIGGFDJ88DA,26,16.57,共用部分,鋼筋混凝土造,84年6月26日,七層,
RPOPMLRKJIGGFBJ08DA,13,.01,管理員室,鋼筋混凝土造,97年6月27日,十四層,一層
RPOPMLRKJIGGFBJ08DA,13,28.83,共有部分,鋼筋混凝土造,97年6月27日,十四層,
RPQNMLKLJIGGFDJ67DA,,10.79,市場攤位,鋼筋混凝土造,,地下層,地下層
RPPNMLLLJIGGFDJ67DA,24,5.71,共用部分,鋼筋混凝土造,86年9月1日,五層,
RPPNMLLLJIGGFDJ67DA,24,80.06,住家用,鋼筋混凝土造,86年9月1日,五層,二層 陽台
RPQOMLMLJIGGFDJ97DA,,139.41,集合住宅,鋼筋混凝土造,110年8月10日,三層,一層 二層 三層 陽台
RPROMLTKJIGGFDJ68DA,2,112.03,店舖、集合住宅,鋼筋混凝土造,109年1月22日,十二層,一層 陽台 見其他登記事項
RPROMLTKJIGGFDJ68DA,2,84.50,共用部分,鋼筋混凝土造,109年1月22日,十二層,
RPSPMLKKJIGGFDJ97DA,17,162.54,停車空間．店舖．住宅,鋼筋混凝土造,93年5月13日,四層,一層 二層 三層 四層 陽台 騎樓
RPPPMLRKJIGGFBJ18DA,13,.01,管理員室,鋼筋混凝土造,97年6月27日,十四層,一層
RPPPMLRKJIGGFBJ18DA,13,28.83,共有部分,鋼筋混凝土造,97年6月27日,十四層,
RPRNMLPLJIGGFBJ18EA,,101.62,住家用,加強磚造,,三層,一層 二層 三層 騎樓
RPRSMLTJJIGGFDJ98DA,30,3.07,樓梯間．突出物．水塔,鋼筋混凝土造,81年4月22日,五層,
RPRSMLTJJIGGFDJ98DA,30,5.11,樓梯間．走道,鋼筋混凝土造,81年4月22日,五層,
RPRSMLTJJIGGFDJ98DA,30,24.80,住家用,鋼筋混凝土造,81年4月22日,五層,二層 陽台
RPVOMLOLJIGGFDJ68DA,17,3.87,停車空間,鋼筋混凝土造,93年7月5日,八層,
RPVOMLOLJIGGFDJ68DA,17,3.60,梯間、走道,鋼筋混凝土造,93年7月5日,八層,
RPVOMLOLJIGGFDJ68DA,17,.19,走道,鋼筋混凝土造,93年7月5日,八層,
RPVOMLOLJIGGFDJ68DA,17,22.58,住家用,鋼筋混凝土造,93年7月5日,八層,二層 陽台
RPROMLTJJIGGFDJ58DA,8,72.00,集合住宅,鋼筋混凝土造,102年6月10日,五層,二層 陽台 雨遮
RPROMLTJJIGGFDJ58DA,8,10.41,本共有部分之項目有樓梯間及電梯機房等二項,鋼筋混凝土造,102年6月10日,五層,
RPQPMLQKJIGGFBJ18DA,12,35.69,共有部分,鋼筋混凝土造,99年1月6日,二十三層,
RPWNMLQLJIGGFCJ78DA,,123.00,住家用,加強磚造,,二層,一層 二層 騎樓
RPTNMLLKJIGGFCJ87DA,26,66.85,住家用,鋼筋混凝土造,85年5月6日,九層,八層 陽台
RPTNMLLKJIGGFCJ87DA,26,8.01,共用部分,鋼筋混凝土造,85年5月6日,九層,
RPTNMLLKJIGGFCJ87DA,26,8.19,共用部分,鋼筋混凝土造,85年5月6日,十層,
RPVQMLOLJIGGFBJ78EA,42,130.50,住家用,加強磚造,68年12月29日,二層,一層 二層 騎樓
RPOPMLMLJIGGFBJ67DA,1,85.40,集合住宅,鋼筋混凝土造,110年4月7日,五層,三層 陽台
RPOPMLMLJIGGFBJ67DA,1,24.66,本共有部分之項目有停車空間、電信室、水箱、樓梯間、電梯間、昇降機房等六項。,鋼筋混凝土造,110年4月7日,五層,
RPQNMLPLJIGGFCJ18EA,32,183.94,住家用,鋼筋混凝土造,79年4月23日,四層,一層 二層 三層 四層 陽台
RPVQMLOLJIGGFDJ88DA,18,75.99,住宅．機械室,鋼筋混凝土造,93年3月30日,七層,三層 陽台
RPVQMLOLJIGGFDJ88DA,18,13.56,梯間,鋼筋混凝土造,93年3月30日,七層,
RPVQMLOLJIGGFDJ88DA,18,20.02,防空避難室．停車空間．住宅,鋼筋混凝土造,93年3月30日,七層,
RPOQNLPLJIGGFDJ38DA,26,82.80,住家用,鋼筋混凝土造,84年6月6日,五層,五層 陽台
RPOQNLPLJIGGFDJ38DA,26,16.37,共用部分,鋼筋混凝土造,84年6月6日,五層,
RPOQNLPLJIGGFDJ38DA,26,1.95,共用部分,鋼筋混凝土造,84年6月6日,五層,
RPQNMLPLJIGGFBJ08EA,2,20.81,住家用,鋼筋混凝土造,108年10月14日,二十三層,三層 陽台 雨遮
