編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLLKJIGGFAV78DA,,31.77,住家用,木造,,一層,一層 廚房
RPOOMLQKJIGGFAV98DA,,82.51,住商用,木造,,一層,一層 騎樓
RPPNMLMJJIGGFBV58DA,41,157.62,住家用,鋼筋混凝土加強磚造,69年6月30日,二層,一層 二層 騎樓
RPSNMLRKJIGGFAV76DA,28,219.61,住家用,鋼筋混凝土造,82年12月15日,三層,一層 二層 三層 陽台 騎樓
RPVNMLSJJIGGFAV07DA,37,111.38,住家用,加強磚造,73年9月17日,二層,一層 二層 騎樓
RPXNMLMJJIGGFAV66DA,38,112.68,住家用,加強磚造,73年2月29日,二層,一層 二層 騎樓
RPQOMLQKJIGGFAV56DA,19,142.02,飲食店、垃圾儲藏室,鋼骨造、有牆鋼架造,91年9月9日,二層,一層 二層
RPPNMLTKJIGGFCV96EA,27,170.64,住家用,加強磚造,83年10月1日,一層,一層
RPPNMLTKJIGGFCV96EA,27,170.64,住家用,加強磚造,83年10月1日,一層,一層
RPPNMLMLJIGGFDV98DA,24,35.30,商業用,鋼筋混凝土造,87年3月6日,十五層,十一層 陽台
RPPNMLMLJIGGFDV98DA,24,1.12,機房、樓梯,鋼筋混凝土造,87年3月6日,十五層,
RPPNMLMLJIGGFDV98DA,24,7.21,梯間、通道,鋼筋混凝土造,87年3月6日,十五層,
RPPNMLMLJIGGFDV98DA,24,5.57,通道、活動室、樓梯間、門廳、車道、辦公室,鋼筋混凝土造,87年3月6日,十層,
RPPNMLNLJIGGFBV88DA,35,141.35,住家用,加強磚造,75年11月7日,二層,一層 二層 陽台
RPTNMLMLJIGGFAV09DA,24,192.25,住家用,鋼筋混凝土造,86年11月5日,二層,一層 二層 陽台 平台
RPTNMLOLJIGGFAV66DA,47,100.73,住家用,鐵筋水泥磚,63年12月5日,三層,一層 二層 三層
RPPNMLPKJIGGFDV56DA,24,35.30,商業用,鋼筋混凝土造,87年3月6日,十層,五層 陽台
RPPNMLPKJIGGFDV56DA,24,1.12,機房、樓梯,鋼筋混凝土造,87年3月6日,十五層,
RPPNMLPKJIGGFDV56DA,24,7.21,梯間、通道,鋼筋混凝土造,87年3月6日,十五層,
RPPNMLPKJIGGFDV56DA,24,5.57,通道、活動室、樓梯間、門廳、車道、辦公室,鋼筋混凝土造,87年3月6日,十層,
RPUNMLNLJIGGFAV66DA,,4.96,樓梯間,鋼筋混凝土造,,四層,
RPUNMLNLJIGGFAV66DA,38,87.10,國民住宅,鋼筋混凝土造,72年9月23日,四層,一層 平台
RPPNMLQLJIGGFAV09DA,51,25.84,住家用,蓋瓦水泥磚竹木,60年2月13日,一層,一層
RPPNMLQLJIGGFAV09DA,51,25.84,住家用,蓋瓦水泥磚竹木,60年2月13日,一層,一層
RPPNMLQLJIGGFAV09DA,51,26.20,住家用,蓋瓦水泥磚竹木,60年2月13日,一層,一層
RPQNMLTJJIGGFAV66DA,10,246.94,店舖、住宅,ＲＣ造,100年6月17日,三層,一層 二層 三層 見其他登記事項
RPTNMLNLJIGGFAV56DA,28,256.59,農舍,鋼筋混凝土造,82年10月30日,三層,一層 二層 三層 陽台
RPRNMLNKJIGGFAV88DA,29,156.09,住家用,鋼筋混凝土造,82年1月13日,三層,一層 二層 三層
RPQNMLLJKIGGFDV88DA,28,48.72,出租套房,鋼筋混凝土造,82年11月8日,八層,五層 陽台
RPQNMLLJKIGGFDV88DA,28,18.66,出租套房、通道、停車場、避難室．屋頂突出物,鋼筋混凝土造,82年11月8日,八層,
RPUNMLLJKIGGFAV98DA,25,6.20,共同使用：樓梯．電梯,鋼筋混凝土造,85年6月28日,七層,
RPUNMLLJKIGGFAV98DA,25,3.93,樓梯、電梯、機械房、水箱共同使用,鋼筋混凝土造,85年6月28日,七層,
RPUNMLLJKIGGFAV98DA,25,3.28,車道、水箱、樓梯、機械房配電室共同使用　,鋼筋混凝土造,85年6月28日,七層,
RPUNMLLJKIGGFAV98DA,25,16.01,防空避難室暨停車空間共同使用,鋼筋混凝土造,85年6月28日,七層,
RPUNMLLJKIGGFAV98DA,25,74.84,住家用,鋼筋混凝土造,85年6月28日,七層,三層 陽台
RPPNMLKMJIGGFDV88DA,27,5.45,樓梯間．門房走道,鋼筋混凝土造,83年9月30日,八層,
RPPNMLKMJIGGFDV88DA,27,31.54,套房,鋼筋混凝土造,83年9月30日,八層,八層 陽台
RPTNMLKKJIGGFAV78DA,26,188.68,住商用,鋼筋混凝土造,84年12月26日,三層,一層 二層 三層 騎樓 見其他登記事項
RPQNMLNLJIGGFAV88DA,26,79.23,集合住宅,鋼筋混凝土造,84年6月1日,五層,一層 平台
RPQNMLNLJIGGFAV88DA,26,9.33,停車空間．兼儲藏室（共同使用）,鋼筋混凝土造,84年6月1日,五層,
RPQNMLNLJIGGFAV88DA,26,9.80,樓梯．通廊．瞭望台．水箱．蓄水池（共同使用）,鋼筋混凝土造,84年6月1日,五層,
RPPNMLPJJIGGFAV78DA,28,2.26,避難室．機械室．共同使用,鋼筋混凝土造,82年12月3日,四層,
RPPNMLPJJIGGFAV78DA,28,.25,樓梯間．共同使用,鋼筋混凝土造,82年12月3日,四層,
RPPNMLPJJIGGFAV78DA,28,.25,樓梯間．公同使用,鋼筋混凝土造,82年12月3日,四層,
RPPNMLPJJIGGFAV78DA,28,.25,樓梯間．公同使用,鋼筋混凝土造,82年12月3日,四層,
RPPNMLPJJIGGFAV78DA,28,.25,樓梯間．公同使用,鋼筋混凝土造,82年12月3日,四層,
RPPNMLPJJIGGFAV78DA,28,.25,樓梯間．公同使用,鋼筋混凝土造,82年12月3日,四層,
RPPNMLPJJIGGFAV78DA,28,.25,樓梯間．公同使用,鋼筋混凝土造,82年12月3日,四層,
