編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLMKIIGGFAV98DA,永豐段,3.60,非都市：特定農業區 ; 非都市編定：水利用地,2,1,持分移轉,00740000
RPWNMLSJJIGGFAV17DA,豐成段,142.07,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,02920000
RPTNMLMKIIGGFAV88DA,永豐段,3.60,非都市：特定農業區 ; 非都市編定：水利用地,2,1,持分移轉,00740000
SPTNMLMKIIGGFAV98DA,永豐段,29.05,非都市：特定農業區 ; 非都市編定：水利用地,2,1,持分移轉,00750000
SPUNMLMKIIGGFAV09DA,永豐段,29.05,非都市：特定農業區 ; 非都市編定：水利用地,2,1,持分移轉,00750000
RPQNMLLJJIGGFCV68DA,鸞山段,5062.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01130000
RPQNMLLJJIGGFCV68DA,鸞山段,1674.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01130001
RPQNMLLJJIGGFCV68DA,鸞山段,704.00,非都市：山坡地保育區 ; 非都市編定：交通用地,1,1,全筆移轉,01130002
RPVNMLTJJIGGFAV17DA,知本段,150.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,80270001
RPSNMLLKJIGGFAV78DA,台東段,48.00,都市：其他:住宅區,1,1,全筆移轉,05420007
RPSNMLLKJIGGFAV78DA,台東段,8.90,都市：其他:住宅區,10,1,持分移轉,05420020
RPQNMLKKJIGGFDV88EA,大王段,13186.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,04310000
RPQOMLOJJIGGFAV88DA,豐聖段,196.72,都市：其他:農業區,1,1,全筆移轉,06470009
RPUNMLMKJIGGFAV09DA,台東段,39.00,都市：其他:住宅區,1,1,全筆移轉,06530025
RPUNMLMKJIGGFAV09DA,台東段,11.00,都市：其他:住宅區,1,1,全筆移轉,06530041
RPWNMLTJJIGGFAV27DA,豐榮段,20.50,都市：其他:住宅區,2,1,持分移轉,05770000
RPWNMLTJJIGGFAV27DA,豐榮段,19.50,都市：其他:住宅區,2,1,持分移轉,05780000
RPWNMLTJJIGGFAV27DA,豐榮段,2.50,都市：其他:道路用地,2,1,持分移轉,05790000
RPQNMLRKJIGGFBV66DA,高原段,3735.00,非都市：森林區 ; 非都市編定：農牧用地,1,1,全筆移轉,10190001
RPPNMLQKJIGGFCV56DA,新源段,147.76,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01410000
RPPNMLQKJIGGFCV56DA,新源段,937.29,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01690000
RPPNMLQKJIGGFCV56DA,新源段,5720.62,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01700000
RPPNMLQKJIGGFCV56DA,新源段,793.48,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01710000
RPOOMLQKJIGGFAV98DA,台東段,11.00,都市：其他:住宅區,1,1,全筆移轉,01600540
RPOOMLQKJIGGFAV98DA,台東段,74.00,都市：其他:住宅區,1,1,全筆移轉,01600614
RPPNMLMJJIGGFBV58DA,高台段,246.51,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04280000
RPSNMLRKJIGGFAV76DA,南清段,141.42,都市：其他:住宅區,1,1,全筆移轉,05050000
RPVNMLSJJIGGFAV07DA,馬蘭段,90.00,都市：其他:住宅區,1,1,全筆移轉,17200006
RPQNMLLKJIGGFAV58DA,煙草間段,4.72,非都市：鄉村區 ; 非都市編定：交通用地,1,1,全筆移轉,05290005
RPXNMLMJJIGGFAV66DA,永樂段,88.00,都市：其他:住宅區,1,1,全筆移轉,01300000
RPRNMLTKJIGGFAV96EA,東海段,15.86,都市：其他:住宅區,1,1,全筆移轉,09520000
RPPNMLRKJIGGFAV09DA,豐利段,38.24,都市：其他:住宅區,1,1,全筆移轉,03310000
RPQNMLSKJIGGFCV86DA,武陵段,1910.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,05490000
RPQOMLQKJIGGFAV56DA,台東段,28.35,都市：其他:商業區,20,7,持分移轉,05120018
RPQOMLQKJIGGFAV56DA,台東段,58.80,都市：其他:商業區,20,7,持分移轉,05120025
RPQOMLQKJIGGFAV56DA,台東段,59.15,都市：其他:商業區,20,7,持分移轉,05120026
RPQOMLQKJIGGFAV56DA,台東段,59.15,都市：其他:商業區,20,7,持分移轉,05120027
RPQOMLQKJIGGFAV56DA,台東段,29.75,都市：其他:商業區,20,7,持分移轉,05120028
RPQOMLQKJIGGFAV56DA,台東段,29.75,都市：其他:商業區,20,7,持分移轉,05120029
RPQOMLQKJIGGFAV56DA,台東段,1.05,都市：其他:加油站專用區,20,7,持分移轉,05120044
RPQOMLQKJIGGFAV56DA,台東段,29.40,都市：其他:商業區,20,7,持分移轉,05120024
RPRNMLMKJIGGFAV78DA,台東段,58.00,都市：其他:住宅區,1,1,全筆移轉,04440009
