編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLMKJIGGFDC07DB,坡道平面,1550000,37.31,地下三樓
RPPNMLOLJIGGFDC27CB,坡道平面,1500000,41.66,地下二樓
RPPNMLMKJIGGFDC07DB,坡道平面,1550000,37.31,地下三樓
RPQNMLMLJIGGFDC27DB,坡道平面,1800000,28.48,地下三樓
RPQNMLOLJIGGFDC37CB,坡道平面,1700000,41.49,地下三樓
RPRNMLOLJIGGFDC47CB,坡道平面,1700000,41.49,地下三樓
RPTNMLOLJIGGFDC67CB,坡道平面,1800000,41.49,地下二樓
RPWNMLOLJIGGFDC97CB,坡道平面,1800000,41.49,地下二樓
RPWNMLOLJIGGFDC97CB,坡道平面,1800000,41.49,地下二樓
RPVNMLOLJIGGFDC87CB,坡道平面,1600000,26.98,地下二樓
RPXNMLOLJIGGFDC08CB,坡道平面,1800000,41.49,地下二樓
RPUNMLTLJIGGFDC28CB,升降平面,700000,36.84,地下一樓
RPUNMLTLJIGGFDC28CB,坡道平面,1400000,36.84,地下二樓
RPSNMLTLJIGGFDC08CB,坡道平面,1300000,34.73,地下二樓
RPPNMLLJKIGGFDC86CB,升降平面,750000,36.84,地下一樓
RPPNMLLJKIGGFDC86CB,升降平面,750000,36.84,地下一樓
RPQNMLLJKIGGFDC07DB,坡道平面,1320000,44.99,地下一樓
RPQNMLLJKIGGFDC07DB,坡道平面,1340000,44.99,地下二樓
RPRNMLLJKIGGFDC17DB,坡道平面,1330000,44.99,地下一樓
RPRNMLMJKIGGFDC17CB,坡道平面,1350000,32.00,地下三樓
RPRNMLMJKIGGFDC17CB,坡道平面,1300000,32.00,地下三樓
RPTNMLMJKIGGFDC37CB,坡道平面,1500000,44.95,地下三樓
RPQNMLMJKIGGFDC07CB,坡道平面,1350000,32.00,地下三樓
RPQNMLMJKIGGFDC07CB,坡道平面,1350000,32.00,地下三樓
RPSNMLMJKIGGFDC27CB,坡道平面,1350000,32.00,地下三樓
RPPNMLQJKIGGFDC37CB,坡道平面,1300000,27.14,地下二樓
RPQNMLQJKIGGFDC47CB,坡道平面,1300000,27.14,地下二樓
RPSNMLQJKIGGFDC67CB,坡道平面,1300000,36.75,地下二樓
RPRNMLQJKIGGFDC57CB,坡道平面,1300000,36.75,地下二樓
RPTNMLQJKIGGFDC77CB,坡道平面,1400000,36.75,地下二樓
RPOOMLQJKIGGFDC37CB,坡道平面,1300000,36.75,地下三樓
RPUNMLQJKIGGFDC87CB,坡道平面,1300000,36.75,地下二樓
RPVNMLQJKIGGFDC97CB,坡道平面,1400000,36.75,地下三樓
RPPOMLQJKIGGFDC47CB,坡道平面,1400000,27.14,地下四樓
RPSOMLQJKIGGFDC77CB,坡道平面,1300000,27.14,地下四樓
RPTOMLQJKIGGFDC87CB,坡道平面,1400000,27.14,地下三樓
RPQOMLQJKIGGFDC57CB,坡道平面,1400000,27.14,地下一樓
RPROMLQJKIGGFDC67CB,坡道平面,1400000,27.14,地下三樓
RPUOMLQJKIGGFDC97CB,坡道平面,1300000,27.14,地下二樓
RPVOMLQJKIGGFDC08CB,坡道平面,1250000,27.14,地下二樓
RPWOMLQJKIGGFDC18CB,坡道平面,1250000,27.14,地下四樓
RPPPMLQJKIGGFDC57CB,坡道平面,1400000,27.14,地下四樓
RPXOMLQJKIGGFDC28CB,坡道平面,1250000,27.14,地下四樓
RPRPMLQJKIGGFDC77CB,坡道平面,1300000,27.14,地下四樓
RPQPMLQJKIGGFDC67CB,坡道平面,1250000,27.14,地下四樓
RPSPMLQJKIGGFDC87CB,坡道平面,1300000,27.14,地下四樓
RPTPMLQJKIGGFDC97CB,坡道平面,1500000,27.14,地下二樓
RPVPMLQJKIGGFDC18CB,坡道平面,1350000,27.14,地下四樓
RPWPMLQJKIGGFDC28CB,坡道平面,1300000,27.14,地下四樓
RPWPMLQJKIGGFDC28CB,坡道平面,1300000,27.14,地下四樓
RPXPMLQJKIGGFDC38CB,坡道平面,1250000,27.14,地下四樓
RPRQMLQJKIGGFDC87CB,坡道機械,700000,13.57,地下四樓
RPSQMLQJKIGGFDC97CB,坡道平面,1400000,27.14,地下四樓
RPWQMLQJKIGGFDC38CB,坡道平面,1600000,27.14,地下二樓
RPQQMLQJKIGGFDC77CB,坡道平面,1250000,27.14,地下四樓
RPUQMLQJKIGGFDC18CB,坡道機械,850000,13.57,地下四樓
RPTQMLQJKIGGFDC08CB,坡道平面,1250000,27.14,地下四樓
RPPNMLTJKIGGFDC77DB,坡道平面,1800000,41.49,地下一樓
RPPNMLSJKIGGFDC57CB,升降平面,800000,36.84,地下一樓
RPQNMLTJKIGGFDC87DB,坡道平面,1800000,28.48,地下三樓
RPRNMLRJKIGGFDC67CB,坡道平面,1400000,27.14,地下四樓
RPRNMLMKKIGGFDC37DB,坡道平面,1450000,20.65,地下一樓
RPSNMLMKKIGGFDC47DB,坡道平面,1450000,20.65,地下一樓
RPQNMLSJKIGGFDC67CB,升降平面,800000,36.84,地下一樓
RPQNMLMKKIGGFDC27DB,坡道平面,1550000,20.65,地下一樓
RPPNMLMKKIGGFDC17DB,坡道平面,1450000,20.65,地下一樓
RPQNMLOKKIGGFDC37CB,坡道平面,1400000,36.84,地下二樓
RPUNMLOKKIGGFDC77CB,坡道平面,1700000,41.49,地下三樓
RPOORLPKKIGGFDC87CB,坡道平面,1800000,41.49,地下二樓
RPRNMLOKKIGGFDC47CB,坡道平面,1400000,48.33,地下一樓
RPQORLPKKIGGFDC08CB,坡道平面,1700000,41.49,地下三樓
RPPNMLSKKIGGFDC67CB,坡道平面,1450000,36.75,地下四樓
RPSNMLSKKIGGFDC97CB,坡道平面,1350000,27.14,地下四樓
RPUNMLSKKIGGFDC18CB,坡道機械,950000,18.38,地下二樓
