編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPOMLLKJIGGFAF07CC,文化段,.00,都市：住,,,,11980000
RPTOMLLKJIGGFAF47CC,頂福段,.00,都市：住,,,,00220000
RPSNMLLKJIGGFAF27CC,成功段,.00,都市：住,,,,06510000
RPVOMLLKJIGGFCF87CC,寶橋段,68.05,都市：工,,,,03980000
RPXPMLLKJIGGFBF08CC,黎明段,.00,都市：住,,,,07770000
RPSOMLLKJIGGFEF77CC,龍米段,19.16,都市：住,,,,24320000
RPOPMLLKJIGGFCF27CC,寶元段,65.19,都市：工,,,,02730000
RPOPMLLKJIGGFCF27CC,寶元段,.01,都市：其他:道路,,,,02730001
RPOPMLLKJIGGFCF27CC,寶元段,.46,都市：其他:道路,,,,02730002
RPPPMLLKJIGGFDF47CC,北山段,.00,都市：住,,,,02550000
RPTOMLLKJIGGFEF87CC,新市段,.00,都市：住,,,,00680000
RPUOMLLKJIGGFEF97CC,淡海段,21.79,都市：住,,,,00520000
RPPQMLLKJIGGFEF67CC,新市段,33.93,都市：其他:第五之一種住宅區(第一期細部計畫),,,,02040000
RPUQMLLKJIGGFEF18CC,新市段,41.99,都市：住,,,,02270000
RPPRMLLKJIGGFHF08CC,大仁段,.00,都市：住,,,,06180000
RPRSMLMKJIGGFIF58CC,中華段,.00,都市：住,,,,03870000
RPSPMLLKJIGGFIF28CC,太平段,.00,都市：住,,,,06680000
RPRRMLLKJIGGFHF28CC,新民段,1420.59,都市：工,,,,02570000
RPSPMLLKJIGGFIF28CC,太平段,.00,都市：住,,,,06690000
RPQRMLMKJIGGFIF38CC,鳳鳴段,.00,都市：住,,,,01620000
RPSPMLLKJIGGFIF28CC,太平段,.00,都市：住,,,,06740000
RPUSMLMKJIGGFIF88CC,育英段,17.80,都市：住,,,,07900000
RPVSMLMKJIGGFIF98CC,橋子頭一段,532.23,非都市：一般農業區 ; 非都市編定：丁種建築用地,,,,15320000
RPUNMLMKJIGGFFF08CC,瑞芳段,.00,都市：住,,,,07470000
RPTPMLMKJIGGFHF38CC,安樂段,.00,都市：住,,,,00200000
RPVPMLMKJIGGFHF58CC,安樂段,.00,都市：住,,,,11000000
RPSPMLMKJIGGFHF28CC,南山段,.00,都市：住,,,,05170000
RPQPMLMKJIGGFHF08CC,民樂段,.00,都市：住,,,,03130000
RPUPMLMKJIGGFHF48CC,華新段,.00,都市：住,,,,10240000
RPWPMLMKJIGGFHF68CC,福和段,.00,都市：商,,,,09240000
RPSQMLMKJIGGFHF38CC,林森段,.00,都市：住,,,,05940000
RPWPMLMKJIGGFHF68CC,福和段,.00,都市：住,,,,09070000
RPORMLMKJIGGFHF08CC,台貿段,.00,都市：住,,,,01660000
RPSRMLMKJIGGFHF48CC,民樂段,.00,都市：住,,,,07850000
RPVRMLMKJIGGFHF78CC,健康段,.00,都市：工,,,,00640000
RPPPMLMKJIGGFGF87CC,永德段,.00,都市：住,,,,09960001
RPPPMLMKJIGGFGF87CC,永德段,.00,都市：住,,,,09970002
RPTRMLMKJIGGFHF58CC,秀峰段,9.35,都市：住,,,,01960000
RPVPMLMKJIGGFGF48CC,大安段,.00,都市：住,,,,08920000
RPQQMLMKJIGGFGF08CC,仁義段,.00,都市：住,,,,06130000
RPOPMLMKJIGGFGF77CC,光華段,.00,都市：住,,,,09820000
RPWPMLMKJIGGFGF58CC,大同南段,.00,都市：商,,,,00280000
RPRQMLMKJIGGFGF18CC,富貴段,.00,都市：住,,,,05350000
RPQNNLMKJIGGFGF87CC,龍濱段,.00,都市：住,,,,04760000
RPQNNLMKJIGGFGF87CC,龍濱段,.00,都市：其他:道路用地,,,,04760001
RPVOMLMKJIGGFEF18CC,中興段,.00,都市：住,,,,00380000
RPQPMLMKJIGGFEF77CC,鄧公段,20.45,都市：住,,,,06120000
RPSPMLMKJIGGFEF97CC,公司田段,.00,都市：住,,,,00210000
RPUPMLMKJIGGFEF18CC,公司田段,.00,都市：住,,,,01880000
RPOQMLMKJIGGFEF67CC,水源段,.00,都市：住,,,,15400000
RPXPMLMKJIGGFEF48CC,仁愛段,24.45,都市：住,,,,00620000
RPOQMLMKJIGGFEF67CC,水源段,.00,都市：其他:道路用地,,,,16730000
RPQQMLMKJIGGFEF87CC,新市段,.00,,,,,00860000
RPRQMLMKJIGGFEF97CC,水源段,.00,都市：住,,,,15400000
