編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLNKJIGGFAH57DB,三民段,27.92,都市：住,1000000,4823,持分移轉,00190000
RPSNMLNKJIGGFBH67CB,山下段,19.77,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,139,持分移轉,03860000
RPWNMLNKJIGGFAH08DB,三民段,23.77,都市：住,1000000,4105,持分移轉,00190000
RPSNMLOKJIGGFAH77DB,三民段,23.77,都市：住,1000000,4105,持分移轉,00190000
RPRNMLOKJIGGFAH67DB,三民段,23.77,都市：住,1000000,4105,持分移轉,00190000
RPTNMLOKJIGGFAH87DB,三民段,23.77,都市：住,1000000,4105,持分移轉,00190000
RPPNMLNKJIGGFBH37CB,山下段,19.05,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,134,持分移轉,03860000
RPVNMLNKJIGGFAH97DB,三民段,27.92,都市：住,1000000,4823,持分移轉,00190000
RPQNMLOKJIGGFAH57DB,三民段,27.92,都市：住,1000000,4823,持分移轉,00190000
RPUNMLOKJIGGFAH97DB,三民段,23.77,都市：住,1000000,4105,持分移轉,00190000
RPSOMLOKJIGGFCH97CB,中山段,22.24,都市：住,100000,433,持分移轉,04520000
RPRNMLPKJIGGFEH18DB,新鼻段,34.17,都市：住,100000,1308,持分移轉,00330000
RPUNMLPKJIGGFBH18DB,青芝段,21.32,都市：住,10000,105,持分移轉,01010000
RPUNMLPKJIGGFBH18DB,青芝段,11.56,都市：住,10000,105,持分移轉,01020000
RPPNMLPKJIGGFGH08CB,平安段,19.37,都市：住,100000,584,持分移轉,06030000
RPPNMLOKJIGGFAH47DB,三民段,23.77,都市：住,1000000,4105,持分移轉,00190000
RPVNMLOKJIGGFAH08DB,三民段,27.92,都市：住,1000000,4823,持分移轉,00190000
RPRNMLPKJIGGFGH28CB,平安段,20.69,都市：住,100000,624,持分移轉,06030000
RPSSNLPKJIGGFHH09CB,善捷段,11.17,都市：商,100000,576,持分移轉,00640000
RPRSNLPKJIGGFHH98CB,善捷段,9.81,都市：商,100000,506,持分移轉,00640000
RPWSNLPKJIGGFHH86CB,善捷段,18.03,都市：商,100000,930,持分移轉,00640000
RPUSNLPKJIGGFHH66CB,善捷段,11.23,都市：商,100000,579,持分移轉,00640000
RPSNMLPKJIGGFGH38CB,平安段,29.81,都市：住,100000,899,持分移轉,06030000
RPXSNLPKJIGGFHH96CB,善捷段,9.79,都市：商,100000,505,持分移轉,00640000
RPROMLQKJIGGFHH58CB,善捷段,8.94,都市：商,100000,174,持分移轉,00120000
RPOOMLQKJIGGFHH28CB,善捷段,8.94,都市：商,100000,174,持分移轉,00120000
RPRNMLPKJIGGFHH38CB,樂捷段,20.98,都市：住,10000,40,持分移轉,00930000
RPPQMLQKJIGGFBH97CB,月眉段,26.72,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,235,持分移轉,00360000
RPPQMLQKJIGGFBH97CB,月眉段,.54,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,235,持分移轉,00360004
RPPQMLQKJIGGFBH97CB,月眉段,3.76,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,235,持分移轉,00370000
RPRQMLQKJIGGFBH18CB,月眉段,18.31,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,161,持分移轉,00360000
RPRQMLQKJIGGFBH18CB,月眉段,.37,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,161,持分移轉,00360004
RPRQMLQKJIGGFBH18CB,月眉段,2.58,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,161,持分移轉,00370000
RPSOMLQKJIGGFHH68CB,善捷段,8.74,都市：商,100000,170,持分移轉,00120000
RPSQMLQKJIGGFBH28CB,月眉段,26.72,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,235,持分移轉,00360000
RPSQMLQKJIGGFBH28CB,月眉段,.54,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,235,持分移轉,00360004
RPSQMLQKJIGGFBH28CB,月眉段,3.76,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,235,持分移轉,00370000
RPQNMLQKJIGGFHH48DB,樂捷段,17.34,都市：其他:產業專用區,100000,162,持分移轉,00560000
RPXWMLRKJIGGFBH86CB,青昇段,6.86,都市：商,100000,118,持分移轉,04390000
RPQNMLQKJIGGFHH48DB,樂捷段,4.34,都市：其他:產業專用區,100000,162,持分移轉,00560001
