編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPXNMLMKJIGGFBJ38CC,台元段,.00,都市：工,,,,06110000
RPXOMLMKJIGGFBJ48CC,永興段,.00,都市：商,,,,05060000
RPRRMLMKJIGGFBJ18CC,中興段,.00,都市：商,,,,05060000
RPWOMLMKJIGGFCJ48CC,上德段,.00,都市：住,,,,01090000
RPSOMLMKJIGGFBJ97CC,台元段,.00,都市：工,,,,06190000
RPTOMLMKJIGGFBJ08CC,台元段,.00,都市：工,,,,06190000
RPUOMLMKJIGGFBJ18CC,台元段,.00,都市：工,,,,06650000
RPXNMLMKJIGGFDJ58CC,振興段,.00,都市：住,,,,09140000
RPTNMLPKJIGGFBJ28CC,大學段,.00,都市：商,,,,02140000
RPXOMLPKJIGGFBJ78CC,莊敬段,.00,都市：住,,,,07130000
RPVOMLRKJIGGFBJ78CC,嘉興段,89.41,都市：住,,,,00360000
RPVOMLRKJIGGFBJ78CC,嘉興段,9.31,都市：住,,,,00370000
RPQOMLMKJIGGFBJ77CC,台元段,.00,都市：工,,,,06190000
RPVOMLMKJIGGFBJ28CC,台元段,.00,都市：工,,,,06350000
RPQPMLRKJIGGFBJ38CC,台元段,.00,都市：工,,,,06110000
RPXOMLRKJIGGFBJ98CC,永興段,.00,都市：住,,,,05440000
RPUPMLRKJIGGFBJ78CC,縣福段,.00,都市：住,,,,05720008
RPTPMLSKJIGGFBJ78CC,站前段,.00,都市：商,,,,01880000
RPXNMLSKJIGGFDJ56CC,長威段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,04290000
RPOQMLRKJIGGFBJ28CC,站前段,.00,都市：商,,,,01900000
RPWOMLRKJIGGFBJ88CC,台元段,.00,都市：工,,,,06110000
RPXOMLTKJIGGFBJ56CC,隘興段,.00,都市：住,,,,06260000
RPUQMLSKJIGGFBJ98CC,永興段,.00,都市：住,,,,06040000
RPXNMLTKJIGGFDJ66CC,中興段中興小段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,01080001
RPQNMLMLJIGGFBJ77CC,翰林段,.00,都市：住,,,,04430000
RPSPMLOLJIGGFBJ38CC,家興段,64.62,都市：住,,,,03660000
RPWPMLOLJIGGFBJ78CC,台元段,.00,都市：工,,,,06190000
RPRNMLLLJIGGFCJ87CC,資源段,21.80,都市：住,,,,16450000
RPSPMLRKJIGGFBJ58CC,台科段,29.79,都市：住,,,,02520000
RPXPMLOLJIGGFBJ88CC,台元段,.00,都市：工,,,,06190000
RPRPMLQLJIGGFDJ68CC,中美段,.00,都市：住,,,,07350000
RPQQMLOLJIGGFBJ28CC,台元段,.00,都市：工,,,,06640000
RPXOMLMLJIGGFBJ68DC,世興段,.00,都市：商,,,,00520000
RPOQMLOLJIGGFBJ08CC,台元段,.00,都市：工,,,,07160000
RPVPMLNLJIGGFBJ58CC,大學段,.00,都市：商,,,,02140000
RPQPMLKMJIGGFCJ97CC,竹東段番社子小段,.00,都市：住,,,,00070006
RPOOMLMJKIGGFCJ67CC,資源段,.00,都市：住,,,,06960000
RPPOMLMJKIGGFCJ77CC,資源段,.00,都市：住,,,,06960000
RPQPMLQLJIGGFBJ38CC,家興段,.00,都市：住,,,,04250000
RPQOMLQLJIGGFDJ48CC,中興段中興小段,30.50,非都市：工業區 ; 非都市編定：丁種建築用地,,,,01080001
RPQPMLMJKIGGFBJ87CC,公園段,.00,都市：商,,,,04700000
RPXPNLPLJIGGFDJ66CC,振興段,.00,都市：住,,,,09140000
RPUPMLMJKIGGFBJ28CC,莊敬段,.00,都市：商,,,,02690000
RPWNMLNJKIGGFBJ38CC,中興段,.00,都市：住,,,,00080000
RPSPMLMJKIGGFBJ08CC,世興段,.00,都市：商,,,,00390000
RPXNMLNJKIGGFBJ48CC,台元段,.00,都市：工,,,,06190000
RPROMLNJKIGGFBJ97CC,水瀧段,.00,都市：住,,,,09070000
RPQOMLNJKIGGFBJ87CC,台元段,.00,都市：工,,,,07160000
RPSPMLNJKIGGFBJ18CC,翰林段,.00,都市：住,,,,08120000
RPVRMLMJKIGGFBJ58CC,翰林段,.00,都市：住,,,,07090000
RPUPMLNJKIGGFBJ38CC,公園段,.00,都市：住,,,,00480000
RPPOMLNJKIGGFBJ77CC,台元段,.00,都市：工,,,,06650000
RPVPMLNJKIGGFBJ48CC,公園段,.00,都市：商,,,,04700000
RPVPMLNJKIGGFDJ68CC,吉祥段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,06560000
RPTNMLNJKIGGFCJ18CC,竹東段竹東小段,.00,都市：住,,,,00420003
RPSNMLNJKIGGFCJ08CC,綠獅段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,00780026
RPRNMLPJKIGGFBJ08CC,永興段,.00,都市：商,,,,04950000
RPSPMLSJKIGGFBJ68CC,站前段,.00,都市：商,,,,01610000
RPTPMLSJKIGGFBJ78CC,台元段,.00,都市：工,,,,06650000
RPUPMLSJKIGGFBJ88CC,台元段,.00,都市：工,,,,06350000
RPQNMLPJKIGGFBJ97CC,水瀧段,.00,都市：商,,,,15130000
RPWNMLTJKIGGFCJ09CC,重光段,.00,都市：住,,,,01570000
RPXOMLTJKIGGFBJ56CC,世興段,.00,都市：住,,,,00380000
RPUTNLKKKIGGFDJ88CC,中興段復興小段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,00690000
RPVNMLQJKIGGFBJ58CC,水瀧段,1824.57,都市：住,,,,09110000
RPPPMLNKKIGGFCJ08CC,仁愛段,.00,都市：住,,,,05070020
RPQPMLNKKIGGFBJ08CC,台元段,72.42,都市：住,,,,05820043
RPUOMLNKKIGGFBJ38CC,站前段,.00,都市：商,,,,01880000
RPSOMLSJKIGGFCJ68CC,竹東段番社子小段,.00,都市：住,,,,00670001
RPUOMLOKKIGGFBJ48CC,縣福段,.00,都市：商,,,,01750000
RPPQMLOKKIGGFBJ18CC,台科段,16.10,都市：住,,,,00240000
RPUNMLOKKIGGFCJ48CC,四重段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,09140000
RPSNMLRKKIGGFBJ48CC,莊敬段,.00,都市：住,,,,05460000
RPSPMLOKKIGGFDJ58CC,中興段復興小段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,06090000
RPXOMLRKKIGGFBJ09CC,大學段,.00,都市：商,,,,02180000
RPQPMLKLKIGGFBJ87CC,大學段,.00,都市：商,,,,00390000
RPUNMLRKKIGGFCJ78CC,東寧段,.00,都市：住,,,,16590000
RPXNMLLLKIGGFDJ68CC,振興段,.00,都市：住,,,,09200000
RPRPMLKLKIGGFBJ97CC,家興段,.00,都市：住,,,,03440000
RPUOMLMLKIGGFCJ48CC,旭光段,26.02,都市：其他:謄本標示空白,,,,01900002
RPSOMLOLKIGGFBJ38CC,台元段,.00,都市：工,,,,06350000
RPUPMLOLKIGGFCJ78CC,重光段,.00,都市：住,,,,01570000
RPVOMLOLKIGGFBJ68CC,台元段,.00,都市：工,,,,06610000
RPOQMLOKKIGGFBJ08CC,自強段,.00,都市：住,,,,02940000
RPQNMLPLKIGGFBJ18CC,公園段,.00,都市：住,,,,03290000
RPQNMLPLKIGGFBJ18CC,公園段,.00,都市：住,,,,03300000
RPQNMLPLKIGGFBJ18CC,公園段,.00,都市：住,,,,03310000
RPQNMLPLKIGGFBJ18CC,公園段,.00,都市：住,,,,03320000
RPQNMLPLKIGGFBJ18CC,公園段,.00,都市：住,,,,03330000
RPXOMLOLKIGGFBJ88CC,縣福段,84.63,都市：住,,,,06070001
RPSNMLRLKIGGFBJ58CC,大學段,.00,都市：商,,,,02140000
RPQOMLSLKIGGFBJ58CC,台元段,.00,都市：工,,,,06110000
RPROMLPKKIGGFCJ38CC,志學段,.00,都市：住,,,,06510000
RPROMLPKKIGGFCJ38CC,志學段,.00,都市：住,,,,06510001
RPTOMLRKKIGGFBJ68CC,莊敬段,.00,都市：住,,,,00800000
RPTPMLSLKIGGFBJ98CC,站後段,469.40,都市：住,,,,11610000
RPWNMLKMKIGGFBJ38CC,隘興段,.00,,,,,04410000
RPPOMLMLKIGGFDJ08CC,光華段,.00,都市：住,,,,08280000
RPVPMLOLKIGGFDJ98CC,永安段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,05230000
RPUOMLOLKIGGFBJ58CC,台元段,.00,都市：工,,,,06350000
RPTPMLKMKIGGFDJ48CC,中興段中興小段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,01350006
RPSPMLSLKIGGFBJ88CC,公園段,15.00,都市：住,,,,03290000
RPUOMLTLKIGGFBJ09CC,隘興段,.00,都市：住,,,,04410000
RPPSMLKMKIGGFDJ38CC,中興段中興小段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,01120000
RPUNMLKMKIGGFBJ18CC,站前段,.00,都市：商,,,,07610000
RPUNMLKMKIGGFBJ18CC,站前段,.00,都市：其他:道路用地,,,,07610001
RPPOMLKMKIGGFBJ77CC,隘興段,.00,都市：商,,,,04080000
RPSOMLQKKIGGFBJ48CC,大學段,156.76,都市：住,,,,00760000
RPSOMLQKKIGGFBJ48CC,大學段,157.51,都市：住,,,,00770000
RPROMLSLKIGGFBJ68CC,台元段,.00,都市：工,,,,06350000
RPWOMLNJJHHGFBJ38CC,自強段,.00,都市：住,,,,02230002
RPUOMLPJJHHGFBJ38CC,大學段,.00,都市：商,,,,02200000
RPRPMLSLKIGGFBJ78CC,隘興段,.00,都市：住,,,,03280000
RPOPMLQJJHHGFBJ97CC,大學段,.00,都市：住,,,,02180000
RPSOMLRJJHHGFBJ38CC,大學段,.00,都市：住,,,,02190000
RPROMLKMKIGGFBJ97CC,站後段,.00,都市：商,,,,04840000
RPWOMLRJJHHGFBJ78CC,公園段,.00,都市：商,,,,04800000
RPRQMLKMKIGGFDJ38CC,長嶺段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,16250000
RPQSMLKMKIGGFDJ48CC,明新段,.00,都市：住,,,,07180000
RPUQMLRJJHHGFBJ78CC,寶鎮段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,09870000
RPXOMLLKJHHGFBJ38CC,竹義段,.00,都市：住,,,,07950000
RPTNMLMKJHHGFBJ97CC,台元段,.00,都市：工,,,,06190000
RPUNMLMKJHHGFBJ08CC,台元段,.00,都市：工,,,,06190000
RPOOMLMKJHHGFBJ57CC,家興段,.00,都市：商,,,,04250000
RPQOMLKMKIGGFCJ97CC,重光段,.00,都市：住,,,,01570000
RPUNMLOJJHHGFBJ18CC,莊敬段,.00,都市：商,,,,07160000
RPVOMLQJJHHGFBJ58CC,自強段,.00,都市：住,,,,03730000
RPXOMLQJJHHGFBJ78CC,永興段,.00,都市：商,,,,05060000
RPQOMLOKJHHGFCJ08CC,竹東段番社子小段,.00,都市：住,,,,04090000
RPRNMLSKJHHGFBJ48DC,大學段,130.19,都市：住,,,,04480000
