編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWQMLQKJIGGFBM66CC,新富寮段,.00,都市：住,,,,00910052
RPORMLQKJIGGFBM58CC,新富寮段,.00,都市：住,,,,00910052
RPTNMLRKJIGGFBM78CC,草屯段,74.00,都市：住,,,,01410048
RPUNMLRKJIGGFCM98CC,牛眠段,73.50,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,06830000
RPQNMLSKJIGGFBM58CC,中興段,92.00,都市：住,,,,00710003
RPRNMLSKJIGGFBM68CC,中興段,102.00,都市：住,,,,18030003
RPPNMLTKJIGGFAM48CC,田寮段,77.74,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,04580019
RPTNMLQLJIGGFBM78CC,明賢段,146.93,都市：商,,,,08410000
RPRNMLTLJIGGFBM88CC,新富寮段,.00,都市：住,,,,00910052
RPSNMLTLJIGGFBM98CC,新富寮段,.00,都市：住,,,,00910052
RPUNMLTLJIGGFBM56CC,新富寮段,.00,都市：住,,,,00910052
RPTNMLMJKIGGFAM18CC,茄苳腳段,65.00,都市：住,,,,04210005
RPUNMLTJKIGGFBM09CC,中興段,1911.00,都市：住,,,,17410000
RPVNMLMLKIGGFBM78DC,新屋段,68.92,都市：住,,,,00800000
RPVNMLMLKIGGFBM78DC,新屋段,13.83,都市：住,,,,00740000
RPQNMLKMKIGGFBM08CC,新富寮段,.00,都市：住,,,,00910052
RPXQMLQKJIGGFBM76CC,新富寮段,.00,都市：住,,,,00910052
RPUNMLQJJHHGFBM68CC,新富寮段,.00,都市：住,,,,00910052
RPSNMLNLKIGGFCM68DC,埔里段北門小段,88.00,都市：住,,,,00590004
RPVNMLQJJHHGFBM78CC,新富寮段,.00,都市：住,,,,00910052
RPXNMLNLKIGGFBM98CC,新富寮段,.00,都市：住,,,,00910052
RPROMLRJJHHGFAM48CC,福順段,107.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,02530000
RPUNMLKKJHHGFAM08CC,大崗段,99.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,00380029
RPUNMLNKJHHGFCM58CC,坪仔頂段,2860.03,非都市：山坡地保育區 ; 非都市編定：丁種建築用地,,,,04890000
RPQNMLMLJHHGFBM08CC,新富寮段,.00,都市：住,,,,00910052
RPRNMLOLJHHGFBM38CC,新御史段,186.76,都市：住,,,,00080000
RPQNMLQLJHHGFBM48CC,新富寮段,.00,都市：住,,,,00910052
RPQNMLTLJIGGFBM78CC,建興段,798.61,都市：其他:一筆,,,,13000000
RPUNMLQLJIGGFBM88CC,明賢段,30.77,都市：商,,,,08420000
RPUNMLQLJIGGFBM88CC,明賢段,24.59,都市：商,,,,08430000
RPUNMLQLJIGGFBM88CC,明賢段,92.78,都市：商,,,,08440000
RPTNMLTLJIGGFBM09CC,新富寮段,.00,都市：住,,,,00910052
RPTNMLTJKIGGFBM09DC,草屯段,81.00,都市：住,,,,00110083
RPQNMLPKKIGGFBM38CC,草鞋墩段,.00,都市：住,,,,00090000
RPQNMLPKKIGGFBM38CC,草鞋墩段,.00,都市：住,,,,00090001
