編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPXPMLRKKHHGFAN86EA,49,113.15,住商用,鋼筋混凝土加強磚造,62年10月4日,二層,一層 二層 騎樓
RPXPMLRKKHHGFAN86EA,49,108.42,住商用,鋼筋混凝土加強磚造,62年10月4日,二層,一層 二層 騎樓
RPVNMLLJLHHGFCN58DA,48,108.80,工業用,加強磚造,62年9月19日,二層,一層 二層
RPPNMLSKKHHGFGN09DA,26,96.86,住家用,鋼筋混凝土造,84年8月28日,十層,八層 陽台
RPPNMLSKKHHGFGN09DA,26,19.09,避難室．停車空間．車道．梯間．走廊（公共設施）,鋼筋混凝土造,84年8月28日,十層,
RPRNMLLLKHHGFFN58DA,40,110.04,住商用,加強磚造,71年1月14日,二層,一層 二層
RPQNMLRKKHHGFAN48DA,28,91.65,住家用,鋼筋混凝土造,83年1月18日,七層,一層 平台
RPQNMLRKKHHGFAN48DA,28,182.48,梯間、避難室、停車空間,鋼筋混凝土造,83年1月18日,七層,
RPRNMLLKKHHGFBN08DA,,163.96,住宅，停車空間，樓梯間,鋼筋混凝土造,110年10月22日,三層,一層 二層 三層 陽台 見其他登記事項
RPQNMLLLKHHGFGN58DA,41,112.61,住家用,加強磚造,69年11月10日,二層,一層 二層
RPSNMLRKKHHGFEN09DA,50,131.84,住商用,加強磚造,61年1月1日,二層,一層 二層
RPRNMLNLKHHGFFN78DA,28,247.12,廠房、通廊、員工單身宿舍,鋼筋混凝土造,83年5月6日,三層,一層 二層 三層 屋頂突出物
RPQNMLTKKHHGFDN98DA,27,161.12,住家用,鋼筋混凝土造,84年5月16日,四層,一層 二層 三層 四層 見其他登記事項
RPQNMLLKKHHGFBN97DA,,163.96,住宅，停車空間，樓梯間,鋼筋混凝土造,110年10月22日,三層,一層 二層 三層 陽台 見其他登記事項
RPPOMLRKKHHGFBN58DA,,241.33,住宅、停車空間、樓梯間,鋼筋混凝土造,110年9月22日,四層,一層 二層 三層 四層 陽台 見其他登記事項
RPRNMLMLKHHGFDN48DA,48,22.60,住家用,鋼筋混凝土加強磚造,62年8月25日,二層,一層 二層 浴廁
