編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLNKJIGGFAO18CB,一樓平面,1480000,31.20,一樓
RPPNMLNKJIGGFAO97CB,坡道平面,1380000,31.20,地下一樓
RPQNMLNKJIGGFAO08CB,一樓平面,1480000,33.99,一樓
RPQNMLOKJIGGFAO18CB,坡道平面,1380000,31.20,地下一樓
RPSNMLQKJIGGFAO68DB,坡道機械,500000,22.65,地下二樓
RPPNMLOKJIGGFAO08CB,坡道平面,1380000,31.20,地下一樓
RPPNMLMLJIGGFAO97CB,坡道平面,1970000,17.22,地下一樓
RPPNMLLLJIGGFAO87CB,其他,1100000,6.20,一樓
RPQOMLNLJIGGFAO28CB,一樓平面,1800000,25.20,一樓
RPUOMLNLJIGGFAO68CB,坡道平面,1500000,28.10,地下二樓
RPTOMLNLJIGGFAO58CB,一樓平面,1800000,25.20,一樓
RPUNMLQLJIGGFAO88CB,坡道平面,1220000,30.61,地下二樓
RPWNMLQLJIGGFAO09CB,坡道平面,1320000,30.61,地下一樓
RPPOMLQLJIGGFAO48CB,坡道平面,1110000,29.49,地下二樓
RPXNMLQLJIGGFAO56CB,坡道平面,1220000,30.61,地下二樓
RPSNMLRLJIGGFAO88DB,坡道機械,500000,22.65,地下二樓
RPPNMLRLJIGGFAO58DB,坡道機械,500000,22.65,地下二樓
RPOOMLQLJIGGFAO38CB,坡道平面,1220000,30.61,地下二樓
RPWNMLRLJIGGFAO66DB,坡道機械,500000,22.65,地下二樓
RPVNMLRLJIGGFAO56DB,坡道機械,500000,22.65,地下二樓
RPQNMLSLJIGGFAO78DB,坡道機械,900000,22.65,地下二樓
RPPNMLTLJIGGFAO78DB,坡道機械,800000,22.65,地下二樓
RPPNMLTLJIGGFAO68CB,一樓平面,1480000,31.20,一樓
RPQNMLTLJIGGFAO78CB,一樓平面,1480000,31.20,一樓
RPSNMLTLJIGGFAO98CB,坡道機械,750000,15.60,地下一樓
RPRNMLTLJIGGFAO88CB,坡道機械,750000,15.60,地下一樓
RPTNMLTLJIGGFAO09CB,一樓平面,1480000,31.20,一樓
RPOQMLLJKIGGFAO97CB,升降機械,750000,5.79,地下一樓
RPPNMLLJKIGGFAO87DB,坡道機械,800000,22.65,地下二樓
RPPNMLKLJIGGFAO77CB,坡道機械,750000,15.60,地下一樓
RPQNMLLJKIGGFAO97DB,坡道機械,500000,22.65,地下二樓
RPWNMLNJKIGGFAO68CB,坡道平面,1150000,31.12,地下二樓
RPPPMLNJKIGGFAO18CB,其他,1000000,6.20,一樓
RPXPMLNJKIGGFAO98CB,一樓平面,1600000,21.49,一樓
RPTNMLQJKIGGFAO68CB,坡道平面,1150000,31.12,地下二樓
RPPNMLQJKIGGFAO28CB,坡道平面,1150000,31.12,地下二樓
RPQNMLQJKIGGFAO38CB,坡道平面,1250000,31.12,地下一樓
RPUNMLQJKIGGFAO78CB,坡道平面,1150000,31.12,地下二樓
RPOQMLRJKIGGFAO58CB,其他,1000000,6.20,一樓
RPPNMLRJKIGGFAO48DB,坡道機械,500000,22.65,地下二樓
RPPNMLSJKIGGFAO48CB,坡道平面,1900000,28.10,地下一樓
RPQNMLSJKIGGFAO58CB,坡道平面,1600000,28.10,地下一樓
RPRNMLSJKIGGFAO68CB,坡道平面,1800000,28.10,地下二樓
RPTNMLSJKIGGFAO88CB,坡道平面,1500000,28.10,地下二樓
RPPOMLKKKIGGFAO87CB,坡道機械,750000,15.60,地下一樓
RPOOMLKKKIGGFAO77CB,坡道機械,750000,15.60,地下一樓
RPUOMLKKKIGGFAO38CB,坡道平面,1000000,33.73,地下一樓
RPOPMLKKKIGGFAO87CB,坡道機械,850000,15.60,地下一樓
RPSOMLNKKIGGFAO48CB,坡道平面,1320000,30.61,地下一樓
RPQPMLKKKIGGFAO08CB,坡道機械,850000,15.60,地下一樓
RPTPMLKKKIGGFAO38CB,坡道機械,750000,15.60,地下一樓
RPTOMLNKKIGGFAO58CB,坡道平面,1320000,30.61,地下一樓
RPRPMLKKKIGGFAO18CB,坡道機械,750000,15.60,地下一樓
RPWNMLPKKIGGFAO09DB,坡道機械,800000,22.65,地下二樓
RPXNMLPKKIGGFAO56DB,坡道機械,800000,22.65,地下二樓
RPOOMLPKKIGGFAO38DB,坡道機械,500000,22.65,地下二樓
RPVNMLQKKIGGFAO09DB,坡道平面,1600000,30.96,地下三樓
RPWNMLQKKIGGFAO56DB,坡道平面,1500000,30.96,地下二樓
RPVNMLQKKIGGFAO09DB,坡道平面,1600000,30.96,地下三樓
RPWNMLQKKIGGFAO56DB,坡道平面,1500000,30.96,地下二樓
RPPNMLRKKIGGFAO58DB,坡道機械,500000,22.65,地下二樓
RPTOMLKLKIGGFAO38CB,坡道平面,1450000,33.40,地下一樓
RPQPNLMLKIGGFAO48CB,坡道平面,1700000,25.20,地下一樓
RPPPNLMLKIGGFAO38CB,一樓平面,1800000,25.20,一樓
RPTPNLMLKIGGFAO78CB,坡道平面,1700000,24.11,地下一樓
RPSPNLMLKIGGFAO68CB,坡道平面,1700000,25.20,地下一樓
