編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLQKJIGGFCQ68CB,東湖段,80.88,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14150005
RPPNMLQKJIGGFCQ68CB,東湖段,.39,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150003
RPPNMLQKJIGGFCQ68CB,東湖段,.48,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150017
RPPNMLQKJIGGFCQ68CB,東湖段,16.43,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150018
RPPNMLQKJIGGFCQ68CB,東湖段,.28,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150034
RPPNMLQKJIGGFCQ68CB,東湖段,.32,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150036
RPQNMLRKJIGGFCQ88CB,秀林段,86.11,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,16270003
RPQNMLRKJIGGFCQ88CB,秀林段,28.93,非都市：一般農業區 ; 非都市編定：甲種建築用地,17,1,持分移轉,16270000
RPQNMLRKJIGGFCQ88CB,秀林段,8.07,非都市：一般農業區 ; 非都市編定：甲種建築用地,204,5,持分移轉,16440000
RPQNMLRKJIGGFCQ88CB,秀林段,10.51,非都市：一般農業區 ; 非都市編定：甲種建築用地,4000,61,持分移轉,16120000
RPQNMLRKJIGGFCQ88CB,秀林段,6.43,非都市：一般農業區 ; 非都市編定：農牧用地,4800,37,持分移轉,16150012
RPUNMLQKJIGGFDQ66CB,龍潭段,41.44,都市：住,10000,349,持分移轉,14430000
RPTNMLTKJIGGFCQ76CB,竹子腳段西昌小段,103.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02070082
RPQNMLTKJIGGFBQ98CB,內厝段,107.73,都市：住,1,1,全筆移轉,10230011
RPPNMLPKJIGGFCQ58CB,東湖段,81.93,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14150026
RPPNMLPKJIGGFCQ58CB,東湖段,.39,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150003
RPPNMLPKJIGGFCQ58CB,東湖段,.48,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150017
RPPNMLPKJIGGFCQ58CB,東湖段,16.43,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150018
RPPNMLPKJIGGFCQ58CB,東湖段,.28,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150034
RPPNMLPKJIGGFCQ58CB,東湖段,.32,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150036
RPPNMLTKJIGGFDQ09CB,過溝段過溝小段,74.47,都市：住,1,1,全筆移轉,06260032
RPPNMLTKJIGGFDQ09CB,過溝段過溝小段,7.25,都市：住,14,1,持分移轉,06280020
RPPNMLTKJIGGFDQ09CB,過溝段過溝小段,11.28,都市：住,14,1,持分移轉,06260039
RPPNMLTKJIGGFDQ09CB,過溝段過溝小段,10.67,都市：住,45,1,持分移轉,06280026
RPPNMLTKJIGGFBQ88CB,內厝段,107.73,都市：住,1,1,全筆移轉,10230010
RPRNMLTKJIGGFDQ66CB,過溝段過溝小段,74.89,都市：住,1,1,全筆移轉,06260003
RPRNMLTKJIGGFDQ66CB,過溝段過溝小段,15.59,都市：住,10,1,持分移轉,06260006
RPRNMLTKJIGGFDQ66CB,過溝段過溝小段,1.00,都市：住,10,1,持分移轉,06280006
RPRNMLTKJIGGFDQ66CB,過溝段過溝小段,10.67,都市：住,45,1,持分移轉,06280026
RPQNMLTKJIGGFDQ56CB,過溝段過溝小段,82.74,都市：住,1,1,全筆移轉,06280013
RPQNMLTKJIGGFDQ56CB,過溝段過溝小段,7.17,都市：住,14,1,持分移轉,06280011
RPQNMLTKJIGGFDQ56CB,過溝段過溝小段,11.28,都市：住,14,1,持分移轉,06260020
RPQNMLTKJIGGFDQ56CB,過溝段過溝小段,10.67,都市：住,45,1,持分移轉,06280026
RPQNMLKLJIGGFBQ18CB,內厝段,103.88,都市：住,1,1,全筆移轉,10230000
RPSNMLTKJIGGFDQ76CB,過溝段過溝小段,74.25,都市：住,1,1,全筆移轉,06260017
RPSNMLTKJIGGFDQ76CB,過溝段過溝小段,7.17,都市：住,14,1,持分移轉,06280011
RPSNMLTKJIGGFDQ76CB,過溝段過溝小段,11.28,都市：住,14,1,持分移轉,06260020
RPSNMLTKJIGGFDQ76CB,過溝段過溝小段,10.67,都市：住,45,1,持分移轉,06280026
RPTNMLTKJIGGFDQ86CB,過溝段過溝小段,84.42,都市：住,1,1,全筆移轉,06260005
RPTNMLTKJIGGFDQ86CB,過溝段過溝小段,10.67,都市：住,45,1,持分移轉,06280026
RPTNMLTKJIGGFDQ86CB,過溝段過溝小段,15.59,都市：住,10,1,持分移轉,06260006
RPTNMLTKJIGGFDQ86CB,過溝段過溝小段,1.00,都市：住,10,1,持分移轉,06280006
RPPNMLKLJIGGFBQ08CB,內厝段,107.73,都市：住,1,1,全筆移轉,10230012
RPPNMLLLJIGGFDQ38CB,過溝段過溝小段,75.85,都市：住,1,1,全筆移轉,06260035
RPPNMLLLJIGGFDQ38CB,過溝段過溝小段,6.90,都市：住,1,1,全筆移轉,06260036
RPPNMLLLJIGGFDQ38CB,過溝段過溝小段,7.25,都市：住,14,1,持分移轉,06280020
RPPNMLLLJIGGFDQ38CB,過溝段過溝小段,11.28,都市：住,14,1,持分移轉,06260039
RPPNMLLLJIGGFDQ38CB,過溝段過溝小段,10.67,都市：住,45,1,持分移轉,06280026
RPSNMLMLJIGGFDQ78CB,水東段,39.52,都市：其他:都市計畫內住宅區,100000,5626,持分移轉,01790000
RPSNMLMLJIGGFDQ78CB,水東段,5.88,都市：其他:都市計畫內住宅區,100000,2475,持分移轉,01780000
RPRNMLMLJIGGFCQ58CB,秀林段,86.57,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,16270002
RPRNMLMLJIGGFCQ58CB,秀林段,28.93,非都市：一般農業區 ; 非都市編定：甲種建築用地,17,1,持分移轉,16270000
RPRNMLMLJIGGFCQ58CB,秀林段,8.07,非都市：一般農業區 ; 非都市編定：甲種建築用地,204,5,持分移轉,16440000
RPRNMLMLJIGGFCQ58CB,秀林段,10.51,非都市：一般農業區 ; 非都市編定：甲種建築用地,4000,61,持分移轉,16120000
RPRNMLMLJIGGFCQ58CB,秀林段,6.43,非都市：一般農業區 ; 非都市編定：農牧用地,4800,37,持分移轉,16150012
RPRNMLKLJIGGFCQ48DB,三角段,103.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01420026
RPRNMLKLJIGGFCQ48DB,三角段,21.19,非都市：鄉村區 ; 非都市編定：乙種建築用地,32,1,持分移轉,01420034
RPTNMLKLJIGGFBQ58DB,大鄉段,26.25,非都市：特定農業區 ; 非都市編定：甲種建築用地,70701,2625,持分移轉,07470000
RPQNMLMLJIGGFDQ58CB,水東段,3.00,都市：其他:都市計畫內住宅區,100000,1262,持分移轉,01780000
RPQNMLMLJIGGFDQ58CB,水東段,8.97,都市：其他:都市計畫內住宅區,10000,4467,持分移轉,01790004
RPQNMLMLJIGGFDQ58CB,水東段,91.28,都市：其他:都市計畫內住宅區,1,1,全筆移轉,01790008
RPPNMLOLJIGGFEQ78CB,梅北段,25.91,都市：住,52400,2591,持分移轉,19090000
RPPNMLTLJIGGFCQ09CB,秀林段,82.11,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,16270009
RPPNMLTLJIGGFCQ09CB,秀林段,28.93,非都市：一般農業區 ; 非都市編定：甲種建築用地,17,1,持分移轉,16270000
RPPNMLTLJIGGFCQ09CB,秀林段,8.07,非都市：一般農業區 ; 非都市編定：甲種建築用地,204,5,持分移轉,16440000
RPPNMLTLJIGGFCQ09CB,秀林段,10.51,非都市：一般農業區 ; 非都市編定：甲種建築用地,4000,61,持分移轉,16120000
RPPNMLTLJIGGFCQ09CB,秀林段,6.43,非都市：一般農業區 ; 非都市編定：農牧用地,4800,37,持分移轉,16150012
RPPNMLTLJIGGFCQ09CB,秀林段,16.05,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,16270008
RPPNMLKMJIGGFCQ28CB,東湖段,82.28,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14150025
RPPNMLKMJIGGFCQ28CB,東湖段,.39,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150003
RPPNMLKMJIGGFCQ28CB,東湖段,.48,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150017
RPPNMLKMJIGGFCQ28CB,東湖段,16.43,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150018
RPPNMLKMJIGGFCQ28CB,東湖段,.28,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150034
RPPNMLKMJIGGFCQ28CB,東湖段,.32,非都市：鄉村區 ; 非都市編定：乙種建築用地,31,1,持分移轉,14150036
RPPNMLLJKIGGFCQ28DB,平林段,93.00,都市：農,1,1,全筆移轉,08860062
RPPNMLLJKIGGFCQ28DB,平林段,.42,都市：農,48,1,持分移轉,08850012
