編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLPKKHHGFAT86DA,38,5.81,樓梯,鋼筋混凝土造,72年9月6日,五層,
RPWNMLPKKHHGFAT86DA,38,40.17,住家用,鋼筋混凝土造,72年9月6日,五層,三層 陽台
RPRNMLPKKHHGFBT56EA,26,29.84,住家用,鋼筋混凝土造,85年7月29日,七層,五層 陽台
RPRNMLPKKHHGFBT56EA,26,26.35,共用部份,鋼筋混凝土造,85年7月29日,七層,
RPUPMLTJKHHGFAT17DA,45,149.88,住家用,鋼筋混凝土加強磚造,66年1月25日,三層,一層 二層 三層 騎樓
RPWNMLRKKHHGFDT37DA,7,63.61,梯間、管理委員會空間、電梯機房、水箱、防空避難室兼停車空間,鋼筋混凝土構造,103年10月15日,十四層,
RPWNMLRKKHHGFDT37DA,7,107.17,集合住宅,鋼筋混凝土構造,103年10月15日,十三層,五層 陽台 雨遮
RPRNMLMLKHHGFAT78DA,,78.16,住家用,鋼筋混凝土加強磚造,,二層,一層 二層
RPRNMLRKKHHGFET96DA,34,84.00,住家用,加強磚造,77年4月11日,二層,一層 二層
RPXNMLPKKHHGFCT17DA,19,15.59,見使用執照,鋼筋混凝土造,92年5月1日,五層,三層 陽台
RPXNMLPKKHHGFCT17DA,19,5.20,共用部份,鋼筋混凝土造,92年5月1日,五層,
RPXNMLPKKHHGFCT17DA,19,1.76,停車空間,鋼筋混凝土造,92年5月1日,五層,
RPPOMLNLKHHGFCT98DA,5,40.86,集合住宅,鋼筋混凝土構造,105年11月4日,七層,四層 陽台
RPPOMLNLKHHGFCT98DA,5,24.32,停車空間、管理委員會使用空間、消房機房（發電機室）、樓梯間、水箱間、電梯機械室,鋼筋混凝土構造,105年11月4日,七層,
RPPNMLNLKHHGFDT98DA,45,162.99,店舖、住宅,鋼筋混凝土造,65年11月18日,三層,一層 二層 三層 騎樓
RPRNMLSKKHHGFBT76DA,1,214.76,住家用,鋼筋混凝土造,109年8月19日,三層,一層 二層 三層 陽台 見其他登記事項
RPWNMLPKKHHGFCT07DA,18,6.32,見使用執照,鋼筋混凝土造,93年7月12日,六層,
RPWNMLPKKHHGFCT07DA,18,1.12,停車空間、機械室,鋼筋混凝土造,93年7月12日,六層,
RPWNMLPKKHHGFCT07DA,18,1.11,見使用執照,鋼筋混凝土造,93年7月12日,六層,
RPWNMLPKKHHGFCT07DA,18,12.14,見使用執照,鋼筋混凝土造,93年7月12日,六層,三層 陽台
RPQOMLNLKHHGFCT09DA,5,39.63,集合住宅,鋼筋混凝土構造,105年11月4日,七層,五層 陽台
RPQOMLNLKHHGFCT09DA,5,23.50,停車空間、管理委員會使用空間、消房機房（發電機室）、樓梯間、水箱間、電梯機械室,鋼筋混凝土構造,105年11月4日,七層,
RPROMLNLKHHGFCT56DA,5,37.38,集合住宅,鋼筋混凝土構造,105年11月4日,七層,五層 陽台
RPROMLNLKHHGFCT56DA,5,22.14,停車空間、管理委員會使用空間、消房機房（發電機室）、樓梯間、水箱間、電梯機械室,鋼筋混凝土構造,105年11月4日,七層,
RPUOMLOLKHHGFAT86EA,49,73.00,住家用,鋼筋混凝土加強磚造,62年5月14日,二層,一層 二層
RPPNMLPLKHHGFFT86EA,40,95.80,住商用,加強磚造,70年12月1日,二層,一層 二層 屋頂突出物
RPQNMLNLKHHGFET56DA,28,20.80,住家用,鋼筋混凝土造,83年6月2日,七層,六層
RPQNMLNLKHHGFET56DA,28,11.14,公共設施,鋼筋混凝土造,83年6月2日,七層,
RPSNMLMLKHHGFDT56DA,21,232.56,店舖、住宅,鋼筋混凝土造,89年9月8日,四層,一層 二層 三層 四層 見其他登記事項
RPWOMLPLKHHGFCT27DA,19,14.45,集合住宅,鋼筋混凝土構造,92年5月1日,五層,二層 雨遮
RPWOMLPLKHHGFCT27DA,19,4.76,共用部份,鋼筋混凝土造,92年5月1日,五層,
RPWOMLPLKHHGFCT27DA,19,1.76,停車空間,鋼筋混凝土造,92年5月1日,五層,
RPQOMLNLKHHGFAT88DA,,39.83,住家用,鋼筋混凝土加強磚造,,一層,一層
RPQNMLLJLHHGFCT68DA,22,17.28,住家用,鋼筋混凝土造,88年11月30日,五層,三層 陽台
RPQNMLLJLHHGFCT68DA,22,7.10,梯間、機械室、電信室、台電配電室、水塔、停車空間,鋼筋混凝土造,88年11月30日,五層,
RPRPMLNLKHHGFCT66DA,7,234.31,騎樓、住宅、樓梯間,鋼筋混凝土構造,104年2月16日,三層,一層 二層 三層 陽台 騎樓 見其他登記事項
RPOPMLLJLHHGFCT68DA,19,13.92,集合住宅,鋼筋混凝土造,92年5月1日,五層,二層 雨遮
RPOPMLLJLHHGFCT68DA,19,5.95,共用部份,鋼筋混凝土造,92年5月1日,五層,
RPOPMLLJLHHGFCT68DA,19,1.76,停車空間,鋼筋混凝土造,92年5月1日,五層,
RPSNMLOLKHHGFDT76DA,1,177.70,住家用,鋼筋混凝土構造,110年4月1日,三層,一層 二層 三層 陽台 屋頂突出物
RPUPMLLJLHHGFAT09DA,28,93.94,住家用,鋼筋混凝土造,82年12月4日,十五層,三層 陽台 花台
RPUPMLLJLHHGFAT09DA,28,36.71,走道，梯間，開放空間，地下室等公共設施,鋼筋混凝土造,82年12月4日,十五層,
RPWNMLLJLHHGFAT09DA,29,193.97,住家用,鋼筋混凝土造,82年1月19日,四層,一層 二層 三層 四層 陽台 花台
RPRNMLNJLHHGFFT76EA,23,32.94,住家用,鋼筋混凝土造,87年9月21日,七層,三層 陽台
RPRNMLNJLHHGFFT76EA,23,10.43,梯間，走廊，防空避難室兼停車空間,鋼筋混凝土造,87年9月21日,七層,
RPPNMLMJLHHGFCT68DA,34,98.88,住家用,鋼筋混凝土造,77年7月30日,二層,一層 二層 騎樓 夾層
RPWOMLLJLHHGFAT56DA,15,8.51,辦公室,鋼筋混凝土造,96年5月30日,八層,八層 陽台 雨遮
RPWOMLLJLHHGFAT56DA,15,7.62,梯廳、防空避難室、停車空間、水箱、機械室,鋼筋混凝土造,96年5月30日,八層,
RPTNMLMJLHHGFCT09DA,1,270.66,住宅,鋼筋混凝土構造,110年5月5日,四層,一層 二層 三層 四層 陽台
RPQPMLNLKHHGFAT98DA,26,33.43,住家用,鋼筋混凝土造,84年11月9日,十二層,十二層 陽台
RPQPMLNLKHHGFAT98DA,26,10.61,停車場，梯間,鋼筋混凝土造,84年11月9日,十二層,
RPPNMLLJLHHGFET78DA,26,29.36,住家用,鋼筋混凝土造,84年11月16日,十二層,十層 陽台
RPPNMLLJLHHGFET78DA,26,14.24,共用部份,鋼筋混凝土造,84年11月16日,十二層,
RPQNMLMJLHHGFET98DA,28,25.75,住家用,鋼筋混凝土造,83年8月17日,七層,三層 陽台
RPQNMLMJLHHGFET98DA,28,14.56,共用部份,鋼筋混凝土造,83年8月17日,七層,
RPQNMLOJLHHGFET56DA,44,89.68,住商用,鋼筋混凝土加強磚造,67年3月14日,二層,一層 二層 騎樓
RPQNMLLJLHHGFET88DA,26,24.15,住家用,鋼筋混凝土造,84年11月16日,十二層,十層
RPQNMLLJLHHGFET88DA,26,11.87,共用部份,鋼筋混凝土造,84年11月16日,十二層,
RPPNMLNJLHHGFDT88DA,27,199.64,住家用,鋼筋混凝土造,83年11月23日,四層,一層 二層 三層 四層 陽台
RPPNMLNJLHHGFDT88DA,27,59.99,停車空間,鋼筋混凝土造,83年11月23日,,
RPWNMLNJLHHGFAT76EA,39,81.42,住家用,加強磚造,72年8月4日,二層,一層 二層 騎樓
RPXNMLOJLHHGFAT96EA,28,153.93,門廊，店舖，住宅,鋼筋混凝土造,83年7月12日,四層,一層 二層 三層 四層 陽台 平台
RPPOMLPJLHHGFAT88DA,27,19.94,停車空間,鋼筋混凝土造,83年10月15日,四層,
RPPOMLPJLHHGFAT88DA,27,189.01,住家用,鋼筋混凝土造,83年10月15日,四層,一層 二層 三層 四層 陽台 屋頂突出物 地下層
RPROMLNJLHHGFAT88DA,28,76.84,住家用,鋼筋混凝土造,83年5月2日,十三層,十層 陽台
RPROMLNJLHHGFAT88DA,28,16.46,防空避難室兼停車空間梯間,鋼筋混凝土造,83年5月2日,十三層,
RPPNMLMKKHHGFAT48DA,,189.14,住家用,鋼筋混凝土造,110年12月22日,三層,一層 二層 三層 陽台 屋頂突出物
RPWOMLOJLHHGFAT86DA,33,139.18,住家用,加強磚造,78年1月25日,二層,一層 二層 屋頂突出物
RPQPMLKKKHHGFAT58DA,37,88.77,住家用,加強磚造,73年10月8日,二層,一層 二層 屋頂突出物
RPRNMLLJLHHGFAT58DA,15,13.91,住家用,鋼筋混凝土造,96年3月28日,五層,四層
RPRNMLLJLHHGFAT58DA,15,6.97,住宅、防空避難室,鋼筋混凝土造,96年3月28日,五層,
RPSNMLOJLHHGFBT09DA,51,68.00,住商用,鋼筋混凝土加強磚造,60年3月1日,二層,一層 二層
RPUNMLMLKHHGFAT09DA,22,94.08,集合住宅,鋼筋混凝土造,88年12月4日,十四層,六層 陽台
RPUNMLMLKHHGFAT09DA,22,78.74,走廊、辦公室、管理員室梯間、俱樂部梯間、公共空間、停車空間、防空避難室、屋頂突出物、陽台,鋼筋混凝土造,88年12月4日,十四層,
RPROMLPKKHHGFAT09DA,,207.55,住家用,鋼筋混凝土造,110年12月22日,三層,一層 二層 三層 陽台 屋頂突出物
RPSNMLNJLHHGFCT09DA,27,34.19,住家用,鋼筋混凝土造,84年7月10日,六層,一層 陽台
RPSNMLNJLHHGFCT09DA,27,22.35,住家用,鋼筋混凝土造,84年7月10日,六層,
RPTOMLMJLHHGFCT56DA,1,177.31,住宅,鋼筋混凝土構造,109年12月7日,四層,一層 二層 三層 四層 陽台
RPRPMLSJLHHGFAT86DA,43,103.32,住商用,加強磚造,68年7月17日,二層,一層 二層 騎樓
RPSOMLOLKHHGFAT56DA,39,96.00,住商用,加強磚造,72年7月8日,二層,一層 二層
RPUOMLMLKHHGFAT56DA,38,74.70,集合住宅,鋼筋混凝土造,72年12月27日,五層,三層
RPUOMLMLKHHGFAT56DA,38,12.07,共用部份,鋼筋混凝土造,72年12月27日,五層,
RPSNMLRJLHHGFCT86DA,28,33.47,停車空間防空避難室機械室樓梯間水箱,鋼筋混凝土造,83年6月25日,十一層,
RPSNMLRJLHHGFCT86DA,28,114.88,住家用,鋼筋混凝土造,83年6月25日,十一層,十一層 陽台 花台
RPTOMLOJLHHGFAT56DA,25,191.27,農舍,鋼筋混凝土造,85年12月20日,三層,一層 二層 三層
RPTNMLRJLHHGFET17DA,28,23.18,住家用,鋼筋混凝土造,82年11月26日,六層,二層 陽台
RPTNMLRJLHHGFET17DA,28,9.81,共用部份,鋼筋混凝土造,82年11月26日,六層,
RPPNMLPJLHHGFDT09DA,41,89.80,店舖、住宅,加強磚造,70年5月30日,二層,一層 二層
RPOOMLSJLHHGFAT56EA,,102.22,集合住宅,鋼筋混凝土造,110年9月23日,五層,五層 陽台
RPOOMLSJLHHGFAT56EA,,39.19,停車空間、電梯、共同梯廳、樓梯間、電信機室,鋼筋混凝土造,110年9月23日,五層,
RPQQMLSJLHHGFAT96EA,44,87.56,住家用,加強磚造,66年10月12日,二層,一層 二層
RPOOMLLLKHHGFDT78DA,38,57.67,住宅　店舖,鋼筋混凝土造,72年10月8日,二層,一層 二層
RPTNMLPJLHHGFAT56DA,50,71.68,住家用,磚造二樓屋頂平頂,61年4月11日,二層,一層 二層 陽台 騎樓
RPQNMLRJLHHGFBT56DA,32,208.63,住家用,加強磚造,79年1月11日,二層,一層 二層 陽台 屋頂突出物 騎樓
