編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLQKJIGGFAV09CB,台東段,24.11,都市：商,100000,896,持分移轉,18330000
RPQNMLSJKIGGFAV66CB,常德段,19.39,都市：商,100000,1240,持分移轉,07150000
RPVOMLTJKIGGFAV37CB,常德段,27.01,都市：商,100000,1839,持分移轉,07260000
RPPNMLMLJIGGFAV68CB,常德段,27.53,都市：商,100000,1874,持分移轉,07260000
RPSNMLTJKIGGFAV96CB,常德段,18.94,都市：商,100000,1211,持分移轉,07150000
RPQNMLMJKIGGFAV68CB,豐年段,77.51,都市：住,1,1,全筆移轉,09500014
RPPNMLSJKIGGFAV56CB,常德段,19.72,都市：商,100000,1261,持分移轉,07150000
RPSNMLTLJIGGFAV17DB,豐谷段,126.30,都市：住,1,1,全筆移轉,06900000
RPTNMLTJKIGGFAV07CB,常德段,18.94,都市：商,100000,1211,持分移轉,07150000
RPWOMLTJKIGGFAV47CB,台東段,22.04,都市：商,100000,819,持分移轉,18330000
RPUNMLKKKIGGFAV98CB,南榮段,25.98,都市：住,100000,702,持分移轉,10690000
RPUNMLKKKIGGFAV98CB,南榮段,9.76,都市：農,100000,702,持分移轉,10810000
RPSNMLKKKIGGFAV78CB,南榮段,38.35,都市：住,100000,1036,持分移轉,10690000
RPSNMLKKKIGGFAV78CB,南榮段,14.40,都市：農,100000,1036,持分移轉,10810000
RPTNMLKKKIGGFAV88CB,南榮段,25.98,都市：住,100000,702,持分移轉,10690000
RPTNMLKKKIGGFAV88CB,南榮段,9.76,都市：農,100000,702,持分移轉,10810000
RPWNMLKKKIGGFAV56CB,南榮段,26.02,都市：住,100000,703,持分移轉,10690000
RPWNMLKKKIGGFAV56CB,南榮段,9.77,都市：農,100000,703,持分移轉,10810000
RPRNMLKKKIGGFAV68CB,南榮段,26.02,都市：住,100000,703,持分移轉,10690000
RPRNMLKKKIGGFAV68CB,南榮段,9.77,都市：農,100000,703,持分移轉,10810000
RPVNMLKKKIGGFAV09CB,南榮段,26.02,都市：住,100000,703,持分移轉,10690000
RPVNMLKKKIGGFAV09CB,南榮段,9.77,都市：農,100000,703,持分移轉,10810000
RPXNMLKKKIGGFAV66CB,南榮段,38.35,都市：住,100000,1036,持分移轉,10690000
RPXNMLKKKIGGFAV66CB,南榮段,14.40,都市：農,100000,1036,持分移轉,10810000
RPQOMLKKKIGGFAV68CB,南榮段,25.98,都市：住,100000,702,持分移轉,10690000
RPQOMLKKKIGGFAV68CB,南榮段,9.76,都市：農,100000,702,持分移轉,10810000
RPOOMLKKKIGGFAV48CB,南榮段,38.35,都市：住,100000,1036,持分移轉,10690000
RPOOMLKKKIGGFAV48CB,南榮段,14.40,都市：農,100000,1036,持分移轉,10810000
RPPOMLKKKIGGFAV58CB,南榮段,38.35,都市：住,100000,1036,持分移轉,10690000
RPPOMLKKKIGGFAV58CB,南榮段,14.40,都市：農,100000,1036,持分移轉,10810000
RPPNMLNKKIGGFAV78CB,常德段,18.94,都市：商,100000,1211,持分移轉,07150000
RPROMLKKKIGGFAV78CB,南榮段,38.35,都市：住,100000,1036,持分移轉,10690000
RPROMLKKKIGGFAV78CB,南榮段,14.40,都市：農,100000,1036,持分移轉,10810000
RPQNMLNKKIGGFAV88CB,常德段,18.94,都市：商,100000,1211,持分移轉,07150000
RPSNMLNKKIGGFAV09CB,常德段,18.94,都市：商,100000,1211,持分移轉,07150000
RPTNMLNKKIGGFAV56CB,常德段,18.94,都市：商,100000,1211,持分移轉,07150000
RPVNMLNKKIGGFAV76CB,南榮段,26.02,都市：住,100000,703,持分移轉,10690000
RPVNMLNKKIGGFAV76CB,南榮段,9.77,都市：農,100000,703,持分移轉,10810000
RPPNMLKKKIGGFAV48CB,南榮段,26.02,都市：住,100000,703,持分移轉,10690000
