編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTNMLKKKHHGFAW98DA,6,25.92,集合住宅,鋼筋混凝土造,105年1月26日,三層,三層 陽台
RPTNMLKKKHHGFAW98DA,6,9.04,共有部分：本共有部分之項目有車道、停車空間、消防蓄水池、蓄水箱、消防機械室、發電機室、樓梯間、電梯廳、管理室、電信室、玄關、大廳及陽台等１３項。,鋼筋混凝土造,105年1月26日,三層,
RPPNMLSKKHHGFAW76DA,43,85.38,住商用,鋼筋混凝土造,67年9月15日,三層,一層 二層 三層
RPUNMLOKKHHGFAW86DA,23,227.56,住家用,鋼筋混凝土造,88年6月15日,三層,一層 二層 三層 陽台 平台 屋頂突出物 地下層
RPUNMLOKKHHGFAW86DA,23,221.87,住家用,鋼筋混凝土造,88年6月15日,三層,一層 二層 三層 陽台 平台 屋頂突出物 地下層
RPUNMLRKKHHGFAW17DA,6,67.24,集合住宅,鋼筋混凝土造,104年12月30日,三層,二層 陽台
RPUNMLRKKHHGFAW17DA,6,5.44,共有部分：本共有部分之項目有樓梯間及陽台等二項。,鋼筋混凝土造,104年12月30日,三層,
RPQNMLKKKHHGFAW68DA,,45.56,集合住宅,鋼筋混凝土造,110年11月24日,三層,一層
RPQNMLKKKHHGFAW68DA,,7.65,集合住宅：本共有部分項目有樓梯間、電梯、水箱房等３項。,鋼筋混凝土造,110年11月24日,三層,
RPRNMLRKKHHGFAW86DA,7,88.75,集合住宅,鋼筋混凝土造,104年8月4日,三層,二層 陽台
RPRNMLRKKHHGFAW86DA,7,5.49,共有部分：本共有部分之項目計有無障礙樓梯一項。,鋼筋混凝土造,104年8月4日,三層,
RPRNMLMLKHHGFAW09DA,14,241.51,住家用,鋼筋混凝土造,96年12月24日,三層,一層 二層 三層 陽台 屋頂突出物 雨遮
RPQNMLNLKHHGFAW09DA,4,95.90,集合住宅,鋼筋混凝土造,107年5月14日,三層,三層 陽台
RPQNMLNLKHHGFAW09DA,4,60.39,共有部分：本共有部分之項目計有台電配電場所、配電場所、電表箱空間、電信機房、消防幫浦室、緊急發電機室、水箱、停車空間、污水池、管理室、車道、公共廁所等１２項。,鋼筋混凝土造,107年5月14日,三層,
RPQNMLNLKHHGFAW09DA,4,15.04,共有部分：本共有部分之項目計有梯間、梯廳、電梯、安全梯、機房等５項。,鋼筋混凝土造,107年5月14日,三層,
RPTNMLTJKHHGFAW17DA,1,74.43,集合住宅,鋼筋混凝土造,109年11月20日,九層,九層 陽台 雨遮
RPTNMLTJKHHGFAW17DA,1,26.84,辦公室、集合住宅、本共有部分之項目有台電配電室、機電消防室、無障礙安全梯、消防水池、防空避難室兼停車空間、電信室、清水池、環保區、管委會使用空間、走廊兼梯廳、安全梯、梯廳、雨遮、電梯機房、水箱、水錶室等計１６項。,鋼筋混凝土造,109年11月20日,九層,
RPUNMLTJKHHGFAW27DA,3,74.31,集合住宅,鋼筋混凝土造,107年8月17日,六層,五層 陽台 雨遮
RPUNMLTJKHHGFAW27DA,3,28.91,共有部分：本共有部分之項目有防空避難設備、安全梯（無障礙樓梯）、梯廳、無障礙電梯、機械房、停車空間、室內通路等７項。,鋼筋混凝土造,107年8月17日,六層,
RPPNMLNJLHHGFAW88DA,1,93.41,集合住宅,鋼筋混凝土造,110年2月9日,六層,一層 陽台
RPPNMLNJLHHGFAW88DA,1,47.62,集合住宅：本共有部分之項目計有滯洪池、電信室、梯廳、水箱、緊急發電室、消防幫浦室、消防水箱、廢水池、台電配電場所、受電箱、電梯空間、停車位等１２項。,鋼筋混凝土造,110年2月9日,六層,
RPRNMLNLKHHGFAW56DA,4,85.75,集合住宅,鋼筋混凝土造,106年12月4日,三層,二層 陽台
RPRNMLNLKHHGFAW56DA,4,6.11,共有部分：本共有部分之項目有樓梯間１項。,鋼筋混凝土造,106年12月4日,三層,
RPQNMLNJLHHGFAW98DA,1,93.46,集合住宅,鋼筋混凝土造,110年2月9日,六層,二層 陽台
RPQNMLNJLHHGFAW98DA,1,61.35,集合住宅：本共有部分之項目計有滯洪池、電信室、梯廳、水箱、緊急發電室、消防幫浦室、消防水箱、廢水池、台電配電場所、受電箱、電梯空間、停車位等１２項。,鋼筋混凝土造,110年2月9日,六層,
RPRNMLSJLHHGFAW96DA,6,39.44,集合住宅,鋼筋混凝土造,104年11月25日,八層,三層 陽台 雨遮
RPRNMLSJLHHGFAW96DA,6,22.15,共有部分：本共有部分項目有：管委會空間、電樓梯間、梯廳、車道、走廊、防空避難室兼停車空間、受電箱、台電配電場所、電信機房、蓄水池、汙水處理機房、消防泵浦室、水箱等十三項。,鋼筋混凝土造,104年11月25日,八層,
RPQNMLMKJHHGFAW78DA,2,135.07,集合住宅,鋼筋混凝土造,109年4月13日,三層,一層 陽台 地下一層
RPQNMLMKJHHGFAW78DA,2,20.75,集合住宅、本共有部分之項目計有機房、水箱機房、梯廳、電梯、門廳（管委會使用空間）、停車空間、車道、無障礙通路等八項。,鋼筋混凝土造,109年4月13日,三層,
RPUNMLKKJHHGFAW98DA,5,84.34,集合住宅,鋼筋混凝土造,106年3月6日,三層,二層 陽台
RPUNMLKKJHHGFAW98DA,5,6.96,共有部分：本共有部分之項目有樓梯間１項。,鋼筋混凝土造,106年3月6日,三層,
RPRNMLPLJHHGFAW66DA,2,98.58,集合住宅,鋼筋混凝土造,109年4月13日,三層,一層 陽台
RPRNMLPLJHHGFAW66DA,2,15.49,集合住宅、本共有部分之項目計有機房、水箱機房、梯廳、電梯、門廳（管委會使用空間）、停車空間、車道、無障礙通路等八項。,鋼筋混凝土造,109年4月13日,三層,
RPPNMLKKJHHGFAW48DA,8,146.71,集合住宅,鋼筋混凝土造,102年10月11日,三層,一層 二層 三層 陽台 雨遮
RPQNMLKKJHHGFAW58DA,55,89.96,,加強磚造、鋼鐵造。,56年7月1日,二層,一層 二層 陽台 平台 騎樓
RPPNMLRJKHHGFAW56DA,6,38.29,集合住宅,鋼筋混凝土造,104年11月25日,八層,八層 陽台
RPPNMLRJKHHGFAW56DA,6,22.98,共有部分：本共有部分項目有：管委會空間、電樓梯間、梯廳、車道、走廊、防空避難室兼停車空間、受電箱、台電配電場所、電信機房、蓄水池、汙水處理機房、消防泵浦室、水箱等十三項。,鋼筋混凝土造,104年11月25日,八層,
RPTNMLPLJHHGFAW86DA,12,20.92,集合住宅,鋼筋混凝土造,98年12月22日,三層,一層
RPTNMLPLJHHGFAW86DA,12,6.68,共有部分，本共有部分有走廊、樓梯間等２項。,鋼筋混凝土造,98年12月22日,三層,
RPRNMLSJKHHGFAW86DA,,85.48,集合住宅,鋼筋混凝土造,110年12月3日,三層,二層 陽台
RPRNMLSJKHHGFAW86DA,,6.83,集合住宅：本共有部分項目有樓梯間１項。,鋼筋混凝土造,110年12月3日,三層,
