編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPOMLQKKHHGFAA17DB,景美段五小段,6.38,都市：商,100000,553,持分移轉,03410000
RPQOMLQKKHHGFAA27DB,景美段五小段,7.18,都市：商,100000,623,持分移轉,03410000
RPXNMLOKKHHGFEA97CB,天母段一小段,6.25,都市：住,10000,137,持分移轉,02300000
RPXNMLOKKHHGFEA97CB,天母段一小段,6.22,都市：住,10000,137,持分移轉,02310000
RPVNMLQKKHHGFAA67DB,景美段五小段,3.79,都市：商,100000,329,持分移轉,03410000
RPPNMLPKKHHGFAA96DB,木柵段三小段,8.04,都市：商,100000,264,持分移轉,01250000
RPQNMLOKKHHGFEA27CB,振興段四小段,.77,都市：商,100000,492,持分移轉,01660002
RPQNMLOKKHHGFEA27CB,振興段四小段,.03,都市：商,100000,492,持分移轉,01680003
RPQNMLOKKHHGFEA27CB,振興段四小段,.45,都市：商,100000,492,持分移轉,01680004
RPQNMLOKKHHGFEA27CB,振興段四小段,.04,都市：商,100000,492,持分移轉,01680005
RPQNMLOKKHHGFEA27CB,振興段四小段,.32,都市：商,100000,492,持分移轉,01830000
RPQNMLOKKHHGFEA27CB,振興段四小段,.64,都市：商,100000,492,持分移轉,02150000
RPQNMLOKKHHGFEA27CB,振興段四小段,.57,都市：商,100000,492,持分移轉,02220000
RPQNMLOKKHHGFEA27CB,振興段四小段,.13,都市：商,100000,492,持分移轉,02230000
RPQNMLOKKHHGFEA27CB,振興段四小段,.53,都市：商,100000,492,持分移轉,02240000
RPQNMLOKKHHGFEA27CB,振興段四小段,.48,都市：商,100000,492,持分移轉,02250000
RPQNMLOKKHHGFEA27CB,振興段四小段,.47,都市：商,100000,492,持分移轉,02260000
RPQNMLOKKHHGFEA27CB,振興段四小段,.06,都市：商,100000,492,持分移轉,02270000
RPQNMLOKKHHGFEA27CB,振興段四小段,.54,都市：商,100000,492,持分移轉,02280000
RPQNMLOKKHHGFEA27CB,振興段四小段,.41,都市：商,100000,492,持分移轉,02290000
RPQNMLOKKHHGFEA27CB,振興段四小段,.04,都市：商,100000,492,持分移轉,02300000
RPQNMLOKKHHGFEA27CB,振興段四小段,.48,都市：商,100000,492,持分移轉,02310000
RPQNMLOKKHHGFEA27CB,振興段四小段,.64,都市：商,100000,492,持分移轉,02320000
RPQNMLOKKHHGFEA27CB,振興段四小段,.02,都市：商,100000,492,持分移轉,02330000
RPQNMLOKKHHGFEA27CB,振興段四小段,.16,都市：商,100000,492,持分移轉,02340000
RPQNMLOKKHHGFEA27CB,振興段四小段,.03,都市：商,100000,492,持分移轉,02350000
RPQNMLOKKHHGFEA27CB,振興段四小段,.46,都市：商,100000,492,持分移轉,02360000
RPQNMLOKKHHGFEA27CB,振興段四小段,1.92,都市：商,100000,492,持分移轉,02470000
RPQNMLOKKHHGFEA27CB,振興段四小段,.56,都市：商,100000,492,持分移轉,02510000
RPQNMLOKKHHGFEA27CB,振興段四小段,.47,都市：商,100000,492,持分移轉,02540000
RPQNMLOKKHHGFEA27CB,振興段四小段,.47,都市：商,100000,492,持分移轉,02550000
RPQNMLOKKHHGFEA27CB,振興段四小段,.46,都市：商,100000,492,持分移轉,02560000
RPQNMLOKKHHGFEA27CB,振興段四小段,.49,都市：商,100000,492,持分移轉,02570000
RPQNMLOKKHHGFEA27CB,振興段四小段,.49,都市：商,100000,492,持分移轉,02580000
RPQNMLOKKHHGFEA27CB,振興段四小段,.57,都市：商,100000,492,持分移轉,02590000
RPQNMLOKKHHGFEA27CB,振興段四小段,.59,都市：商,100000,492,持分移轉,02600000
RPQNMLOKKHHGFEA27CB,振興段四小段,.51,都市：商,100000,492,持分移轉,02610000
RPQNMLOKKHHGFEA27CB,振興段四小段,.62,都市：商,100000,492,持分移轉,02620000
RPQNMLOKKHHGFEA27CB,振興段四小段,.39,都市：商,100000,492,持分移轉,02640001
RPQNMLOKKHHGFEA27CB,振興段四小段,.16,都市：商,100000,492,持分移轉,02660001
RPSNMLOKKHHGFEA47CB,振興段四小段,.85,都市：商,100000,545,持分移轉,01660002
RPSNMLOKKHHGFEA47CB,振興段四小段,.04,都市：商,100000,545,持分移轉,01680003
RPSNMLOKKHHGFEA47CB,振興段四小段,.50,都市：商,100000,545,持分移轉,01680004
RPSNMLOKKHHGFEA47CB,振興段四小段,.04,都市：商,100000,545,持分移轉,01680005
RPSNMLOKKHHGFEA47CB,振興段四小段,.35,都市：商,100000,545,持分移轉,01830000
RPSNMLOKKHHGFEA47CB,振興段四小段,.71,都市：商,100000,545,持分移轉,02150000
RPSNMLOKKHHGFEA47CB,振興段四小段,.63,都市：商,100000,545,持分移轉,02220000
RPSNMLOKKHHGFEA47CB,振興段四小段,.15,都市：商,100000,545,持分移轉,02230000
RPSNMLOKKHHGFEA47CB,振興段四小段,.59,都市：商,100000,545,持分移轉,02240000
RPSNMLOKKHHGFEA47CB,振興段四小段,.53,都市：商,100000,545,持分移轉,02250000
RPSNMLOKKHHGFEA47CB,振興段四小段,.52,都市：商,100000,545,持分移轉,02260000
RPSNMLOKKHHGFEA47CB,振興段四小段,.07,都市：商,100000,545,持分移轉,02270000
RPSNMLOKKHHGFEA47CB,振興段四小段,.60,都市：商,100000,545,持分移轉,02280000
RPSNMLOKKHHGFEA47CB,振興段四小段,.45,都市：商,100000,545,持分移轉,02290000
RPSNMLOKKHHGFEA47CB,振興段四小段,.04,都市：商,100000,545,持分移轉,02300000
RPSNMLOKKHHGFEA47CB,振興段四小段,.53,都市：商,100000,545,持分移轉,02310000
RPSNMLOKKHHGFEA47CB,振興段四小段,.71,都市：商,100000,545,持分移轉,02320000
RPSNMLOKKHHGFEA47CB,振興段四小段,.03,都市：商,100000,545,持分移轉,02330000
RPSNMLOKKHHGFEA47CB,振興段四小段,.17,都市：商,100000,545,持分移轉,02340000
RPSNMLOKKHHGFEA47CB,振興段四小段,.04,都市：商,100000,545,持分移轉,02350000
RPSNMLOKKHHGFEA47CB,振興段四小段,.51,都市：商,100000,545,持分移轉,02360000
RPSNMLOKKHHGFEA47CB,振興段四小段,2.13,都市：商,100000,545,持分移轉,02470000
RPSNMLOKKHHGFEA47CB,振興段四小段,.62,都市：商,100000,545,持分移轉,02510000
RPXNMLQKKHHGFAA87DB,景美段五小段,4.01,都市：商,100000,348,持分移轉,03410000
RPSNMLOKKHHGFEA47CB,振興段四小段,.52,都市：商,100000,545,持分移轉,02540000
RPSNMLOKKHHGFEA47CB,振興段四小段,.52,都市：商,100000,545,持分移轉,02550000
RPSNMLOKKHHGFEA47CB,振興段四小段,.51,都市：商,100000,545,持分移轉,02560000
RPSNMLOKKHHGFEA47CB,振興段四小段,.55,都市：商,100000,545,持分移轉,02570000
RPSNMLOKKHHGFEA47CB,振興段四小段,.54,都市：商,100000,545,持分移轉,02580000
RPSNMLOKKHHGFEA47CB,振興段四小段,.63,都市：商,100000,545,持分移轉,02590000
RPSNMLOKKHHGFEA47CB,振興段四小段,.65,都市：商,100000,545,持分移轉,02600000
RPSNMLOKKHHGFEA47CB,振興段四小段,.57,都市：商,100000,545,持分移轉,02610000
RPSNMLOKKHHGFEA47CB,振興段四小段,.69,都市：商,100000,545,持分移轉,02620000
RPSNMLOKKHHGFEA47CB,振興段四小段,.44,都市：商,100000,545,持分移轉,02640001
RPSNMLOKKHHGFEA47CB,振興段四小段,.18,都市：商,100000,545,持分移轉,02660001
RPSOMLQKKHHGFAA47DB,景美段五小段,7.18,都市：商,100000,623,持分移轉,03410000
RPTNMLOKKHHGFEA57CB,溫泉段四小段,.02,都市：商,100000,439,持分移轉,05330004
RPTNMLOKKHHGFEA57CB,溫泉段四小段,.00,都市：商,100000,439,持分移轉,05330005
RPTNMLOKKHHGFEA57CB,溫泉段四小段,.00,都市：商,100000,439,持分移轉,05340002
RPTNMLOKKHHGFEA57CB,溫泉段四小段,.77,都市：商,100000,439,持分移轉,05590000
RPTNMLOKKHHGFEA57CB,溫泉段四小段,.76,都市：商,100000,439,持分移轉,05600000
RPTNMLOKKHHGFEA57CB,溫泉段四小段,.01,都市：商,100000,439,持分移轉,05610001
RPTNMLOKKHHGFEA57CB,溫泉段四小段,.77,都市：商,100000,439,持分移轉,05620000
RPTNMLOKKHHGFEA57CB,溫泉段四小段,.02,都市：商,100000,439,持分移轉,05630000
RPTNMLOKKHHGFEA57CB,溫泉段四小段,.83,都市：商,100000,439,持分移轉,05640000
RPTNMLOKKHHGFEA57CB,溫泉段四小段,.03,都市：商,100000,439,持分移轉,05650001
RPTNMLOKKHHGFEA57CB,溫泉段四小段,.83,都市：商,100000,439,持分移轉,05660000
RPTNMLOKKHHGFEA57CB,溫泉段四小段,.02,都市：商,100000,439,持分移轉,05670001
RPTNMLOKKHHGFEA57CB,溫泉段四小段,.83,都市：商,100000,439,持分移轉,05680000
RPTNMLOKKHHGFEA57CB,溫泉段四小段,.02,都市：商,100000,439,持分移轉,05690001
RPTNMLOKKHHGFEA57CB,溫泉段四小段,.79,都市：商,100000,439,持分移轉,05700000
RPTNMLOKKHHGFEA57CB,溫泉段四小段,.00,都市：商,100000,439,持分移轉,05720001
RPTNMLOKKHHGFEA57CB,溫泉段四小段,.50,都市：商,100000,439,持分移轉,05730000
RPTNMLOKKHHGFEA57CB,溫泉段四小段,.24,都市：商,100000,439,持分移轉,05760000
RPTNMLOKKHHGFEA57CB,溫泉段四小段,.05,都市：商,100000,439,持分移轉,06020000
RPTNMLOKKHHGFEA57CB,溫泉段四小段,.04,都市：商,100000,439,持分移轉,06020001
RPTNMLOKKHHGFEA57CB,溫泉段四小段,.13,都市：商,100000,439,持分移轉,06020002
