編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWNMLOKKHHGFJE78CB,保安段,40.23,都市：住,100000,5050,持分移轉,05950000
RPPNMLOKKHHGFEE67DB,福山段,9.12,都市：商,100000,232,持分移轉,03590000
RPSNMLOKKHHGFJE38CB,保安段,40.23,都市：住,100000,5050,持分移轉,05950000
RPPNMLOKKHHGFFE77DB,後壁田段,14.84,都市：住,100000,169,持分移轉,00900000
RPUNMLMKKHHGFGE08CB,五甲段,15.66,都市：住,10000,92,持分移轉,15510000
RPPNMLPKKHHGFIE08CB,金鼎段,20.10,都市：住,100000,571,持分移轉,01390000
RPTNMLMKKHHGFGE97CB,五甲段,20.93,都市：住,10000,123,持分移轉,15510000
RPQNMLOKKHHGFFE87DB,後壁田段,14.05,都市：住,100000,160,持分移轉,00900000
RPRNMLPKKHHGFIE28CB,神農段,39.75,都市：住,10000,489,持分移轉,00790003
RPQNMLPKKHHGFDE67CB,灣中段,8.78,都市：商,100000,330,持分移轉,00630000
RPPNMLSKKHHGFEE97CB,援中段二小段,17.68,都市：住,10000,56,持分移轉,00490000
RPPNMLPKKHHGFFE77CB,蚵寮段,5.14,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,827,持分移轉,15370000
RPPNMLPKKHHGFFE77CB,蚵寮段,18.86,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,827,持分移轉,15380000
RPRNMLRKKHHGFLE78CB,濃公段,107.37,都市：住,1,1,全筆移轉,00980007
RPRNMLRKKHHGFLE78CB,赤崁段潮州寮小段,3.18,都市：住,100000,11346,持分移轉,46290041
RPRNMLRKKHHGFLE78CB,濃公段,32.08,都市：住,100000,11346,持分移轉,00980011
RPQNMLTKKHHGFAE87DB,前金段,.26,都市：商,100000,120,持分移轉,00790000
RPQNMLTKKHHGFAE87DB,前金段,.93,都市：商,100000,120,持分移轉,00790010
RPQNMLTKKHHGFAE87DB,前金段,.13,都市：商,100000,120,持分移轉,00790014
RPQNMLTKKHHGFAE87DB,前金段,.11,都市：商,100000,120,持分移轉,00790015
RPQNMLTKKHHGFAE87DB,前金段,.13,都市：商,100000,120,持分移轉,00790016
RPQNMLTKKHHGFAE87DB,前金段,.11,都市：商,100000,120,持分移轉,00790017
RPQNMLTKKHHGFAE87DB,前金段,.24,都市：商,100000,120,持分移轉,00790018
RPQNMLTKKHHGFAE87DB,前金段,.13,都市：商,100000,120,持分移轉,00790019
RPQNMLTKKHHGFAE87DB,前金段,.11,都市：商,100000,120,持分移轉,00790020
RPPNMLRKKHHGFEE87CB,新庄段七小段,12.15,都市：住,100000,799,持分移轉,09890000
RPQNMLSKKHHGFDE97CB,灣中段,6.20,都市：商,100000,233,持分移轉,00630000
RPVNMLRKKHHGFEE58DB,新福段七小段,10.76,都市：住,10000,162,持分移轉,00080000
RPPNMLKLKHHGFBE07DB,五塊厝段,4.87,都市：商,100000,398,持分移轉,20850000
RPPNMLLLKHHGFDE27CB,灣中段,8.14,都市：商,100000,306,持分移轉,00630000
RPQNMLLLKHHGFDE37CB,灣中段,5.91,都市：商,100000,222,持分移轉,00630000
RPPNMLKLKHHGFBE96CB,五塊厝段,14.00,都市：商,100000,409,持分移轉,24760000
RPRNMLLLKHHGFDE47CB,灣中段,5.93,都市：商,100000,223,持分移轉,00630000
RPPNMLKLKHHGFDE17CB,灣中段,5.93,都市：商,100000,223,持分移轉,00630000
RPUNMLTKKHHGFAE28DB,前金段,.28,都市：商,100000,128,持分移轉,00790000
RPUNMLTKKHHGFAE28DB,前金段,.99,都市：商,100000,128,持分移轉,00790010
RPUNMLTKKHHGFAE28DB,前金段,.14,都市：商,100000,128,持分移轉,00790014
RPUNMLTKKHHGFAE28DB,前金段,.12,都市：商,100000,128,持分移轉,00790015
RPUNMLTKKHHGFAE28DB,前金段,.14,都市：商,100000,128,持分移轉,00790016
RPUNMLTKKHHGFAE28DB,前金段,.12,都市：商,100000,128,持分移轉,00790017
RPUNMLTKKHHGFAE28DB,前金段,.26,都市：商,100000,128,持分移轉,00790018
RPUNMLTKKHHGFAE28DB,前金段,.14,都市：商,100000,128,持分移轉,00790019
RPUNMLTKKHHGFAE28DB,前金段,.12,都市：商,100000,128,持分移轉,00790020
RPSNMLLLKHHGFDE57CB,灣中段,8.78,都市：商,100000,330,持分移轉,00630000
RPQNMLLLKHHGFLE18CB,琉球段,24.57,都市：住,10000,202,持分移轉,09580000
RPPNMLLLKHHGFLE08CB,琉球段,20.43,都市：住,10000,168,持分移轉,09580000
RPPNMLLLKHHGFGE57CB,明頂段,19.84,都市：住,10000,60,持分移轉,00090000
RPQNMLLLKHHGFGE67CB,明頂段,14.88,都市：住,10000,45,持分移轉,00090000
RPRNMLLLKHHGFLE28CB,琉球段,31.50,都市：住,10000,259,持分移轉,09580000
RPQNMLMLKHHGFIE97CB,金鼎段,25.94,都市：住,100000,737,持分移轉,01390000
RPSNMLLLKHHGFLE38CB,琉球段,23.60,都市：住,10000,194,持分移轉,09580000
RPPNMLMLKHHGFIE87CB,金鼎段,30.10,都市：住,100000,855,持分移轉,01390000
RPSNMLMLKHHGFIE18CB,金鼎段,30.13,都市：住,100000,856,持分移轉,01390000
RPRNMLMLKHHGFIE08CB,金鼎段,30.10,都市：住,100000,855,持分移轉,01390000
RPPNMLMLKHHGFDE37CB,灣中段,8.01,都市：商,100000,301,持分移轉,00630000
RPQNMLMLKHHGFDE47CB,灣中段,6.20,都市：商,100000,290,持分移轉,10130000
RPRNMLMLKHHGFDE57CB,灣中段,4.47,都市：商,100000,209,持分移轉,10130000
RPSNMLMLKHHGFDE67CB,灣中段,7.87,都市：商,100000,368,持分移轉,10130000
RPPNMLMLKHHGFAE07CB,青海段,23.29,都市：住,100000,325,持分移轉,04400001
RPTNMLMLKHHGFDE77CB,灣中段,7.40,都市：商,100000,346,持分移轉,10130000
RPQNMLMLKHHGFAE17CB,青海段,27.37,都市：住,100000,371,持分移轉,03560000
RPPNMLMLKHHGFFE67DB,後壁田段,14.22,都市：住,100000,162,持分移轉,00900000
RPRNMLMLKHHGFAE27CB,青海段,34.38,都市：住,100000,466,持分移轉,03560000
RPQNMLMLKHHGFFE77DB,後壁田段,14.84,都市：住,100000,169,持分移轉,00900000
RPTNMLMLKHHGFFE97CB,蚵寮段,5.51,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,886,持分移轉,15370000
