編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLMKNHHGFAG77EA,三結一段,1559.21,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06130000
RPSNMLQKNHHGFBG28DA,烏石港段,108.64,都市：其他:住宅區,1,1,全筆移轉,02260000
RPXNMLTJNHHGFAG98EA,廣興段,58.04,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,01190000
RPVNMLRKNHHGFBG68DA,新金山段,3390.97,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06260000
RPQNMLKKNHHGFBG47DA,五美段,83.17,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00310002
RPOPMLRKNHHGFAG08DA,家福段,128.79,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02180002
RPOPMLRKNHHGFAG08DA,家福段,9.98,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02180003
RPVOMLRKNHHGFAG68DA,家福段,79.26,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02200000
RPWNMLOJNHHGFBG38DA,凱旋一段,1359.81,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04160000
RPTNMLSKNHHGFAG58EA,義成六段,2.69,非都市：特定農業區 ; 非都市編定：甲種建築用地,36,1,持分移轉,11120000
RPTNMLSKNHHGFAG58EA,義成六段,8.81,非都市：特定農業區 ; 非都市編定：甲種建築用地,24,1,持分移轉,11120004
RPTNMLSKNHHGFAG58EA,義成六段,71.40,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,11120006
RPSNMLLKNHHGFBG77DA,玉石段,8.94,都市：其他:健康休閒專用區五,10000,63,持分移轉,02110000
RPQPMLLKNHHGFBG77DA,朝陽段,28.24,非都市：一般農業區 ; 非都市編定：甲種建築用地,10000,140,持分移轉,00730000
RPQNMLTKNHHGFAG28DA,雙賢一段,959.63,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02070000
RPSNMLTKNHHGFAG58EA,孝威段,35.82,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,4259,持分移轉,04410000
RPSNMLTKNHHGFAG58EA,孝威段,7.92,非都市：特定農業區 ; 非都市編定：農牧用地,24,1,持分移轉,04430000
RPSNMLTKNHHGFAG58EA,孝威段,.03,非都市：特定農業區 ; 非都市編定：甲種建築用地,400000,117,持分移轉,04860021
RPSNMLTKNHHGFAG58EA,孝威段,.24,非都市：特定農業區 ; 非都市編定：甲種建築用地,400000,117,持分移轉,04860022
RPSNMLTKNHHGFAG58EA,孝威段,.05,非都市：特定農業區 ; 非都市編定：甲種建築用地,400000,117,持分移轉,04860023
RPQPMLNKNHHGFAG87DA,碧候段,186.96,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07120000
RPTNMLMKNHHGFAG87DA,新健富段,12.30,非都市：特定農業區 ; 非都市編定：甲種建築用地,7,1,持分移轉,03790000
RPTNMLMKNHHGFAG87DA,新健富段,21.33,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03820000
RPTNMLMKNHHGFAG87DA,新健富段,98.90,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03830000
RPXNMLOJNHHGFBG48DA,艮門二段,1.39,都市：其他:住宅區,12,1,持分移轉,03920000
RPXNMLOJNHHGFBG48DA,艮門二段,27.87,都市：其他:住宅區,12,1,持分移轉,03930000
SPQPMLNKNHHGFAG97DA,碧候段,108.62,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03700000
RPWOMLRKNHHGFAG78DA,家福段,82.78,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02200003
RPVNMLQJNHHGFAG38DA,國華段,3.41,都市：其他:商業區,10000,32,持分移轉,04780000
RPQPMLRKNHHGFBG38DA,公園段,33.26,都市：其他:健康休閒專用區一,10000,158,持分移轉,01550000
RPTNMLTKNHHGFBG68DA,玉石段,12.84,都市：其他:住宅區,10000,112,持分移轉,12750003
RPROMLNLNHHGFBG08DA,保安段,82.20,非都市：鄉村區 ; 非都市編定：乙種建築用地,4,1,持分移轉,01230000
RPRNMLTKNHHGFBG48DA,玉石段,15.91,都市：其他:住宅區,10000,139,持分移轉,04090000
RPPNMLNLNHHGFBG87EA,艮門一段,18.73,都市：其他:公園用地,4,1,持分移轉,00130000
RPPNMLNLNHHGFBG87EA,艮門一段,86.55,都市：其他:公園用地,4,1,持分移轉,00140000
RPPNMLNLNHHGFBG87EA,艮門一段,196.07,都市：其他:公園用地,4,1,持分移轉,00150000
RPPNMLNLNHHGFAG77EA,丸山段,612.27,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,15330000
RPPNMLLLNHHGFBG57DA,新店段,30.15,都市：其他:住宅區,10000,85,持分移轉,02940000
RPSNMLNLNHHGFBG08DA,新生段,24.99,都市：其他:住宅區,10000,91,持分移轉,00620000
RPUNMLOLNHHGFBG38DA,協天段,14.72,都市：其他:住宅區,10000,181,持分移轉,08600000
RPTNMLTJNHHGFAG48DA,蘇市段,34.34,都市：其他:道路用地,1,1,全筆移轉,05000001
RPSNMLOLNHHGFAG08DA,永愛段,3.64,都市：其他:住宅區,144,80,持分移轉,02300000
RPVOMLNLNHHGFBG48DA,金六結三段,20.93,都市：其他:住宅區,100000,1618,持分移轉,00710000
RPXOMLNLNHHGFBG68DA,雙福段,29.93,都市：其他:住宅區,1000000,9441,持分移轉,09110000
RPXOMLOLNHHGFBG78DA,美城段,2278.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08230000
RPPOMLOLNHHGFBG97DA,延平段,61.00,都市：其他:農業區,1,1,全筆移轉,01920112
RPPPMLNLNHHGFBG97DA,五峰段,11.54,都市：其他:住宅區,10000,85,持分移轉,13340000
RPSPMLRKNHHGFBG58DA,梅洲段,460.00,非都市：特定農業區 ; 非都市編定：農牧用地,2094,460,持分移轉,06400000
RPPNMLNLNHHGFAG67DA,東光段,3.90,都市：其他:住宅區,10,1,持分移轉,05010000
RPPNMLNLNHHGFAG67DA,東光段,26.80,都市：其他:住宅區,10,1,持分移轉,05020000
RPTNMLPLNHHGFAG28DA,利成段,52.74,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,02840000
RPSPMLOLNHHGFAG28DA,蘇市段,4.19,都市：其他:道路用地,1,1,全筆移轉,05430001
RPPNMLOJNHHGFBG67DA,溫泉段,21.46,都市：其他:住宅區,10000,309,持分移轉,04710001
RPPNMLOJNHHGFBG67DA,溫泉段,1.42,都市：其他:住宅區,10000,309,持分移轉,04710031
RPSOMLOLNHHGFAG18DA,利福段,36.76,非都市：一般農業區 ; 非都市編定：農牧用地,4,1,持分移轉,07150000
RPSOMLOLNHHGFAG18DA,利福段,8.86,非都市：一般農業區 ; 非都市編定：農牧用地,4,1,持分移轉,07160000
RPQPMLOLNHHGFAG08DA,武淵二段,382.72,非都市：特定農業區 ; 非都市編定：甲種建築用地,8,1,持分移轉,10050000
RPRPMLOLNHHGFAG18DA,東安段,4.85,都市：其他:住宅區,10000,22,持分移轉,03610000
RPQNMLQLNHHGFAG08DA,破鐺坑二段,2502.31,非都市：森林區 ; 非都市編定：農牧用地,1,1,全筆移轉,00060005
RPQNMLOLNHHGFAG97EA,季新段,165.65,非都市：風景區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,00080018
RPQNMLOLNHHGFAG97EA,季新段,9.97,非都市：風景區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,00080019
RPPNMLOJNHHGFAG57DA,武淵二段,189.17,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01620000
RPSNMLTJNHHGFAG38DA,蘇港段,23.46,都市：其他:商業區,21090,235,持分移轉,05650000
RPSNMLTJNHHGFAG38DA,蘇港段,.02,都市：其他:人行廣場用地,21090,235,持分移轉,05650001
RPQOMLQLNHHGFAG18DA,群英段,56.65,都市：其他:保護區,2,1,持分移轉,01780000
RPVNMLNLNHHGFAG28DA,南昌段,.08,都市：其他:住宅區,10000,103,持分移轉,10250000
RPVNMLNLNHHGFAG28DA,南昌段,6.73,都市：其他:住宅區,10000,103,持分移轉,10260000
RPVNMLNLNHHGFAG28DA,南昌段,.46,都市：其他:住宅區,10000,103,持分移轉,10260001
RPVNMLNLNHHGFAG28DA,南昌段,38.48,都市：其他:住宅區,10000,103,持分移轉,10370000
RPVNMLNLNHHGFAG28DA,南昌段,1.95,都市：其他:住宅區,10000,103,持分移轉,10370002
RPSOMLOLNHHGFBG28DA,農權段,7.84,都市：其他:住宅區,100000,1385,持分移轉,07550000
RPSOMLOLNHHGFBG28DA,農權段,28.50,都市：其他:住宅區,100000,1385,持分移轉,07560000
RPSNMLQLNHHGFBG38DA,功勞段,1823.00,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,04190000
RPVNMLOLNHHGFBG48DA,協天段,8.72,都市：其他:住宅區,10000,95,持分移轉,07320000
RPSOMLQLNHHGFBG48DA,新生段,24.99,都市：其他:住宅區,10000,91,持分移轉,00620000
RPSPMLSKNHHGFBG68DA,過港段,27.78,都市：其他:住宅區,920000,10677,持分移轉,08790000
RPQNMLRLNHHGFBG28DA,新店段,12.48,都市：其他:商業區,10000,194,持分移轉,00350000
RPQNMLRLNHHGFBG28DA,新店段,1.30,都市：其他:道路用地,10000,194,持分移轉,00350004
RPQOMLNLNHHGFBG97DA,過港段,19.56,都市：其他:住宅區,10000,109,持分移轉,08770000
RPPOMLQLNHHGFAG18EA,義成六段,2.69,非都市：特定農業區 ; 非都市編定：甲種建築用地,36,1,持分移轉,11120000
RPPOMLQLNHHGFAG18EA,義成六段,8.81,非都市：特定農業區 ; 非都市編定：甲種建築用地,24,1,持分移轉,11120004
RPPOMLQLNHHGFAG18EA,義成六段,71.40,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,11120022
RPROMLRLNHHGFBG48DA,拔雅林三段,21.65,都市：其他:住宅區,8,1,持分移轉,08770000
RPUPMLLKNHHGFBG18DA,五峰段,15.28,都市：其他:住宅區,5,1,持分移轉,13590000
RPUPMLLKNHHGFBG18DA,五峰段,9.67,都市：其他:住宅區,158,2,持分移轉,13650000
RPVNMLKMNHHGFBG18DA,頂埔段,106.60,非都市：特定農業區 ; 非都市編定：甲種建築用地,9,1,持分移轉,00460000
