編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOOMLOJNHHGFCH87DA,24,33.30,住家用,鋼筋混凝土造,87年4月7日,十四層,九層 陽台
RPOOMLOJNHHGFCH87DA,24,.43,共同使用部份,鋼筋混凝土造,87年4月7日,十四層,
RPOOMLOJNHHGFCH87DA,24,10.59,共同使用部份,鋼筋混凝土造,87年4月7日,十四層,
RPOOMLOJNHHGFCH87DA,24,36.24,共同使用、停車空間,鋼筋混凝土造,87年4月7日,十四層,
RPOOMLOJNHHGFCH87DA,24,4.61,共同使用，停車空間,鋼筋混凝土造,87年4月7日,十四層,
RPPNMLRJOHHGFFH68EA,13,243.18,住家用,鋼筋混凝土造,98年5月6日,十九層,十六層 陽台 雨遮
RPPNMLRJOHHGFFH68EA,13,.12,集合住宅（附屬管理員室）,鋼筋混凝土造,98年5月6日,十九層,一層
RPPNMLRJOHHGFFH68EA,13,35.12,共同使用部份,鋼筋混凝土造,98年5月6日,十九層,
RPPNMLRJOHHGFFH68EA,13,47.02,共同使用部份,鋼筋混凝土造,98年5月6日,十九層,
RPPNMLRJOHHGFFH68EA,13,48.97,共同使用部份,鋼筋混凝土造,98年5月6日,十九層,
RPOQMLMJOHHGFBH87DA,16,20.00,住家用,鋼筋混凝土造,95年5月20日,十層,九層 陽台 雨遮
RPOQMLMJOHHGFBH87DA,16,2.54,共同使用部份,鋼筋混凝土造,95年5月20日,十層,
RPOQMLMJOHHGFBH87DA,16,6.52,共同使用部份,鋼筋混凝土造,95年5月20日,十層,
RPOQMLMJOHHGFBH87DA,16,2.59,共同使用部份,鋼筋混凝土造,95年5月20日,十層,
RPUQMLNJNHHGFEH78DA,28,10.53,共同使用部份,鋼筋混凝土造,83年9月6日,一層,
RPUQMLNJNHHGFEH78DA,28,110.72,住宅、停車場、儲藏室,鋼筋混凝土造,83年9月6日,四層,一層 二層 三層 四層 地下層 見其他登記事項
RPQNMLTJNHHGFAH28DA,18,82.48,住家用,鋼筋混凝土造,93年7月20日,十三層,十三層 陽台 雨遮
RPQNMLTJNHHGFAH28DA,18,.01,管理員室,鋼筋混凝土造,93年7月20日,十三層,一層
RPQNMLTJNHHGFAH28DA,18,9.32,共同使用部份,鋼筋混凝土造,93年7月20日,十三層,
RPQNMLTJNHHGFAH28DA,18,18.40,共同使用部份,鋼筋混凝土造,93年7月20日,十三層,
RPQNMLTJNHHGFAH28DA,18,27.60,共同使用部份,鋼筋混凝土造,93年7月20日,十三層,
RPWOMLQJNHHGFAH78EA,43,84.87,商業用,鋼筋混凝土造,68年8月24日,三層,一層 騎樓
RPTOMLLKNHHGFCH28EA,42,42.30,住家用,鋼筋混凝土造,68年12月28日,4,三層
RPTOMLLKNHHGFCH28EA,42,42.30,住家用,鋼筋混凝土造,68年12月28日,4,三層
RPUQMLTJNHHGFBH56EA,39,225.04,農舍,加強磚造,72年1月27日,二層,一層 二層 騎樓
RPSOMLTJNHHGFCH88EA,42,137.00,住家用,加強磚造,69年1月7日,二層,一層 二層 騎樓
RPXNMLOJNHHGFCH68DA,41,61.24,住家用,鋼筋混凝土造,69年11月19日,四層,三層
RPPOMLTJNHHGFGH88DA,16,20.14,住家用,鋼筋混凝土造,95年6月5日,四層,一層 陽台
RPPOMLTJNHHGFGH88DA,16,19.68,住家用,鋼筋混凝土造,95年6月5日,四層,一層
RPPOMLTJNHHGFGH88DA,16,14.00,共同使用部份,鋼筋混凝土造,95年6月5日,四層,
RPPOMLTJNHHGFGH88DA,16,13.79,共同使用部份,鋼筋混凝土造,95年6月5日,四層,
RPPPMLTJNHHGFBH48DA,26,15.64,住家用,鋼筋混凝土造,85年4月24日,七層,二層 陽台
RPPPMLTJNHHGFBH48DA,26,7.67,共同使用部份,鋼筋混凝土造,85年4月24日,七層,
RPWOMLLKNHHGFGH88DA,15,27.27,住家用,鋼筋混凝土造,96年10月25日,十三層,三層 雨遮
RPWOMLLKNHHGFGH88DA,15,9.56,共同使用部份,鋼筋混凝土造,96年10月25日,十三層,
RPWOMLLKNHHGFGH88DA,15,.45,共同使用部份,鋼筋混凝土造,96年10月25日,十三層,
RPWOMLLKNHHGFGH88DA,15,4.18,共同使用部份,鋼筋混凝土造,96年10月25日,十三層,
RPSSMLKKNHHGFAH18DA,19,85.27,住家用,鋼筋混凝土造,92年4月14日,十層,五層 陽台
RPSSMLKKNHHGFAH18DA,19,12.32,共同使用部份,鋼筋混凝土造,92年4月14日,十層,
RPUNMLMKNHHGFHH78DA,32,132.56,住家用,鋼筋混凝土造,79年8月2日,五層,三層 四層 陽台 花台
RPUNMLMKNHHGFHH78DA,32,1.90,共同使用部份,鋼筋混凝土造,79年8月2日,五層,
RPUNMLMKNHHGFHH78DA,32,14.01,共同使用部份,鋼筋混凝土造,79年8月2日,五層,
RPUNMLMKNHHGFHH78DA,31,33.97,停車空間,鋼筋混凝土造,79年11月28日,五層,地下層
RPSSMLKKNHHGFAH18DA,19,15.90,共同使用部份,鋼筋混凝土造,92年4月14日,十層,
RPRNMLKKNHHGFFH08DA,29,124.98,住家用,鋼筋混凝土造,82年7月10日,十二層,九層 陽台
RPRNMLKKNHHGFFH08DA,29,23.94,共同使用部份,鋼筋混凝土造,82年7月10日,十二層,
RPQSMLKKNHHGFAH97DA,24,54.78,住家用,鋼筋混凝土造,87年4月2日,二十四層,六層 陽台
RPQSMLKKNHHGFAH97DA,24,10.20,共同使用部份,鋼筋混凝土造,87年4月2日,二十四層,
RPQSMLKKNHHGFAH97DA,24,6.68,共同使用部份,鋼筋混凝土造,87年4月2日,二十四層,
RPOPMLPJNHHGFGH48DA,40,94.90,住家用,加強磚造,70年12月30日,二層,一層 二層 騎樓
RPSQMLKKNHHGFBH08DA,15,48.83,住家用,鋼筋混凝土造,96年1月25日,十四層,四層 陽台 雨遮
RPSQMLKKNHHGFBH08DA,15,18.65,共同使用部份,鋼筋混凝土造,96年1月25日,十五層,
RPUOMLMKNHHGFBH28DA,9,33.72,本共有部分之項目有：防空避難室、停車空間、樓梯間、車道、垃圾暫存區、風機、雨水機房、污水機房、水箱、公共服務空間、開放空間、門廳、台電配電室、水池過濾槽、電信設備室、發電機室及消防室等１７項。,鋼筋混凝土造,102年1月15日,十三層,
RPUNMLMKNHHGFDH38DA,19,95.89,住家用,鋼筋混凝土造,92年2月19日,十四層,五層 陽台
