編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLLLKHHGFDJ77CB,湖南段,24.99,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1739,持分移轉,05060000
RPWNMLPKKHHGFBJ58CB,縣福段,3.54,都市：商,100000,501,持分移轉,02500000
RPWNMLPKKHHGFBJ58CB,縣福段,1.57,都市：商,100000,501,持分移轉,02510000
RPWNMLPKKHHGFBJ58CB,縣福段,2.34,都市：商,100000,501,持分移轉,02520000
RPWNMLPKKHHGFBJ58CB,縣福段,1.50,都市：商,100000,501,持分移轉,02530000
RPSNMLPKKHHGFBJ18CB,文化段,21.99,都市：住,10000,79,持分移轉,12100000
RPWNMLPKKHHGFBJ58CB,縣福段,.88,都市：商,100000,501,持分移轉,02540000
RPSNMLPKKHHGFBJ18CB,社北段,.46,都市：住,10000,79,持分移轉,04320006
RPQNMLQKKHHGFDJ28CB,湖南段,26.84,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,121,持分移轉,16030006
RPQNMLLLKHHGFDJ87CB,坪頂段,22.69,都市：住,100000,750,持分移轉,10520000
RPPNMLQKKHHGFDJ18CB,明新段,29.04,都市：住,100000,831,持分移轉,07310000
RPPNMLPKKHHGFBJ87CB,文化段,20.60,都市：住,10000,74,持分移轉,12100000
RPPNMLPKKHHGFBJ87CB,社北段,.43,都市：住,10000,74,持分移轉,04320006
RPRNMLLLKHHGFDJ97CB,湖南段,24.99,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1739,持分移轉,05060000
RPQNMLTKKHHGFDJ58CB,湖南段,24.99,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1739,持分移轉,05060000
RPSNMLLLKHHGFDJ08CB,湖南段,24.99,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1739,持分移轉,05060000
RPRNMLMLKHHGFDJ08CB,湖南段,31.50,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,142,持分移轉,16030006
RPRNMLOLKHHGFBJ08CB,省道段,34.78,都市：住,10000,217,持分移轉,02240000
RPSNMLMLKHHGFBJ97CB,溝貝段,32.67,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,2677,持分移轉,11140000
RPPNMLOLKHHGFDJ08CB,湖南段,31.50,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,142,持分移轉,16030006
RPSNMLMLKHHGFCJ08CB,橫榮段,43.76,都市：住,100000,9470,持分移轉,00990000
RPSNMLOLKHHGFBJ18CB,省道段,21.00,都市：住,10000,131,持分移轉,02240000
RPRNMLOLKHHGFDJ28CB,綠園段,23.03,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,261,持分移轉,11040000
RPQNMLOLKHHGFDJ18CB,綠園段,23.03,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,261,持分移轉,11040000
RPPNMLPLKHHGFBJ97CB,縣華段,3.30,都市：住,100000,1059,持分移轉,02470010
RPPNMLPLKHHGFBJ97CB,府前段,31.44,都市：住,100000,1059,持分移轉,04350000
