編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSNMLPKKHHGFFK68CB,坡道平面,1450000,28.29,地下二樓
RPTNMLPKKHHGFFK78CB,坡道平面,1350000,28.29,地下三樓
RPRNMLPKKHHGFFK58CB,坡道平面,1350000,28.29,地下三樓
RPUNMLPKKHHGFFK88CB,坡道平面,1450000,28.29,地下二樓
RPWNMLPKKHHGFFK09CB,坡道平面,1350000,28.29,地下三樓
RPVNMLPKKHHGFFK98CB,坡道平面,1350000,28.29,地下三樓
RPQNMLPKKHHGFFK48CB,坡道平面,1250000,27.07,地下三樓
RPOOMLPKKHHGFFK38CB,坡道平面,1350000,28.29,地下三樓
RPXNMLPKKHHGFFK56CB,坡道平面,1550000,28.29,地下一樓
RPSNMLQKKHHGFBK38CB,坡道平面,0,22.09,地下一樓
RPQOMLPKKHHGFFK58CB,坡道平面,1350000,28.29,地下三樓
RPPOMLPKKHHGFFK48CB,坡道平面,1350000,28.29,地下三樓
RPTNMLSKKHHGFDK88CB,坡道平面,1450000,27.00,地下一樓
RPPNMLQKKHHGFBK08CB,坡道平面,0,22.09,地下一樓
RPUNMLSKKHHGFDK98CB,坡道平面,1500000,28.25,地下一樓
RPWNMLSKKHHGFDK56CB,坡道平面,1400000,27.00,地下二樓
RPVNMLSKKHHGFDK09CB,坡道平面,1450000,27.00,地下一樓
RPPNMLLLKHHGFBK67CB,坡道機械,300000,10.42,地下一樓
RPQNMLLLKHHGFBK77CB,坡道機械,300000,10.42,地下一樓
RPPNMLLLKHHGFFK08CB,一樓平面,970000,13.75,一樓
RPTNMLLLKHHGFFK48CB,一樓平面,915000,13.75,一樓
RPQNMLLLKHHGFFK18CB,一樓平面,991000,13.75,一樓
RPPOMLLLKHHGFFK18CB,一樓平面,989000,13.75,一樓
RPOOMLLLKHHGFFK08CB,一樓平面,915000,13.75,一樓
RPSNMLMLKHHGFFK48CB,一樓平面,952000,13.75,一樓
RPPNMLMLKHHGFFK18CB,一樓平面,975000,13.75,一樓
RPXNMLLLKHHGFFK88CB,一樓平面,977000,13.75,一樓
RPSNMLMLKHHGFDK28CB,一樓平面,900000,12.93,一樓
RPUNMLMLKHHGFDK48CB,坡道平面,1400000,27.00,地下二樓
RPQOMLLLKHHGFFK28CB,一樓平面,989000,13.75,一樓
RPROMLNLKHHGFFK58CB,坡道平面,1350000,28.29,地下三樓
RPTOMLNLKHHGFFK78CB,坡道平面,1350000,29.51,地下三樓
RPOOMLNLKHHGFFK28CB,坡道平面,1450000,28.29,地下二樓
RPVOMLNLKHHGFFK98CB,坡道平面,1350000,28.29,地下三樓
RPWNMLNLKHHGFFK98CB,一樓平面,953000,13.75,一樓
RPPOMLNLKHHGFFK38CB,坡道平面,1450000,28.29,地下二樓
RPSOMLNLKHHGFFK68CB,坡道平面,1350000,28.29,地下三樓
RPPPMLNLKHHGFFK48CB,坡道平面,1450000,28.29,地下二樓
RPUOMLNLKHHGFFK88CB,坡道平面,1350000,28.29,地下三樓
RPWOMLNLKHHGFFK09CB,坡道平面,1450000,28.29,地下二樓
RPTPMLNLKHHGFFK88CB,坡道平面,1350000,28.29,地下三樓
RPOPMLNLKHHGFFK38CB,坡道平面,1350000,28.29,地下三樓
RPQPMLNLKHHGFFK58CB,坡道平面,1350000,28.29,地下三樓
RPVPMLNLKHHGFFK09CB,坡道平面,1350000,28.29,地下三樓
RPWPMLNLKHHGFFK56CB,坡道平面,1550000,28.29,地下一樓
RPSPMLNLKHHGFFK78CB,坡道平面,1350000,28.29,地下三樓
RPRPMLNLKHHGFFK68CB,坡道平面,1350000,28.29,地下三樓
RPXPMLNLKHHGFFK66CB,坡道平面,1350000,28.29,地下三樓
RPUPMLNLKHHGFFK98CB,坡道平面,1250000,27.07,地下三樓
RPOQMLNLKHHGFFK48CB,坡道平面,1450000,29.51,地下二樓
RPRNMLPLKHHGFDK48CB,坡道平面,850000,28.94,地下二樓
RPSNMLPLKHHGFDK58CB,坡道平面,850000,28.94,地下二樓
RPPQMLNLKHHGFFK58CB,坡道平面,1350000,28.29,地下三樓
RPPNMLSLKHHGFFK78CB,坡道平面,1070000,29.47,地下一樓
RPVNMLPLKHHGFDK88CB,坡道平面,1450000,27.00,地下一樓
RPWNMLSLKHHGFFK86CB,坡道平面,770000,29.47,地下四樓
RPWNMLPLKHHGFDK98CB,坡道平面,1450000,28.25,地下二樓
RPVNMLLJLHHGFBK18CB,坡道機械,300000,10.42,地下一樓
