編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLPKQHHGFCK78DA,,138.87,住家用,加強磚造,,二層,一層 二層 騎樓
RPRNMLTJQHHGFFK86DA,24,106.95,住家用,鋼筋混凝土造,87年7月3日,五層,五層 陽台
RPRNMLTJQHHGFFK86DA,24,21.44,樓梯間，機械室，水箱,鋼筋混凝土造,87年7月3日,五層,
RPPNMLTKQHHGFEK66DA,26,108.33,住家用,鋼筋混凝土造,85年5月7日,五層,一層 二層 陽台 雨遮 夾層
RPPNMLTKQHHGFEK66DA,26,1.75,門廊,鋼筋混凝土造,85年5月7日,騎樓,
RPPNMLTKQHHGFEK66DA,26,11.66,梯間,鋼筋混凝土造,85年5月7日,五層,
RPPNMLTKQHHGFEK66DA,26,1.44,地下室,鋼筋混凝土造,85年5月7日,地下層,
RPQNMLTKQHHGFBK56EA,21,247.10,住家用,鋼筋混凝土造,91年1月8日,四層,一層 二層 三層 四層 陽台
RPWNMLMLQHHGFCK56DA,,101.45,住家用,加強磚造,,二層,一層 二層
RPRNMLQKQHHGFBK88DA,27,141.52,住家用,鋼筋混凝土造,84年2月15日,四層,三層 四層 陽台 屋頂突出物
RPRNMLQKQHHGFBK88DA,27,8.04,樓梯間,鋼筋混凝土造,84年2月15日,,
RPSNMLQKQHHGFFK76DA,41,11.68,樓梯,鋼筋混凝土造,70年12月18日,五層,
RPSNMLQKQHHGFFK76DA,41,81.13,住家用,鋼筋混凝土造,70年12月18日,五層,四層
RPQOMLNJQHHGFDK68DA,15,231.99,一般零售業、一般服務業、一般事務所、機電設備室,鋼筋混凝土造,96年11月20日,四層,一層 二層 三層 四層 陽台 平台 雨遮
RPQOMLNJQHHGFDK68DA,15,4.08,一般零售業、一般服務業、一般事務所、停車空間、機電設備室,鋼筋混凝土造,96年11月20日,二層,
RPUNMLMLQHHGFDK09DA,43,119.12,住家用,加強磚造,68年10月6日,二層,一層 二層 騎樓
RPUNMLTJQHHGFFK17DA,29,88.89,住家用,鋼筋混凝土造,82年6月17日,四層,二層 陽台
RPUNMLTJQHHGFFK17DA,29,8.24,樓梯間,鋼筋混凝土造,82年6月17日,四層,
RPRNMLMKQHHGFBK48DA,30,89.52,住家用,鋼筋混凝土造,81年9月30日,,九層 陽台
RPRNMLMKQHHGFBK48DA,30,8.69,停車位,鋼筋混凝土造,81年11月26日,,停車場
RPRNMLMKQHHGFBK48DA,30,26.05,公共設施,鋼筋混凝土造,81年11月26日,,
RPVNMLOJQHHGFBK98DA,2,84.97,住家用,鋼筋混凝土造,109年11月16日,五層,四層 陽台
RPVNMLOJQHHGFBK98DA,2,18.83,本共有部分之項目有停車空間（室內８輛）等一項。,鋼筋混凝土造,109年11月16日,五層,
RPVNMLOJQHHGFBK98DA,2,14.75,本共有部分之項目有樓梯間等一項。,鋼筋混凝土造,109年11月16日,五層,
RPVNMLMLQHHGFBK98DA,28,104.03,住家用,鋼筋混凝土造,83年6月22日,,七層 陽台
RPVNMLMLQHHGFBK98DA,28,19.07,防空室，停車場，水箱，機械室，梯間，變電室,鋼筋混凝土造,83年6月22日,,
RPPNMLKKQHHGFEK38DA,29,549.35,農業設施,鋼造,82年10月29日,一層,一層
RPOOMLOLQHHGFFK09EA,39,228.38,住家用,鋼筋混凝土造,72年3月10日,二層,一層 二層 陽台 騎樓
RPSNMLLKQHHGFBK48DA,39,204.74,住商用,鋼筋混凝土造,72年7月29日,二層,一層 二層 屋頂突出物 騎樓
RPTNMLNLQHHGFFK66DA,24,25.08,住家用,鋼筋混凝土造,87年12月2日,十層,七層 陽台
