編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWNMLLJQHHGFAT96DA,長治段,.11,都市：其他:住宅區,10000,161,持分移轉,00210006
RPWNMLLJQHHGFAT96DA,長治段,7.68,都市：其他:住宅區,10000,161,持分移轉,00300005
RPTNMLSJQHHGFBT47DA,泰和段,2500.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02180002
RPTNMLSJQHHGFBT47DA,泰和段,2500.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02180010
RPTNMLSJQHHGFBT47DA,泰和段,2500.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02180011
RPTNMLSJQHHGFBT47DA,泰和段,3028.31,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02180012
RPQNMLNLOHHGFAT56DA,豐田段,120.50,都市：其他:住宅區,4,1,持分移轉,03140000
RPVOMLMJQHHGFAT07DA,崙頂段,523.00,非都市：一般農業區 ; 非都市編定：水利用地,1,1,全筆移轉,03620000
RPSNMLTJQHHGFFT87DA,玉泉段,13372.06,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04000000
RPRNMLSJQHHGFAT17DA,建國段,74.00,都市：其他:住宅區,1,1,全筆移轉,12170000
RPQOMLPJQHHGFDT17DA,本漁段,9.73,都市：其他:住宅區,132,1,持分移轉,05880000
RPROMLPJQHHGFDT27DA,新和段,35.83,都市：其他:河道用地,1152,128,持分移轉,00170000
RPUNMLSJQHHGFBT57DA,泰和段,2500.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02180003
RPUNMLSJQHHGFBT57DA,泰和段,2500.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02180013
RPUNMLSJQHHGFBT57DA,泰和段,2500.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02180014
RPUNMLSJQHHGFBT57DA,泰和段,2979.14,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02180015
RPQNMLKKQHHGFAT09EA,北勢段,26.40,都市：其他:住宅區,10,1,持分移轉,07630005
RPTNMLLKQHHGFDT07DA,同安段,1341.18,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05270000
