編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLMLQHHGFAX27DA,24,122.46,住家用,鋼筋混凝土造,87年7月23日,十層,六層 見其他登記事項
RPSNMLMLQHHGFAX27DA,24,29.34,見其他登記事項,鋼筋混凝土造,87年7月23日,十層,
RPOOMLQKQHHGFAX27DA,21,519.64,住家用,鋼筋混凝土造,90年6月4日,三層,一層 二層 三層 見其他登記事項
RPVNMLQKQHHGFAX87DA,,70.74,住家用,加強磚造,60年0月0日,二層,一層 二層
RPWNMLMLQHHGFAX67DA,1,85.20,集合住宅,鋼筋混凝土造,110年10月22日,五層,四層 見其他登記事項
RPWNMLMLQHHGFAX67DA,1,46.07,共用部份,鋼筋混凝土造,110年10月22日,五層,
RPOOMLKMQHHGFAX86DA,25,171.86,住家用,鋼筋混凝土造,86年9月13日,三層,一層 二層 三層 見其他登記事項
RPPNMLTJQHHGFAX57EA,5,193.04,住家用,加強磚造,106年9月27日,二層,一層 二層 見其他登記事項 見其他登記事項
RPRNMLLMQHHGFAX27EA,53,65.60,住家用,鋼筋混凝土加強空心磚造,58年7月1日,二層,一層 二層
RPTNMLNJQHHGFAX27DA,2,209.83,住家用,鋼筋混凝土造,109年11月30日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPVNMLQJRHHGFAX87DA,,8.57,住家用,造,,一層,一層 見其他登記事項
RPVOMLLKPHHGFAX37DA,26,145.16,住商用,鋼筋混凝土造,85年3月8日,十層,一層 二層 三層 見其他登記事項
RPVOMLLKPHHGFAX37DA,26,24.31,停車場、梯間、機械房、蓄水池、電樓梯間、走道（１～１０樓）,鋼筋混凝土造,85年3月8日,十層,
RPVNMLKLPHHGFAX27DA,43,122.44,住家用,加強磚造,68年7月1日,一層,一層 見其他登記事項
RPPNMLKLPHHGFAX76EA,43,79.24,住商用,鋼筋混凝土造,68年12月18日,五層,一層 二層 三層 四層 五層 地下層
RPTNMLQLPHHGFAX77EA,38,.32,集合住宅,鋼筋混凝土造,73年6月29日,五層,一層
RPTNMLQLPHHGFAX77EA,38,87.34,集合住宅,鋼筋混凝土造,73年6月29日,五層,一層
RPUNMLSLPHHGFAX97DA,44,59.40,住家用,鋼筋混凝土加強磚造,67年12月10日,一層,一層
RPUNMLTLPHHGFAX08DA,18,217.62,住家用,鋼筋混凝土造,93年4月16日,三層,一層 二層 三層 電梯樓梯間 見其他登記事項
RPRNMLNJQHHGFAX07DA,,16.24,住家用,造,28年0月0日,一層,一層
RPSNMLSKPHHGFAX77EA,51,85.50,住家用,鋼筋加強造,60年3月24日,二層,一層 二層
RPPNMLOJQHHGFAX07EA,56,95.94,住家用,鋼筋加強造,55年8月20日,一層,一層
RPWNMLPJQHHGFAX77DA,7,242.78,住家用,鋼筋混凝土造,104年9月2日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPRNMLOKPHHGFAX17DA,41,94.00,住家用,鋼筋混凝土加強磚造,70年3月23日,二層,一層 二層 電梯樓梯間
RPPOMLKLPHHGFAX76DA,43,77.04,住家用,鋼筋混凝土加強磚造,68年4月23日,二層,一層 二層 電梯樓梯間
RPRNMLPKQHHGFAX47EA,42,92.65,住家用,鋼筋混凝土加強磚造,69年12月17日,一層,一層
RPRNMLMLQHHGFAX17DA,26,108.85,住家用,鋼筋混凝土造,85年8月28日,十二層,五層 見其他登記事項
RPRNMLMLQHHGFAX17DA,26,38.18,電樓梯間、避難室、停車場、門廳,鋼筋混凝土造,85年8月28日,十二層,
RPVNMLLKQHHGFAX37DA,4,33.83,旅館,鋼筋混凝土造,107年6月20日,九層,五層 見其他登記事項
RPVNMLLKQHHGFAX37DA,4,19.75,共用部份,鋼筋混凝土造,107年6月20日,九層,
RPVNMLNKPHHGFAX47DA,50,121.86,住商用,鋼筋混凝土加強空心磚造,61年6月30日,四層,一層 二層 三層 四層
RPOOMLNLQHHGFAX07DA,44,175.54,住家用,鋼筋混凝土加強磚造,67年2月15日,三層,一層 二層 三層 電梯樓梯間
RPVNMLNLQHHGFAX67DA,1,87.05,集合住宅,鋼筋混凝土造,110年10月22日,五層,四層 見其他登記事項
RPVNMLNLQHHGFAX67DA,1,48.03,共用部份,鋼筋混凝土造,110年10月22日,五層,
RPPNMLPKQHHGFAX27EA,,4.23,住家用,造,29年0月0日,一層,一層
RPXOMLLLQHHGFAX77DA,27,179.33,住家用,鋼筋混凝土造,84年10月9日,四層,一層 二層 三層 四層 見其他登記事項
RPVNMLMLQHHGFAX57DA,42,172.00,住商用,鋼筋混凝土加強磚造,69年4月24日,四層,一層 二層 三層 四層 地下層
RPVNMLMLQHHGFAX57DA,42,172.00,住商用,鋼筋混凝土加強磚造,69年4月24日,四層,一層 二層 三層 四層 地下層
RPOOMLPLPHHGFAX17DA,39,130.26,住家用,鋼筋混凝土加強磚造,72年3月30日,三層,一層 二層 三層
RPTNMLRKOHHGFAX57DA,47,115.00,住家用,鋼筋混凝土加強磚造,64年7月2日,二層,一層 二層
RPVNMLOLOHHGFAX57DA,24,189.61,住家用,鋼筋混凝土造,87年1月8日,三層,一層 二層 三層 電梯樓梯間 見其他登記事項
RPPNMLQLOHHGFAX17DA,16,114.38,集合住宅,鋼筋混凝土造,95年7月10日,十四層,五層 陽台
RPPNMLQLOHHGFAX17DA,16,72.35,共用部份,鋼筋混凝土造,95年7月10日,十四層,
RPQNMLSLOHHGFAX57EA,5,359.07,老人養護中心、消防水池,鋼筋混凝土造,106年11月16日,一層,一層 地下一層 見其他登記事項
RPVNMLTLOHHGFAX08DA,38,132.01,住家用,鋼筋混凝土造,73年6月21日,三層,一層 二層 三層
RPTNMLLJPHHGFAX07EA,47,16.13,住家用,鋼筋加強磚,63年12月14日,三層,一層 二層 三層
RPVNMLOJPHHGFAX47DA,26,102.65,住家用,鋼筋混凝土造,85年2月2日,八層,四層 陽台
RPVNMLOJPHHGFAX47DA,26,16.18,避難室、停車空間,鋼筋混凝土造,85年2月2日,八層,
RPVNMLOJPHHGFAX47DA,26,12.33,電氣室、台電受電室、電樓梯間,鋼筋混凝土造,85年2月2日,八層,
RPVNMLOJPHHGFAX47DA,26,1.39,門廊、門廳,鋼筋混凝土造,85年2月2日,八層,
RPPPMLOJPHHGFAX07DA,43,148.00,住商用,鋼筋混凝土造,68年1月23日,四層,一層 二層 三層 四層 地下層
RPSNMLQJPHHGFAX47EA,39,102.68,住家用,鋼筋混凝土造,72年1月18日,三層,一層 二層 三層
RPSNMLLKPHHGFAX07EA,29,107.40,住家用,鋼筋混凝土造,82年10月15日,六層,四層 見其他登記事項
RPSNMLLKPHHGFAX07EA,29,32.43,避難室,鋼筋混凝土造,82年10月15日,六層,
RPUOMLLKPHHGFAX27DA,4,101.59,集合住宅,鋼筋混凝土造,107年6月1日,五層,二層 見其他登記事項
RPUOMLLKPHHGFAX27DA,4,45.93,停車空間、管委會使用空間、梯廳兼樓梯間、樓梯間、機械室、水箱,鋼筋混凝土造,107年6月1日,五層,
RPPOMLMKPHHGFAX86DA,39,137.60,住家用,鋼筋混凝土加強磚造,72年1月3日,三層,一層 二層 三層
RPOOMLMKPHHGFAX76DA,45,129.00,住家用,鋼筋混凝土加強磚造,66年9月30日,三層,一層 二層 三層
RPQNMLKKPHHGFAX66DA,26,118.77,住家用,鋼筋混凝土造,85年2月15日,十層,五層 見其他登記事項
RPQNMLKKPHHGFAX66DA,26,15.30,住家用,鋼筋混凝土造,85年2月15日,十層,
RPQNMLKKPHHGFAX66DA,26,51.52,避難室、停車空間,鋼筋混凝土造,85年2月15日,十層,
RPRNMLQLPHHGFAX57EA,5,65.43,集合住宅,鋼筋混凝土造,106年3月28日,十層,五層 見其他登記事項
RPRNMLQLPHHGFAX57EA,5,25.71,共同使用,鋼筋混凝土造,106年3月28日,十層,
RPWNMLNJQHHGFAX57DA,2,51.12,集合住宅,鋼筋混凝土造,109年5月5日,五層,三層 見其他登記事項
RPWNMLNJQHHGFAX57DA,2,16.55,共用部份,鋼筋混凝土造,109年5月5日,五層,
RPWNMLQKQHHGFAX97DA,40,173.25,住商用,鋼筋混凝土造,71年7月14日,四層,一層 二層 三層 四層 地下層
RPUOMLLLQHHGFAX47DA,,234.90,住家用,鋼筋混凝土造,111年4月22日,三層,一層 二層 三層 見其他登記事項
RPXNMLMLQHHGFAX77DA,44,73.82,住家用,鋼筋加強紅磚,67年2月19日,二層,一層 二層 電梯樓梯間
RPPNMLMLQHHGFAX96DA,6,267.87,住家用,鋼筋混凝土造,105年3月29日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPOOMLMJOHHGFAX56DA,1,93.72,集合住宅,鋼筋混凝土造,110年10月22日,五層,二層 見其他登記事項
RPOOMLMJOHHGFAX56DA,1,46.07,共用部份,鋼筋混凝土造,110年10月22日,五層,
RPTNMLOKOHHGFAX27DA,,146.43,住家用,鋼筋混凝土造,110年12月8日,二層,一層 二層 見其他登記事項
RPVNMLOKOHHGFAX47DA,17,321.69,儲藏室，住宅,鋼筋混凝土造,94年3月30日,三層,一層 二層 三層 電梯樓梯間 地下層 見其他登記事項
RPVNMLPKOHHGFAX57DA,16,115.59,集合住宅,鋼筋混凝土造,95年7月10日,十四層,十三層 陽台
RPVNMLPKOHHGFAX57DA,16,73.24,共用部份,鋼筋混凝土造,95年7月10日,十四層,
RPWNMLOLNHHGFAX57DA,,51.35,住家用,鋼筋混凝土造,111年4月8日,五層,二層 見其他登記事項
RPWNMLOLNHHGFAX57DA,,18.33,共用部份,鋼筋混凝土造,111年4月8日,五層,
RPWNMLQJOHHGFAX67DA,1,53.90,集合住宅,鋼筋混凝土造,110年10月22日,五層,五層 見其他登記事項 見其他登記事項
RPWNMLQJOHHGFAX67DA,1,28.95,共用部份,鋼筋混凝土造,110年10月22日,五層,
RPUNMLOLNHHGFAX37DA,,52.54,住家用,鋼筋混凝土造,111年4月8日,五層,二層 見其他登記事項
RPUNMLOLNHHGFAX37DA,,18.33,共用部份,鋼筋混凝土造,111年4月8日,五層,
RPWNMLQKOHHGFAX77DA,41,143.26,住商用,鋼筋混凝土造,70年6月27日,四層,一層 二層 三層 四層 電梯樓梯間 地下層
RPQNMLTKOHHGFAX47DA,2,126.98,住家用,鋼骨構造,109年10月13日,一層,一層 見其他登記事項
RPSNMLQLNHHGFAX37DA,14,272.60,住家用,鋼筋混凝土造,97年5月9日,三層,一層 二層 三層 陽台
RPVNMLMLOHHGFAX37DA,5,255.13,住家用,鋼筋混凝土造,106年11月6日,三層,一層 二層 三層 見其他登記事項
RPTNMLSKNHHGFAX57DA,,230.55,住家用,鋼筋混凝土造,111年4月6日,三層,一層 二層 三層 見其他登記事項
RPQOMLKKOHHGFAX66DA,1,279.86,住家用,鋼筋混凝土造,110年11月16日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPOOMLOLNHHGFAX86DA,,51.35,住家用,鋼筋混凝土造,111年4月8日,五層,三層 見其他登記事項
RPOOMLOLNHHGFAX86DA,,18.33,共用部份,鋼筋混凝土造,111年4月8日,五層,
RPVNMLRLOHHGFAX87DA,36,91.77,住家用,鋼筋混凝土加強磚造,75年4月14日,二層,一層 二層
RPVNMLNLOHHGFAX47DA,,234.90,住家用,鋼筋混凝土造,111年4月22日,三層,一層 二層 三層 見其他登記事項
RPUNMLSKNHHGFAX67DA,,230.55,住家用,鋼筋混凝土造,111年4月6日,三層,一層 二層 三層 見其他登記事項
RPROMLKMOHHGFAX96DA,21,170.19,住家用,鋼筋混凝土造,90年8月21日,三層,一層 二層 三層 見其他登記事項
