編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSPMLSLIIHGFDC18DA,麥金段,1351.41,都市：其他:機關用地(供市府相關機關使用),1,1,全筆移轉,06220000
RPSPMLSLIIHGFDC18DA,麥金段,113.67,都市：其他:機關用地(供市府相關機關使用),1,1,全筆移轉,06230000
RPSPMLSLIIHGFDC18DA,麥金段,503.98,都市：其他:機關用地(供市府相關機關使用),1,1,全筆移轉,06250000
RPUPMLNJJIHGFDC77DA,日新段五小段,.17,都市：其他:商業區(商四),10000,1,持分移轉,00010000
RPOQMLOKJIHGFDC47DA,自強段,139.32,,10000,1432,持分移轉,09370000
RPTOMLSKJIHGFDC18DA,麥金段,31.54,都市：其他:住宅區(住二),10000,71,持分移轉,03920000
RPWNMLOJJIHGFDC87DA,南新段,77.00,都市：其他:住宅區(住一),1,1,全筆移轉,03870005
RPTOMLRJJIHGFDC97DA,代天府段,83.28,都市：其他:住宅區(住三),10000,222,持分移轉,03540000
RPOPMLQKJIHGFDC57DA,調和段,1.70,都市：其他:住宅區(住二),200000,10,持分移轉,14150000
RPTOMLSKJIHGFDC18DA,麥金段,.96,都市：其他:住宅區(住二),10000,71,持分移轉,03920001
RPTOMLRJJIHGFDC97DA,代天府段,.20,都市：其他:住宅區(住三),10000,222,持分移轉,03540001
RPOPMLQKJIHGFDC57DA,調和段,.00,都市：其他:住宅區(住二),200000,10,持分移轉,14150001
RPTOMLRJJIHGFDC97DA,代天府段,.14,都市：其他:保護區,10000,222,持分移轉,03540002
RPOPMLQKJIHGFDC57DA,調和段,.00,都市：其他:住宅區(住一),200000,10,持分移轉,14150002
RPTOMLRJJIHGFDC97DA,代天府段,.11,都市：其他:住宅區(住三),10000,222,持分移轉,03540003
RPTOMLRJJIHGFDC97DA,代天府段,.08,都市：其他:道路用地,10000,222,持分移轉,03540004
RPTOMLRJJIHGFDC97DA,代天府段,.02,都市：其他:道路用地,10000,222,持分移轉,03540005
RPTOMLRJJIHGFDC97DA,代天府段,.01,都市：其他:道路用地,10000,222,持分移轉,03540006
RPPNMLLLJIHGFDC17EA,觀音段,28.60,都市：其他:住宅區,577,30,持分移轉,02140000
RPPNMLLLJIHGFDC17EA,觀音段,1.40,都市：其他:道路用地,577,30,持分移轉,02140010
RPQOMLSJJIHGFDC77DA,武嶺段,6.67,都市：其他:住宅區(住一),10000,13,持分移轉,04830000
RPXNMLSJJIHGFDC38DA,麥金段,21.75,都市：其他:住宅區(住二),100000,199,持分移轉,07510000
RPXNMLSJJIHGFDC38DA,麥金段,.23,都市：其他:保護區,100000,199,持分移轉,07510001
RPUQMLLLJIHGFDC87DA,大華段,.25,都市：其他:住宅區(住三),8,1,持分移轉,20480000
RPUQMLLLJIHGFDC87DA,大華段,.12,都市：其他:住宅區(住三),8,1,持分移轉,20480001
RPUQMLLLJIHGFDC87DA,大華段,30.50,都市：其他:住宅區(住三),8,2,持分移轉,20490000
RPQNMLPJJIHGFDC37DA,情人湖段,25.26,都市：其他:住宅區(住二),100000,107,持分移轉,01350000
RPQNMLPJJIHGFDC37DA,情人湖段,.08,都市：其他:道路用地,100000,107,持分移轉,01350001
RPPOMLQKJIHGFDC57DA,新會段,15.80,都市：其他:住宅區(住二),10000,63,持分移轉,00980000
RPPOMLQKJIHGFDC57DA,新會段,1.64,都市：其他:道路用地,10000,63,持分移轉,00980001
RPPOMLQKJIHGFDC57DA,新會段,.71,都市：其他:鄰里公園用地,10000,63,持分移轉,00980002
RPPOMLQKJIHGFDC57DA,新會段,.01,都市：其他:住宅區(住二),10000,63,持分移轉,00980003
RPVNMLOLJIHGFDC97DA,武嶺段,35.19,都市：其他:住宅區(住二),10000,97,持分移轉,05790000
RPVNMLOLJIHGFDC97DA,武嶺段,5.19,都市：其他:道路用地,10000,97,持分移轉,05790001
RPVNMLOLJIHGFDC97DA,武嶺段,13.47,都市：其他:住宅區(住二),10000,97,持分移轉,05790002
RPSRMLNLJIHGFDC97DA,太平段,81.00,都市：其他:住宅區,1,1,全筆移轉,02550000
