編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPXNMLPKQHHGFKD96CB,坡道平面,1650000,33.72,地下一樓
RPPNMLRKQHHGFBD08CB,坡道平面,1600000,40.81,地下三樓
RPPNMLQKQHHGFHD58CB,坡道平面,1450000,29.32,地下三樓
RPRNMLSKQHHGFID09CB,一樓平面,1400000,15.00,一樓
RPXNMLSKQHHGFFD86DB,坡道平面,1300000,29.75,地下二樓
RPPNMLQKQHHGFID68CB,一樓平面,1500000,15.00,一樓
RPUNMLRKQHHGFHD56CB,坡道平面,1350000,29.32,地下三樓
RPPNMLTKQHHGFID98CB,坡道平面,1600000,27.54,地下二樓
RPPNMLTKQHHGFID98CB,坡道平面,1550000,25.34,地下二樓
RPQNMLTKQHHGFID09CB,坡道平面,1750000,27.54,地下一樓
RPQNMLKLQHHGFAD47CB,坡道平面,1580000,17.01,地下三樓
RPQNMLKLQHHGFAD47CB,坡道平面,1580000,17.01,地下三樓
RPPNMLKLQHHGFAD37CB,坡道平面,1640000,17.01,地下三樓
RPTNMLNLQHHGFHD78CB,坡道平面,1500000,29.49,地下一樓
RPPNMLLLQHHGFBD57CB,坡道平面,1450000,21.35,地下二樓
RPPNMLLLQHHGFFD97CB,一樓平面,950000,13.75,一樓
RPPNMLNLQHHGFAD67CB,坡道平面,1550000,35.33,地下二樓
RPRNMLOLQHHGFHD68CB,坡道平面,1200000,37.42,地下四樓
RPPNMLOLQHHGFHD48CB,坡道平面,1450000,37.42,地下二樓
RPRNMLOLQHHGFID78CB,坡道平面,1500000,31.73,地下一樓
RPQNMLNLQHHGFID58CB,一樓平面,1600000,15.00,一樓
RPQNMLOLQHHGFBD97CB,坡道平面,1250000,32.94,地下五樓含以下
RPRNMLOLQHHGFBD08CB,坡道平面,1150000,32.94,地下五樓含以下
RPPNMLOLQHHGFBD87CB,坡道平面,1150000,30.32,地下五樓含以下
RPSOMLOLQHHGFBD28CB,坡道平面,1450000,22.04,地下二樓
RPXOMLOLQHHGFBD78CB,坡道平面,920000,29.99,地下一樓
RPRPMLOLQHHGFBD28CB,坡道平面,1500000,29.82,地下一樓
RPUOMLOLQHHGFBD48CB,坡道平面,860000,29.99,地下二樓
RPPNMLPLQHHGFAD87CB,坡道平面,1450000,16.00,地下二樓
RPPNMLPLQHHGFBD97CB,坡道平面,1500000,22.60,地下三樓
RPSPMLOLQHHGFBD38CB,坡道機械,1050000,32.55,地下四樓
RPPNMLPLQHHGFID68CB,坡道平面,1500000,25.78,地下二樓
RPQPMLOLQHHGFBD18CB,坡道平面,1300000,29.82,地下三樓
RPQNMLQLQHHGFJD09DB,一樓平面,850000,21.95,一樓
RPPNMLQLQHHGFJD98DB,一樓平面,800000,21.95,一樓
RPPNMLPLQHHGFFD48DB,坡道平面,1400000,29.75,地下一樓
RPPNMLPLQHHGFFD48DB,坡道平面,1400000,29.75,地下一樓
RPQNMLPLQHHGFCD28DB,坡道平面,1450000,33.07,地下一樓
RPRNMLPLQHHGFCD38DB,坡道平面,1150000,33.07,地下二樓
RPSNMLQLQHHGFJD66DB,一樓平面,900000,21.95,一樓
RPPNMLQLQHHGFDD28CB,坡道平面,1300000,26.45,地下一樓
RPPNMLSLQHHGFBD28CB,坡道平面,1400000,28.07,地下二樓
RPRNMLSLQHHGFHD09CB,坡道平面,1400000,19.84,地下二樓
RPQNMLTLQHHGFHD09CB,坡道機械,800000,9.24,一樓
RPSNMLSLQHHGFHD56CB,坡道平面,1400000,18.19,地下二樓
RPPNMLTLQHHGFID09CB,坡道平面,1450000,26.19,地下二樓
RPUNMLTLQHHGFHD86CB,坡道平面,1550000,29.32,地下二樓
RPRNMLTLQHHGFID66CB,坡道平面,1450000,26.19,地下二樓
RPRNMLTLQHHGFID66CB,坡道平面,1450000,26.19,地下二樓
RPQNMLTLQHHGFID56CB,坡道平面,1550000,26.19,地下一樓
RPSNMLTLQHHGFID76CB,坡道平面,1450000,26.19,地下二樓
RPTNMLTLQHHGFID86CB,坡道平面,1450000,26.19,地下二樓
