編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLLKQHHGFBF87CB,信華段五小段,11.65,都市：住,1000000,9662,持分移轉,00330000
RPQNMLPKQHHGFHF78CB,華中段,52.58,都市：住,100000,1255,持分移轉,00130000
RPPNMLNKQHHGFEF18CB,新市段,16.76,都市：住,10000,119,持分移轉,01820000
RPQNMLNKQHHGFEF28CB,海天段,14.80,都市：住,100000,466,持分移轉,03590000
RPQNMLNKQHHGFEF28CB,海天段,5.40,都市：住,100000,466,持分移轉,03590006
RPRNMLPKQHHGFHF88CB,華中段,52.58,都市：住,100000,1255,持分移轉,00130000
RPPNMLPKQHHGFHF68CB,華中段,56.19,都市：住,100000,1341,持分移轉,00130000
RPQOMLPKQHHGFBF28CB,力行段,7.29,都市：商,10000,40,持分移轉,01450000
RPQOMLPKQHHGFBF28CB,力行段,1.59,都市：商,10000,40,持分移轉,01470000
RPTNMLPKQHHGFHF09CB,華中段,29.33,都市：住,100000,700,持分移轉,00130000
RPUNMLPKQHHGFHF56CB,華中段,29.04,都市：住,100000,693,持分移轉,00130000
RPROMLPKQHHGFBF38CB,力行段,7.29,都市：商,10000,40,持分移轉,01450000
RPROMLPKQHHGFBF38CB,力行段,1.59,都市：商,10000,40,持分移轉,01470000
RPSOMLPKQHHGFBF48CB,力行段,7.83,都市：商,10000,43,持分移轉,01450000
RPSOMLPKQHHGFBF48CB,力行段,1.71,都市：商,10000,43,持分移轉,01470000
RPRPMLPKQHHGFBF48CB,新知段,29.23,都市：商,100000,537,持分移轉,00720000
RPWOMLPKQHHGFBF88CB,副都心段一小段,2.20,都市：商,100000,354,持分移轉,00200001
RPWOMLPKQHHGFBF88CB,副都心段一小段,7.10,都市：商,100000,354,持分移轉,00210000
RPWOMLPKQHHGFBF88CB,副都心段一小段,4.09,都市：商,100000,354,持分移轉,00220000
RPXOMLPKQHHGFBF98CB,副都心段一小段,2.20,都市：商,100000,354,持分移轉,00200001
