編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLRJJIHGFGN56DA,芳信段,9590.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03080000
RPTSMLSLIIHGFAN76DA,新縣庄段,2307.84,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,04700001
RPRNMLLKJIHGFHN78EA,光明段,12.60,非都市：特定農業區 ; 非都市編定：甲種建築用地,22248,309,持分移轉,22140000
RPRNMLLKJIHGFHN78EA,光明段,37.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,22140009
RPPNMLLKJIHGFCN97DA,龍山段,39.26,都市：其他:第二種保存區,1,1,全筆移轉,01060000
RPPNMLLKJIHGFCN97DA,龍山段,98.98,都市：其他:第二種保存區,1,1,全筆移轉,01340000
RPUNMLPKJIHGFGN66DA,儒興段,6.37,都市：其他:住宅區,1000,18,持分移轉,03610000
RPUNMLOJJIHGFGN09DA,五庄段,111.83,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04230000
RPUNMLSJJIHGFCN09DA,鹿福段,.63,都市：其他:住宅區,1,1,全筆移轉,12840002
RPQNMLQJKIHGFCN58DA,崙海段,11116.72,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00870000
RPQNMLQJKIHGFCN58DA,崙海段,18968.50,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00880000
RPQNMLQJKIHGFCN58DA,崙海段,17360.60,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00890001
RPQNMLQJKIHGFCN58DA,崙海段,7302.71,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00900001
RPQNMLQJKIHGFCN58DA,崙海段,111.57,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00910001
RPQNMLQJKIHGFCN58DA,崙海段,2594.46,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00950001
RPQNMLQJKIHGFCN58DA,崙海段,10063.81,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00960001
RPQNMLQJKIHGFCN58DA,崙海段,17084.64,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00970001
RPQNMLQJKIHGFCN58DA,崙海段,17519.50,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00980000
RPQNMLQJKIHGFCN58DA,崙海段,17374.50,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00990000
RPQNMLQJKIHGFCN58DA,崙海段,17229.50,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,01000000
RPQNMLQJKIHGFCN58DA,崙海段,17084.50,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,01010000
RPQNMLQJKIHGFCN58DA,崙海段,16939.50,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,01020000
RPQNMLQJKIHGFCN58DA,崙海段,16794.50,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,01030000
RPQNMLQJKIHGFCN58DA,崙海段,16649.50,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,01040000
RPQNMLQJKIHGFCN58DA,崙海段,16504.50,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,01050000
RPQNMLQJKIHGFCN58DA,崙海段,16360.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,01060000
RPQNMLQJKIHGFCN58DA,崙海段,13998.57,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,01070001
RPQNMLQJKIHGFCN58DA,崙海段,9562.98,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,01080001
RPQNMLQJKIHGFCN58DA,崙海段,8416.09,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,01090001
RPQNMLQJKIHGFCN58DA,崙海段,6716.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,01100001
RPQNMLQJKIHGFCN58DA,崙海段,2848.71,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,01110001
RPQNMLQJKIHGFCN58DA,崙海段,.35,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,01120001
RPQNMLQJKIHGFCN58DA,崙海段,732.27,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,01130000
RPQNMLQJKIHGFCN58DA,崙海段,7303.47,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,01140001
RPQNMLQJKIHGFCN58DA,崙海段,16171.97,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,01150001
RPQNMLQJKIHGFCN58DA,崙海段,20000.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,01160000
