編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVOMLPKQHHGFAO07CC,復中段,.00,都市：住,,,,08300001
RPSOMLMKQHHGFAO09CC,中山段二小段,132.00,都市：商,,,,00020023
RPVNMLMKQHHGFAO66CC,西門段三小段,.00,都市：商,,,,00180000
RPUOMLPKQHHGFAO96CC,民富段,.00,都市：商,,,,09390000
RPOPMLPKQHHGFAO09CC,東山段二小段,.00,都市：其他:第一種住宅區、道路用地,,,,09720000
RPXOMLPKQHHGFAO27CC,武陵段,.00,都市：住,,,,05190000
RPPPMLPKQHHGFAO56CC,東明段,.00,都市：其他:第一種住宅區、道路用地,,,,00490000
RPTPMLPKQHHGFAO96CC,武陵段,.00,都市：住,,,,03090000
RPXNMLQKQHHGFAO27CC,崙子段,.00,都市：住,,,,01300000
RPTOMLQKQHHGFAO96CC,民主段,.00,都市：商,,,,16280000
RPVPMLPKQHHGFAO17CC,崙子段,.00,都市：住,,,,26230000
RPWPMLMLQHHGFAO07CC,三姓段,.00,都市：商,,,,05210000
RPUPMLQKQHHGFAO17CC,金山段,554.14,都市：住,,,,09570000
RPVPMLQKQHHGFAO27CC,高翠段,68.65,都市：住,,,,04260000
RPVPMLQKQHHGFAO27CC,高翠段,68.06,都市：住,,,,04270000
RPVPMLQKQHHGFAO27CC,高翠段,69.64,都市：住,,,,04280000
RPVPMLQKQHHGFAO27CC,高翠段,.61,都市：其他:道路用地,,,,04280002
RPVPMLMLQHHGFAO96CC,民主段一小段,.00,都市：商,,,,00270002
RPUOMLSKQHHGFAO27CC,中雅段,.00,都市：商,,,,02140000
RPUOMLSKQHHGFAO27CC,崙子段,.00,都市：商,,,,20600000
RPQQMLMLQHHGFAO56CC,東山段一小段,.00,都市：住,,,,09060000
RPTOMLNLQHHGFAO76CC,國道段,.00,都市：商,,,,10250000
RPRQMLMLQHHGFAO66CC,光華段,.00,都市：住,,,,01870000
