編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLSKQHHGFAP86DB,大崙段茄苳腳小段,89.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00860046
RPPNMLQKQHHGFAP09CB,大崙段茄苳腳小段,21.96,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,3368,持分移轉,00860025
RPPNMLMLQHHGFFP66CB,山寮段,91.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,09240001
RPPNMLMLQHHGFFP66CB,山寮段,30.33,非都市：鄉村區 ; 非都市編定：乙種建築用地,6,1,持分移轉,09240000
RPQNMLOKQHHGFAP98CB,雲林溪段,14.50,都市：商,202785,1450,持分移轉,01590000
RPXNMLPKQHHGFAP17CB,大崙段茄苳腳小段,21.96,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,3368,持分移轉,00860025
RPQNMLMLQHHGFFP76CB,山寮段,82.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,09240004
RPQNMLMLQHHGFFP76CB,山寮段,30.33,非都市：鄉村區 ; 非都市編定：乙種建築用地,6,1,持分移轉,09240000
RPPNMLNLQHHGFFP76CB,山寮段,80.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,09240003
RPPNMLNLQHHGFFP76CB,山寮段,30.33,非都市：鄉村區 ; 非都市編定：乙種建築用地,6,1,持分移轉,09240000
RPQNMLQKQHHGFAP56CB,大崙段茄苳腳小段,24.68,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,3785,持分移轉,00860025
RPQNMLMLQHHGFAP88CB,大崙段茄苳腳小段,21.96,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,3368,持分移轉,00860025
RPQNMLOLQHHGFCP66CB,漢光段,99.99,都市：住,1,1,全筆移轉,00770007
RPRNMLPLQHHGFCP86CB,新油車段,153.04,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08110028
RPRNMLPLQHHGFCP86CB,新油車段,39.43,非都市：鄉村區 ; 非都市編定：乙種建築用地,18,1,持分移轉,08110029
RPPNMLOLQHHGFFP86CB,山寮段,85.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,09240005
RPPNMLOLQHHGFFP86CB,山寮段,30.33,非都市：鄉村區 ; 非都市編定：乙種建築用地,6,1,持分移轉,09240000
RPQNMLOLQHHGFFP96CB,山寮段,89.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,09240006
RPQNMLOLQHHGFFP96CB,山寮段,30.33,非都市：鄉村區 ; 非都市編定：乙種建築用地,6,1,持分移轉,09240000
RPPNMLOLQHHGFAP09DB,高林北段,98.80,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05580009
RPPNMLOLQHHGFAP09DB,高林北段,25.42,非都市：鄉村區 ; 非都市編定：乙種建築用地,50,1,持分移轉,05580050
RPPNMLMLQHHGFCP98CB,永定段,97.49,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,11120012
RPPNMLOLQHHGFAP09DB,高林北段,.91,非都市：鄉村區 ; 非都市編定：乙種建築用地,50,1,持分移轉,05580051
RPPNMLOLQHHGFAP09DB,高林北段,11.65,非都市：一般農業區 ; 非都市編定：農牧用地,50,1,持分移轉,05640000
RPPNMLOLQHHGFCP56CB,新田尾段,75.14,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04740014
RPPNMLOLQHHGFCP56CB,新田尾段,22.51,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04740016
