編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSOMLPKJIHGFBG08CC,金六結二段,.00,都市：住,,,,10400000
RPROMLPKJIHGFBG97CC,大東段,.00,都市：商,,,,02310000
RPQOMLLKJIHGFBG47CC,外員段,.00,都市：住,,,,03750001
RPTOMLLKJIHGFBG77CC,嵐峰段,.00,都市：住,,,,02720000
RPSOMLLKJIHGFBG67CC,五峰段,.00,都市：住,,,,01720000
RPOPMLPKJIHGFBG77CC,美城段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,02510043
RPWOMLRKJIHGFBG68CC,白雲段,.00,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,01790000
RPXNMLSKJIHGFBG78CC,金六結五段,.00,都市：住,,,,00460000
RPRNMLQKJIHGFAG87CC,東安段,.00,都市：住,,,,04770010
RPSNMLQKJIHGFAG97CC,新群一段,389.74,非都市：特定農業區 ; 非都市編定：農牧用地,,,,15770000
RPUNMLQKJIHGFAG18CC,五結段,.00,都市：住,,,,10280000
RPPPMLPKJIHGFAG77CC,中央段,.00,都市：住,,,,02650000
RPUNMLQKJIHGFAG18CC,東安段,.00,都市：住,,,,03520001
RPPPMLPKJIHGFAG77CC,中央段,.00,都市：住,,,,02660000
RPPPMLPKJIHGFAG77CC,中央段,.00,都市：住,,,,02670000
RPXNMLPKJIHGFAG38CC,信義段,.00,都市：商,,,,06490000
RPXNMLPKJIHGFAG38CC,信義段,.00,都市：商,,,,06570000
RPWNMLPKJIHGFAG28CC,南昌段,.00,都市：住,,,,11060008
RPWNMLPKJIHGFAG28CC,南昌段,.00,都市：住,,,,11060009
RPRQMLLLJIHGFAG77CC,季新段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,05390000
RPVOMLLLJIHGFAG97CC,利福段,196.49,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,12520000
RPVPMLLLJIHGFAG08CC,竹林一段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,07970000
RPOOMLQKJIHGFAG67CC,東榮一段,.00,都市：商,,,,01530000
