編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPXNMLLKJIHGFAH08CC,寶山段,.00,都市：住,,,,08360000
RPWNMLLKJIHGFAH97CC,新埔段,.00,都市：住,,,,01940000
RPRNMLLKJIHGFAH47CC,中埔段,.00,都市：住,,,,04910000
RPTNMLLKJIHGFAH67CC,大樹林段,.00,都市：住,,,,03790000
RPOOMLLKJIHGFAH27CC,慈文段,.00,都市：住,,,,18440000
RPROMLLKJIHGFAH57CC,江南段,.00,都市：住,,,,07600000
RPUPMLLKJIHGFBH08CC,三座屋段舊社小段,.00,都市：住,,,,01130004
RPVOMLLKJIHGFAH97CC,大興段,.00,都市：住,,,,01750000
RPWOMLLKJIHGFAH08CC,雲林段,.00,都市：商,,,,01660000
RPTWMLLKJIHGFBH68CC,後興段,.00,都市：住,,,,03260001
RPVVMLLKJIHGFBH78CC,環東段,.00,都市：住,,,,07680000
RPSONLLKJIHGFBH87CC,普義段,.00,都市：住,,,,04350000
RPTNNLLKJIHGFBH87CC,普仁段,.00,都市：其他:市場用地,,,,10240000
RPVSMLLKJIHGFBH48CC,興南段興南小段,.00,都市：商,,,,01930044
RPOWMLLKJIHGFBH18CC,草富段,.00,都市：住,,,,04830000
RPWONLLKJIHGFBH28CC,普義段,.00,都市：住,,,,17340000
RPPPNLLKJIHGFBH67CC,青昇段,.00,都市：住,,,,04020000
RPWPNLLKJIHGFBH38CC,遠東段,.00,都市：住,,,,00020003
RPQQNLLKJIHGFBH87CC,石頭段,.00,都市：商,,,,00310012
RPWNMLLKJIHGFCH18CC,田心子段下田心子小段,.00,都市：住,,,,09550000
RPPRNLLKJIHGFBH87CC,自立段,.00,都市：住,,,,17250000
RPSNMLLKJIHGFFH08CC,瑞豐段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,01480000
RPXNMLLKJIHGFCH28CC,湖底段,.00,都市：住,,,,00180000
RPTNMLLKJIHGFFH18CC,瑞豐段,.00,非都市：鄉村區 ; 非都市編定：交通用地,,,,09920000
RPTNMLLKJIHGFFH18CC,瑞豐段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,09930000
RPSNMLLKJIHGFEH97CC,大新段,.00,都市：住,,,,06100000
RPTRNLLKJIHGFBH28CC,青平段,.00,都市：商,,,,04050000
RPUNMLLKJIHGFFH28CC,大和段,.00,都市：住,,,,02550000
RPSOMLLKJIHGFGH28CC,鎮東段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,06380000
RPVOMLLKJIHGFGH58CC,新榮段,.00,都市：住,,,,02970000
RPTOMLLKJIHGFHH48CC,樂捷段,13.49,都市：住,,,,01050002
RPUOMLLKJIHGFGH48CC,東陵段,.00,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,04890000
RPQOMLLKJIHGFHH18CC,文化段,38.03,都市：住,,,,01480000
RPVNMLLKJIHGFAH97DC,中路三段,33.16,都市：住,,,,16900000
RPUNMLLKJIHGFEH28DC,五塊厝段大埔小段,392.00,非都市：一般農業區 ; 非都市編定：農牧用地,,,,05520003
RPWNMLLKJIHGFHH68CC,善捷段,.00,都市：住,,,,00010000
RPWWMLLKJIHGFBH09DC,青溪段,108.71,都市：住,,,,02500000
RPWWMLLKJIHGFBH09DC,青溪段,96.15,都市：住,,,,02500001
RPWWMLLKJIHGFBH09DC,青溪段,96.14,都市：住,,,,02500002
