編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLPLJIHGFAM48CB,新廍段,163.38,都市：住,121441,16338,持分移轉,00600000
RPSNMLPLJIHGFAM48CB,新廍段,32.92,都市：住,20765,3292,持分移轉,00600001
RPPNMLSLJIHGFBM58CB,加老段,25.60,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,320,持分移轉,05790001
RPPNMLSLJIHGFBM58CB,加老段,5.51,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,320,持分移轉,05790002
RPPNMLMLJIHGFDM18CB,東興段,6.62,都市：住,1,1,全筆移轉,03610004
RPPNMLMLJIHGFDM18CB,東興段,83.64,都市：住,1,1,全筆移轉,03650006
RPPNMLMLJIHGFAM87CB,新廍段,21.33,都市：住,100000,358,持分移轉,06870000
RPQNMLTLJIHGFAM68CB,包尾段,42.77,都市：住,112800,4277,持分移轉,05490000
RPRNMLTLJIHGFAM78CB,包尾段,54.21,都市：住,112800,5421,持分移轉,05490000
RPPNMLRJKIHGFAM28CB,包尾段,44.50,都市：住,112800,4450,持分移轉,05490000
RPPNMLTLJIHGFBM78DB,保安段,19.65,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1700,持分移轉,06660000
RPPNMLKMJIHGFAM87DB,三塊厝段,32.62,都市：住,100000,1246,持分移轉,00660000
RPPNMLKMJIHGFAM87DB,三塊厝段,4.25,都市：住,100000,1246,持分移轉,00660005
RPPNMLPJKIHGFCM38DB,南光段,26.16,都市：住,100000,4339,持分移轉,05740000
RPQNMLRJKIHGFAM38CB,牛運堀段,10.38,都市：住,100000,758,持分移轉,02760000
RPQNMLRJKIHGFAM38CB,牛運堀段,1.30,都市：住,100000,758,持分移轉,02760007
RPQNMLRJKIHGFAM38CB,牛運堀段,3.21,都市：住,100000,758,持分移轉,02760008
RPQNMLRJKIHGFAM38CB,牛運堀段,5.60,都市：住,100000,758,持分移轉,02760009
RPQNMLRJKIHGFAM38CB,牛運堀段,.03,都市：住,100000,758,持分移轉,02770017
RPQNMLRJKIHGFAM38CB,牛運堀段,6.10,都市：住,100000,758,持分移轉,02790000
RPRNMLRJKIHGFAM48CB,牛運堀段,12.59,都市：住,100000,920,持分移轉,02760000
RPRNMLRJKIHGFAM48CB,牛運堀段,1.58,都市：住,100000,920,持分移轉,02760007
RPRNMLRJKIHGFAM48CB,牛運堀段,3.89,都市：住,100000,920,持分移轉,02760008
RPRNMLRJKIHGFAM48CB,牛運堀段,6.80,都市：住,100000,920,持分移轉,02760009
RPRNMLRJKIHGFAM48CB,牛運堀段,.04,都市：住,100000,920,持分移轉,02770017
RPRNMLRJKIHGFAM48CB,牛運堀段,7.41,都市：住,100000,920,持分移轉,02790000
RPPNMLSJKIHGFAM48DB,小崎段,68.86,都市：住,1,1,全筆移轉,03650019
RPPNMLSJKIHGFAM48DB,小崎段,13.52,都市：住,20,1,持分移轉,03650000
RPPNMLSJKIHGFAM48DB,小崎段,.44,都市：住,20,1,持分移轉,03650029
RPSNMLRJKIHGFAM58CB,牛運堀段,15.13,都市：住,100000,1105,持分移轉,02760000
RPSNMLRJKIHGFAM58CB,牛運堀段,1.90,都市：住,100000,1105,持分移轉,02760007
RPSNMLRJKIHGFAM58CB,牛運堀段,4.67,都市：住,100000,1105,持分移轉,02760008
RPSNMLRJKIHGFAM58CB,牛運堀段,8.17,都市：住,100000,1105,持分移轉,02760009
RPSNMLRJKIHGFAM58CB,牛運堀段,.04,都市：住,100000,1105,持分移轉,02770017
RPSNMLRJKIHGFAM58CB,牛運堀段,8.90,都市：住,100000,1105,持分移轉,02790000
RPPNMLSJKIHGFCM68DB,和平段,24.15,都市：商,100000,1470,持分移轉,02670000
RPPNMLPKKIHGFAM18CB,新廍段,21.33,都市：住,100000,358,持分移轉,06870000
RPPNMLTKKIHGFCM88DB,育英段,33.35,都市：住,100000,5248,持分移轉,01590000
RPPNMLQKKIHGFDM58CB,東興段,88.09,都市：住,1,1,全筆移轉,03650005
RPPNMLQKKIHGFDM58CB,東興段,4.16,都市：住,1,1,全筆移轉,03610003
RPPNMLKLKIHGFAM77CB,福興段,29.72,都市：住,100000,988,持分移轉,06450000
RPPNMLKLKIHGFAM77CB,福興段,.01,都市：住,100000,988,持分移轉,06560000
RPPNMLKLKIHGFAM77CB,福興段,.26,都市：住,100000,988,持分移轉,06580000
RPQNMLTKKIHGFCM98DB,育英段,22.13,都市：住,100000,3482,持分移轉,01590000
RPRNMLLLKIHGFBM28DB,保安段,17.34,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1500,持分移轉,06660000
RPPNMLLLKIHGFBM08DB,保安段,27.74,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,2400,持分移轉,06660000
RPQNMLLLKIHGFBM18DB,保安段,19.65,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1700,持分移轉,06660000
RPTNMLLLKIHGFBM48DB,保安段,17.34,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1500,持分移轉,06660000
RPQNMLKLKIHGFAM87CB,福興段,31.49,都市：住,100000,1047,持分移轉,06450000
RPQNMLKLKIHGFAM87CB,福興段,.01,都市：住,100000,1047,持分移轉,06560000
RPQNMLKLKIHGFAM87CB,福興段,.27,都市：住,100000,1047,持分移轉,06580000
RPUNMLLLKIHGFBM58DB,保安段,17.34,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1500,持分移轉,06660000
RPVNMLLLKIHGFBM68DB,保安段,19.65,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1700,持分移轉,06660000
RPSNMLLLKIHGFBM38DB,保安段,17.34,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1500,持分移轉,06660000
RPPNMLMLKIHGFAM97CB,福興段,29.72,都市：住,100000,988,持分移轉,06450000
RPQNMLMLKIHGFAM08CB,福興段,29.72,都市：住,100000,988,持分移轉,06450000
RPPNMLMLKIHGFAM97CB,福興段,.01,都市：住,100000,988,持分移轉,06560000
RPQNMLMLKIHGFAM08CB,福興段,.01,都市：住,100000,988,持分移轉,06560000
RPPNMLMLKIHGFAM97CB,福興段,.26,都市：住,100000,988,持分移轉,06580000
RPQNMLMLKIHGFAM08CB,福興段,.26,都市：住,100000,988,持分移轉,06580000
RPWNMLLLKIHGFBM78DB,保安段,27.74,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,2400,持分移轉,06660000
RPPNMLNLKIHGFDM48DB,南雲段,6.61,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,2674,持分移轉,00450000
RPPNMLNLKIHGFDM48DB,南雲段,12.32,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,36613,持分移轉,00690000
RPPNMLNLKIHGFDM48DB,南雲段,12.49,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,36613,持分移轉,00700000
RPPNMLNLKIHGFAM08CB,牛運堀段,130.00,都市：住,1,1,全筆移轉,02780099
RPPNMLNLKIHGFAM08CB,牛運堀段,.27,都市：住,97,1,持分移轉,02780114
RPPNMLNLKIHGFAM08CB,牛運堀段,.11,都市：住,63,1,持分移轉,02780034
RPPNMLRLKIHGFAM58DB,福興段,1.51,都市：住,10000,136,持分移轉,04510000
RPPNMLNLKIHGFAM08CB,牛運堀段,.13,都市：住,63,1,持分移轉,02780098
RPPNMLNLKIHGFAM08CB,牛運堀段,17.32,都市：住,63,1,持分移轉,02780000
RPPNMLRLKIHGFAM58DB,福興段,4.45,都市：住,10000,627,持分移轉,04520000
RPPNMLRLKIHGFAM58DB,福興段,5.27,都市：住,10000,627,持分移轉,04530000
RPPNMLRLKIHGFAM58DB,福興段,5.89,都市：住,10000,627,持分移轉,04540000
RPPNMLRLKIHGFAM58DB,福興段,6.17,都市：住,10000,627,持分移轉,04550000
RPPNMLRLKIHGFAM58DB,福興段,6.45,都市：住,10000,627,持分移轉,04560000
RPPNMLRLKIHGFAM58DB,福興段,6.63,都市：住,10000,627,持分移轉,04570000
RPPNMLRLKIHGFAM58DB,福興段,7.48,都市：住,10000,627,持分移轉,04580000
RPPNMLQLKIHGFAM38CB,光復段,32.40,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,300,持分移轉,08040000
RPPNMLQLKIHGFAM38CB,光復段,1.36,非都市：鄉村區 ; 非都市編定：乙種建築用地,72,1,持分移轉,08040018
RPQNMLRLKIHGFAM68DB,福興段,1.49,都市：住,10000,134,持分移轉,04510000
RPQNMLRLKIHGFAM68DB,福興段,4.42,都市：住,10000,623,持分移轉,04520000
RPQNMLRLKIHGFAM68DB,福興段,5.23,都市：住,10000,623,持分移轉,04530000
RPQNMLRLKIHGFAM68DB,福興段,5.85,都市：住,10000,623,持分移轉,04540000
RPQNMLRLKIHGFAM68DB,福興段,6.13,都市：住,10000,623,持分移轉,04550000
RPQNMLRLKIHGFAM68DB,福興段,6.41,都市：住,10000,623,持分移轉,04560000
RPQNMLRLKIHGFAM68DB,福興段,6.59,都市：住,10000,623,持分移轉,04570000
RPQNMLRLKIHGFAM68DB,福興段,7.43,都市：住,10000,623,持分移轉,04580000
RPRNMLRLKIHGFAM78DB,福興段,1.51,都市：住,10000,136,持分移轉,04510000
RPRNMLRLKIHGFAM78DB,福興段,4.45,都市：住,10000,627,持分移轉,04520000
RPRNMLRLKIHGFAM78DB,福興段,5.27,都市：住,10000,627,持分移轉,04530000
RPRNMLRLKIHGFAM78DB,福興段,5.89,都市：住,10000,627,持分移轉,04540000
RPRNMLRLKIHGFAM78DB,福興段,6.17,都市：住,10000,627,持分移轉,04550000
RPRNMLRLKIHGFAM78DB,福興段,6.45,都市：住,10000,627,持分移轉,04560000
RPRNMLRLKIHGFAM78DB,福興段,6.63,都市：住,10000,627,持分移轉,04570000
RPRNMLRLKIHGFAM78DB,福興段,7.48,都市：住,10000,627,持分移轉,04580000
RPPNMLSLKIHGFAM68DB,福興段,1.51,都市：住,10000,136,持分移轉,04510000
RPPNMLSLKIHGFAM68DB,福興段,4.45,都市：住,10000,627,持分移轉,04520000
RPPNMLSLKIHGFAM68DB,福興段,5.27,都市：住,10000,627,持分移轉,04530000
RPPNMLSLKIHGFAM68DB,福興段,5.89,都市：住,10000,627,持分移轉,04540000
RPPNMLSLKIHGFAM68DB,福興段,6.17,都市：住,10000,627,持分移轉,04550000
RPPNMLSLKIHGFAM68DB,福興段,6.45,都市：住,10000,627,持分移轉,04560000
RPPNMLSLKIHGFAM68DB,福興段,6.63,都市：住,10000,627,持分移轉,04570000
RPPNMLSLKIHGFAM68DB,福興段,7.48,都市：住,10000,627,持分移轉,04580000
RPPNMLTLKIHGFAM68CB,光復段,31.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,287,持分移轉,08040000
RPPNMLTLKIHGFAM68CB,光復段,1.36,非都市：鄉村區 ; 非都市編定：乙種建築用地,72,1,持分移轉,08040018
RPQNMLSLKIHGFDM98CB,廣興段,13.45,都市：住,10000,691,持分移轉,00060000
RPPNMLSLKIHGFDM88CB,廣興段,13.33,都市：住,10000,685,持分移轉,00060000
RPPNMLNJJHIGFAM87DB,小崎段,69.88,都市：住,1,1,全筆移轉,03650008
RPPNMLNJJHIGFAM87DB,小崎段,13.52,都市：住,100,5,持分移轉,03650000
RPPNMLNJJHIGFAM87DB,小崎段,.44,都市：住,100,5,持分移轉,03650029
RPPNMLNJJHIGFAM77CB,牛運堀段,10.38,都市：住,100000,758,持分移轉,02760000
RPPNMLNJJHIGFAM77CB,牛運堀段,1.30,都市：住,100000,758,持分移轉,02760007
RPPNMLNJJHIGFAM77CB,牛運堀段,3.21,都市：住,100000,758,持分移轉,02760008
RPPNMLNJJHIGFAM77CB,牛運堀段,5.60,都市：住,100000,758,持分移轉,02760009
RPPNMLNJJHIGFAM77CB,牛運堀段,.03,都市：住,100000,758,持分移轉,02770017
RPPNMLNJJHIGFAM77CB,牛運堀段,6.10,都市：住,100000,758,持分移轉,02790000
