編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTPMLQJLHIGFAO09DA,坡道機械,0,20.86,地下三樓
RPVPMLNJKHIGFAO88DA,升降機械,550000,,地下二樓
RPQNMLRKKHIGFAO78EA,一樓平面,0,,一樓
RPXNMLQKKHIGFAO76EA,升降機械,600000,,地下二樓
RPTNMLQKKHIGFAO88DA,坡道平面,0,,地下三樓
RPPNMLKLKHIGFAO97DA,坡道平面,0,,地下一樓
RPVNMLLLKHIGFAO68DA,坡道平面,0,,地下一樓
RPOPMLKKKHIGFAO97DA,坡道機械,0,,地下一樓
RPQNMLLLKHIGFAO18DA,坡道平面,0,27.64,地下一樓
RPQNMLLLKHIGFAO18DA,坡道平面,0,27.64,地下一樓
RPQNMLLLKHIGFAO18DA,坡道平面,0,27.64,地下一樓
RPTOMLMLKHIGFAO68DA,坡道平面,0,36.03,地下一樓
RPUNMLNLKHIGFAO78DA,坡道平面,0,36.20,地下三樓
RPUNMLNLKHIGFAO78DA,坡道平面,0,37.23,地下三樓
RPRNMLLJLHIGFAO18DA,坡道平面,0,29.45,地下五樓含以下
RPXPMLQJLHIGFAO86DA,坡道平面,0,,地下二樓
RPXPMLQJLHIGFAO86DA,坡道平面,0,,地下二樓
RPPNMLTKKHIGFAO78DA,坡道平面,0,,地下四樓
RPPNMLQJLHIGFAO58EA,坡道平面,0,13.77,地下三樓
RPPNMLRJLHIGFAO68EA,坡道平面,0,,地下二樓
RPWPMLNKJHIGFAO98DA,升降機械,600000,,地下二樓
RPSOMLNKJHIGFAO48DA,坡道平面,0,,地下一樓
RPSOMLNKJHIGFAO48DA,坡道平面,0,,地下一樓
RPQOMLMKJHIGFAO18DA,坡道平面,0,,地下三樓
RPQOMLMKJHIGFAO18DA,坡道平面,0,,地下三樓
RPOOMLKMJHIGFAO97DA,坡道平面,0,21.68,地下一樓
RPOOMLKMJHIGFAO97DA,坡道平面,0,21.68,地下一樓
RPVNMLQJJHIGFAO88DA,坡道平面,0,46.59,地下一樓
RPPPMLLMJHIGFAO28DA,坡道平面,700000,31.41,地下二樓
RPQNMLNJKHIGFAO28EA,升降機械,0,10.04,地下一樓
RPQPMLMJKHIGFAO28DA,坡道平面,0,,地下一樓
RPUOMLLJKHIGFAO48DA,坡道平面,0,26.45,地下一樓
RPUOMLLJKHIGFAO48DA,坡道平面,0,26.45,地下一樓
RPVOMLQKJHIGFAO09DA,坡道機械,1100000,29.08,地下一樓
RPSTMLNJJHIGFAO88DA,升降機械,0,,地下一樓
RPSPMLQJKHIGFAO88DA,坡道平面,0,35.06,地下二樓
RPOQMLNJKHIGFAO28DA,坡道平面,0,37.23,地下二樓
RPTNMLQJKHIGFAO88EA,坡道平面,0,,地下一樓
RPTQMLRKJHIGFAO56DA,坡道平面,0,33.96,地下三樓
