編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPOOMLRKJIHGFAT09CC,勝興段,72.00,都市：住,,,,04370001
RPPNMLRKJIHGFAT09CC,民和段,.00,都市：住,,,,04650000
RPRNMLRKJIHGFAT66CC,民和段,.00,都市：住,,,,04650000
RPTNMLRKJIHGFAT86CC,北勢段,.00,都市：住,,,,00980000
RPPNMLSKJIHGFFT07CC,中寮段,.00,都市：其他:住宅區,,,,04660005
RPPNMLNLJIHGFAT78CC,北勢段,.00,都市：住,,,,00980000
RPPNMLTKJIHGFAT66CC,大埔段一小段,87.00,都市：住,,,,05300000
RPPNMLTKJIHGFAT66CC,大埔段一小段,23.00,都市：住,,,,05300040
RPPNMLTKJIHGFAT66CC,大埔段一小段,87.00,都市：住,,,,05300031
RPSNMLPLJIHGFAT66CC,檳榔腳段一小段,21.50,都市：住,,,,05610000
RPSNMLSLJIHGFAT96CC,長治段,.00,都市：住,,,,00300005
RPUNMLSLJIHGFAT17CC,民和段,.00,都市：住,,,,04650000
RPXNMLSLJIHGFAT47CC,北勢段,.00,都市：住,,,,00980000
RPQOMLPKJIHGFAT09CC,民和段,.00,都市：住,,,,04650000
RPPOMLSLJIHGFAT76CC,北勢段,.00,都市：住,,,,00980000
RPPPMLTLJIHGFAT96CC,社上段,231.40,非都市：特定農業區 ; 非都市編定：農牧用地,,,,07930000
RPPNMLPLJIHGFCT56CC,壽比段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,07640000
RPTNMLOKJIHGFCT76CC,壽比段,6.47,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,05700000
RPXNMLQKJIHGFCT37CC,壽比段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,07640000
RPWNMLQKJIHGFCT27CC,壽比段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,07640000
RPSNMLQKJIHGFCT86CC,廣濟段,89.04,都市：商,,,,00980000
RPOOMLLJKIHGFAT48CC,北勢段,.00,都市：住,,,,00980000
RPVNMLKMJIHGFAT56CC,香揚段,54.40,都市：住,,,,04610000
RPTNMLLJKIHGFAT88CC,萬年段,111.00,都市：住,,,,03590006
RPQOMLLJKIHGFAT68CC,勝興段,72.00,都市：住,,,,04370001
RPVNMLLJKIHGFCT66CC,壽比段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,07640000
RPXNMLLJKIHGFCT86CC,壽比段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,07640000
RPOOMLMJKIHGFCT78CC,劉厝庄段,76.27,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,06390000
RPSNMLMJKIHGFFT76CC,屏南段,2999.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,01420001
RPTNMLPJKIHGFCT86CC,三星段,109.44,都市：住,,,,01480000
RPTNMLPJKIHGFCT86CC,三星段,109.40,都市：住,,,,01490000
RPRNMLTLJIHGFCT17CC,壽比段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,05700000
RPQNMLPLJIHGFCT66CC,壽比段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,07640000
RPQNMLTLJIHGFCT07CC,壽比段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,05700000
RPSNMLLJKIHGFCT98CC,壽比段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,07640000
RPUNMLSLJIHGFCT37CC,壽比段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,07640000
RPVNMLQJKIHGFAT96CC,公興段,124.95,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,13140000
RPUNMLLJKIHGFCT56CC,壽比段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,07640000
RPSOMLMJKIHGFAT98CC,北勢段,7.60,都市：住,,,,06480002
RPTNMLSLJIHGFCT27CC,壽比段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,07640000
RPSOMLMJKIHGFAT98CC,北勢段,9.50,都市：住,,,,06510002
RPPPMLPJKIHGFAT09CC,香揚段,.00,都市：住,,,,02980000
RPUNMLMKKIHGFCT76CC,壽比段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,05700000
RPWNMLMKKIHGFAT76CC,北勢段,.00,都市：住,,,,00980000
